,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),HAL,2346.0,3044.0,2563.0,2268.0
Total cash(figures in $M),HAL,2346.0,3044.0,2563.0,2268.0
Net receivables(figures in $M),HAL,4627.0,3666.0,3071.0,4577.0
Inventory(figures in $M),HAL,2923.0,2361.0,2349.0,3139.0
Other current assets(figures in $M),HAL,1056.0,872.0,1492.0,1228.0
Total current assets(figures in $M),HAL,10952.0,9943.0,9475.0,11212.0
"Gross property, plant and equipment(figures in $M)",HAL,5261.0,5260.0,5111.0,8241.0
Accumulated depreciation(figures in $M),HAL,-11660.0,-11442.0,-11039.0,-12630.0
"Net property, plant and equipment(figures in $M)",HAL,5261.0,5260.0,5111.0,8241.0
Goodwill(figures in $M),HAL,2829.0,2843.0,2804.0,2812.0
Other long-term assets(figures in $M),HAL,1577.0,1580.0,1124.0,1429.0
Total non-current assets(figures in $M),HAL,12303.0,12378.0,11205.0,14165.0
Total assets(figures in $M),HAL,23255.0,22321.0,20680.0,25377.0
Current debt(figures in $M),HAL,0.0,7.0,695.0,0.0
Accounts payable(figures in $M),HAL,3121.0,2353.0,1573.0,2432.0
Taxes payable(figures in $M),HAL,294.0,261.0,0.0,0.0
Other current liabilities(figures in $M),HAL,1366.0,1213.0,1385.0,1634.0
Total current liabilities(figures in $M),HAL,5345.0,4306.0,4421.0,4878.0
Long-term debt(figures in $M),HAL,7928.0,9127.0,9132.0,10316.0
Other long-term liabilities(figures in $M),HAL,806.0,823.0,824.0,808.0
Total non-current liabilities(figures in $M),HAL,9933.0,11287.0,11276.0,12474.0
Total liabilities(figures in $M),HAL,15278.0,15593.0,15697.0,17352.0
Common stock(figures in $M),HAL,2664.0,2665.0,2666.0,2669.0
Retained earnings(figures in $M),HAL,10572.0,9710.0,8691.0,11989.0
Accumulated other comprehensive income(figures in $M),HAL,-230.0,-183.0,-362.0,-362.0
Total stockholders' equity(figures in $M),HAL,7948.0,6713.0,4974.0,8012.0
Total liabilities and stockholders' equity(figures in $M),HAL,23255.0,22321.0,20680.0,25377.0
