,ticker,ttm,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Total revenue(figures in $M),HCP,475.889,475.889,320.769,211.854,121.261
Cost of revenue(figures in $M),HCP,86.969,86.969,63.44,41.052,23.915
Gross profit(figures in $M),HCP,388.92,388.92,257.329,170.802,97.346
Research development(figures in $M),HCP,195.384,195.384,165.031,65.248,40.118
Selling general and administrative(figures in $M),HCP,490.823,490.823,381.612,189.563,113.445
Total operating expenses(figures in $M),HCP,686.207,686.207,546.643,254.811,153.563
Operating income or loss(figures in $M),HCP,-297.287,-297.287,-289.314,-84.009,-56.217
Total other income/expenses net(figures in $M),HCP,-2.365,-2.365,0.162,0.756,3.382
Income before tax(figures in $M),HCP,-273.285,-273.285,-289.152,-83.253,-52.835
Income tax expense(figures in $M),HCP,1.013,1.013,0.986,0.262,0.535
Income from continuing operations(figures in $M),HCP,-274.298,-274.298,-290.138,-83.515,-53.37
Net income(figures in $M),HCP,-274.298,-274.298,-290.138,-83.515,-53.37
Net income available to common shareholders(figures in $M),HCP,-274.298,-274.298,-290.138,-221.712,-53.37
Basic EPS(figures in $M),HCP,,-1.47e-06,-3.48e-06,-5.1e-07,-3.3e-07
Diluted EPS(figures in $M),HCP,,-1.47e-06,-3.48e-06,-5.1e-07,-3.3e-07
Basic average shares(figures in $M),HCP,,186.029,83.277,163.949,163.949
Diluted average shares(figures in $M),HCP,,186.029,83.277,163.949,163.949
EBITDA(figures in $M),HCP,,-292.699,-286.816,-83.121,-55.982
