,headline,final_score,datetime
0,Hess Midstream: When Not A Bargain Is A Good Thing,86,2023-05-04 23:27:49
1,Unusual Put Option Trade in Hess (HES)  Worth $210.06K,86,2023-05-04 17:17:29
2,HES Makes Notable Cross Below Critical Moving Average,60,2023-05-04 02:58:00
3,Hess Corp. stock underperforms Thursday when compared to competitors,90,2023-05-03 21:01:00
4,Hess Corp. stock outperforms competitors despite losses on the day,90,2023-05-02 21:01:00
5,DBS Sticks to Its Hold Rating for Hess (HES),86,2023-05-02 05:55:00
6,Hess Corp. stock underperforms Tuesday when compared to competitors,90,2023-05-01 21:00:00
7,Hess: An Attractive Capital Appreciation Opportunity,86,2023-04-30 23:17:56
8,Hess Corp. stock outperforms competitors on strong trading day,90,2023-04-28 09:58:00
9,Citigroup Maintains Hess (HES) Neutral Recommendation,86,2023-04-28 08:41:17
11,Citigroup Sticks to Their Hold Rating for Hess (HES),86,2023-04-28 04:26:00
13,Hess Sanctions Uaru Development Offshore Guyana,86,2023-04-27 16:05:00
14,Hess: The Ship Has Arrived,86,2023-04-27 09:39:28
16,Hess Corp. sanctions Uaru development offshore Guyana,90,2023-04-26 23:10:00
17,Q1 2023 Hess Corp Earnings Call,90,2023-04-26 23:07:43
18,Q1 2023 Hess Midstream LP Earnings Call,86,2023-04-26 22:55:07
20,Hess Corp. stock outperforms market on strong trading day,90,2023-04-26 09:58:00
21,Hess discloses new discovery in Guyana as profit tops estimates,86,2023-04-26 09:45:47
23,"Hess (HES) Beats on Q1 Earnings, Ups 2023 Production Outlook",86,2023-04-26 07:25:02
24,Here's What Key Metrics Tell Us About Hess (HES) Q1 Earnings,86,2023-04-26 06:30:01
25,Hess (HES) Surpasses Q1 Earnings Estimates,86,2023-04-26 05:45:12
26,Oil producer Hess beats first-quarter profit estimates,86,2023-04-26 04:34:37
27,Hess Corporation (HES) Q1 2023 Earnings Call Transcript,90,2023-04-26 04:33:04
28,Hess Corporation 2023 Q1 - Results - Earnings Call Presentation,90,2023-04-26 04:30:14
29,Hess Reports Estimated Results for the First Quarter of 2023,86,2023-04-26 04:30:00
30,Hess 1Q Net Down on Lower Prices; Revenue Rises on Guyana Production,86,2023-04-26 00:58:00
31,"Hess posts Q1 earnings topper, makes new discovery in Guyana",86,2023-04-26 00:57:00
32,Hess: Q1 Earnings Snapshot,86,2023-04-26 00:35:00
33,"Hess Non-GAAP EPS of $1.13 beats by $0.10, revenue of $2.45B beats by $80M",60,2023-04-25 23:41:00
34,"Hess Non-GAAP EPS of $1.30 beats by $0.27, revenue of $2.45B beats by $80M",60,2023-04-25 23:35:00
35,"Hess Corp. reports Q1 EPS $1.13, consensus $1.06",90,2023-04-25 23:35:00
36,Hess Q1 2023 Earnings Preview,86,2023-04-25 04:38:00
38,"Hess Corp. stock rises Monday, outperforms market",90,2023-04-24 09:59:00
39,"Hess Corp. stock falls Friday, underperforms market",90,2023-04-21 09:59:00
40,Raymond James Maintains Hess (HES) Outperform Recommendation,86,2023-04-21 08:45:01
42,Raymond James Sticks to Its Buy Rating for Hess (HES),86,2023-04-21 04:26:00
43,Piper Sandler Maintains Hess (HES) Overweight Recommendation,86,2023-04-20 14:41:02
44,Factors Likely to Have Influenced Hess' (HES) Earnings in Q1,86,2023-04-20 06:33:01
45,July 21st Options Now Available For Hess,86,2023-04-20 02:59:00
46,Hess Corp. price target raised to $167 from $166 at Piper Sandler,90,2023-04-19 22:38:00
47,"Hess Corp. stock falls Wednesday, underperforms market",90,2023-04-19 09:58:00
48,Earnings Preview: Hess (HES) Q1 Earnings Expected to Decline,86,2023-04-19 07:02:02
