,2022,2021,2020,2019,2018,ticker
Current ratio,1.253,1.301,1.468,1.343,1.287,HON
Quick ratio,0.880,0.941,1.148,0.990,0.973,HON
Cash ratio,0.483,0.562,0.744,0.501,0.491,HON
Days of sales outstanding,76.569,72.486,76.351,74.503,65.557,HON
Days of inventory outstanding,84.842,80.165,73.909,66.300,54.362,HON
Operating cycle,161.412,152.651,150.259,140.803,119.919,HON
Days of payables outstanding,96.961,101.165,94.670,85.930,70.459,HON
Cash conversion cycle,64.451,51.486,55.589,54.873,49.460,HON
Gross profit margin,0.328,0.320,0.321,0.337,0.305,HON
Operating profit margin,0.192,0.220,0.195,0.216,0.160,HON
Pretax profit margin,0.180,0.210,0.184,0.206,0.179,HON
Net profit margin,0.140,0.161,0.146,0.167,0.162,HON
Effective tax rate,0.221,0.225,0.191,0.176,0.088,HON
Return on assets,0.080,0.086,0.074,0.105,0.117,HON
Return on equity,0.287,0.288,0.269,0.328,0.372,HON
Return on capital employed,0.160,0.169,0.140,0.195,0.173,HON
Net income per EBT,0.778,0.766,0.795,0.813,0.904,HON
Ebt per ebit,0.939,0.955,0.944,0.955,1.117,HON
Ebit per revenue,0.192,0.220,0.195,0.216,0.160,HON
Debt ratio,0.722,0.701,0.724,0.681,0.682,HON
Debt equity ratio,1.130,1.019,1.258,0.855,0.892,HON
Long term debt to capitalization,0.466,0.426,0.479,0.373,0.349,HON
Total debt to capitalization,0.531,0.505,0.557,0.461,0.471,HON
Interest coverage,16.408,22.093,17.747,22.174,18.270,HON
Cash flow to debt ratio,0.269,0.308,0.277,0.431,0.397,HON
Company equity multiplier,3.596,3.350,3.630,3.137,3.178,HON
Receivables turnover,4.767,5.035,4.781,4.899,5.568,HON
Payables turnover,3.764,3.608,3.855,4.248,5.180,HON
Inventory turnover,4.302,4.553,4.939,5.505,6.714,HON
Fixed asset turnover,6.483,6.183,5.859,6.894,7.893,HON
Asset turnover,0.570,0.533,0.505,0.626,0.724,HON
Operating cash flow per share,7.618,8.722,8.817,9.566,8.659,HON
Free cash flow per share,6.512,7.429,7.530,8.402,7.545,HON
Cash per share,14.603,16.645,21.616,14.447,14.684,HON
Payout ratio,0.548,0.474,0.542,0.398,0.336,HON
Operating cash flow sales ratio,0.149,0.176,0.190,0.188,0.154,HON
Free cash flow operating cash flow ratio,0.855,0.852,0.854,0.878,0.871,HON
Cash flow coverage ratios,0.269,0.308,0.277,0.431,0.397,HON
Short term coverage ratios,1.186,1.130,1.027,1.410,0.996,HON
Capital expenditure coverage ratio,-6.885,-6.746,-6.852,-8.221,-7.771,HON
Dividend paid and capex coverage ratio,2.700,3.488,3.682,4.303,4.456,HON
Dividend payout ratio,0.548,0.474,0.542,0.398,0.336,HON
Price book value ratio,8.566,7.502,8.418,6.822,5.400,HON
Price to book ratio,8.566,7.502,8.418,6.822,5.400,HON
Price to sales ratio,4.183,4.197,4.589,3.476,2.348,HON
Price earnings ratio,29.875,26.047,31.338,20.774,14.511,HON
Price to free cash flows ratio,32.910,28.068,28.246,21.066,17.511,HON
Price to operating cash flows ratio,28.130,23.907,24.124,18.503,15.257,HON
Price cash flow ratio,28.130,23.907,24.124,18.503,15.257,HON
Price earnings to growth ratio,-3.519,1.450,-1.543,-3.259,0.045,HON
Price sales ratio,4.183,4.197,4.589,3.476,2.348,HON
Dividend yield,0.018,0.018,0.017,0.019,0.023,HON
Enterprise value multiple,19.795,17.383,21.412,14.944,11.799,HON
Price fair value,8.566,7.502,8.418,6.822,5.400,HON
