,headline,final_score,datetime
0,Helmerich & Payne's (HP) Q2 Earnings & Sales Beat Estimates,86,2023-05-03 02:48:09
1,Piper Sandler Maintains Helmerich & Payne (HP) Overweight Recommendation,86,2023-05-01 10:34:15
2,Helmerich & Payne price target lowered to $50 from $65 at Piper Sandler,86,2023-05-01 01:32:00
3,Analysts Offer Insights on Industrial Goods Companies: Saia (SAIA) and Helmerich & Payne (HP),86,2023-05-01 00:10:00
4,RBC Capital Maintains Helmerich & Payne (HP) Outperform Recommendation,86,2023-04-28 23:56:01
6,"Helmerich & Payne, Inc. (HP) Q2 2023 Earnings Call Transcript",90,2023-04-27 09:37:05
7,Helmerich & Payne plunges as analyst says guidance implies cut to Q3 EBITDA,86,2023-04-27 03:00:00
8,"Analysts Are Bullish on Top Industrial Goods Stocks: Helmerich & Payne (HP), Enovix (ENVX)",86,2023-04-27 00:33:00
9,Barclays Reaffirms Their Buy Rating on Helmerich & Payne (HP),86,2023-04-26 23:16:00
11,Here's What Key Metrics Tell Us About Helmerich & Payne (HP) Q2 Earnings,86,2023-04-26 18:30:01
12,Helmerich & Payne: Good Industry Positioning And Returning Value To Shareholders,86,2023-04-26 16:25:30
13,Helmerich & Payne (HP) Tops Q2 Earnings and Revenue Estimates,86,2023-04-26 15:15:10
14,"Helmerich & Payne, Inc. Announces Fiscal Second Quarter Results",90,2023-04-26 13:15:00
16,"Helmerich & Payne Non-GAAP EPS of $1.26 beats by $0.21, revenue of $769.22M beats by $14.52M",86,2023-04-25 20:36:00
17,Helmerich & Payne sees FY23 North America Solutions direct margins $265M-$285M,86,2023-04-25 20:28:00
18,"Helmerich & Payne reports Q2 EPS $1.55, consensus $1.06",86,2023-04-25 20:27:00
24,HP December 15th Options Begin Trading,60,2023-04-20 03:07:00
25,Helmerich & Payne (HP) Earnings Expected to Grow: Should You Buy?,86,2023-04-19 07:01:02
26,Morgan Stanley Downgrades Helmerich & Payne (HP),86,2023-04-18 18:53:49
27,"Helmerich & Payne, Liberty Energy cut at Morgan Stanley",86,2023-04-18 05:11:00
29,Helmerich & Payne downgraded to Underweight from Equal Weight at Morgan Stanley,86,2023-04-17 21:45:00
30,"Helmerich & Payne, Inc.'s (NYSE:HP) Popularity With Investors Is Clear",90,2023-04-17 11:06:19
31,RBC Capital Remains a Buy on Helmerich & Payne (HP),86,2023-04-14 01:46:00
37,"Helmerich & Payne, Inc. Announces Fiscal Second Quarter 2023 Conference Call and Webcast",90,2023-04-05 03:30:00
38,Helmerich & Payne price target lowered to $55 from $72 at Susquehanna,86,2023-04-03 04:54:00
39,Helmerich & Payne (HP) Gains But Lags Market: What You Should Know,86,2023-03-31 14:50:09
40,Wall Street Analysts Think Helmerich & Payne (HP) Is a Good Investment: Is It?,86,2023-03-28 06:30:01
41,Helmerich & Payne (HP) Investor Presentation - Slideshow,86,2023-03-21 06:07:37
43,"Helmerich & Payne, Inc. To Participate in Conferences in March 2023",90,2023-03-16 13:15:00
44,HP May 19th Options Begin Trading,60,2023-03-16 05:08:00
45,Susquehanna Sticks to Their Buy Rating for Helmerich & Payne (HP),86,2023-03-14 04:25:00
46,"Is There An Opportunity With Helmerich & Payne, Inc.'s (NYSE:HP) 36% Undervaluation?",90,2023-03-14 03:17:29
47,Helmerich & Payne (HP) Receives a Buy from Barclays,86,2023-03-13 19:05:00
48,Shares of HP Now Oversold,60,2023-03-13 03:23:00
51,"Zacks Industry Outlook Highlights Helmerich & Payne, Nabors Industries and Precision Drilling",86,2023-03-10 02:00:10
53,Helmerich & Payne Larger Than S&P 500 Component DISH Network,86,2023-03-08 19:56:00
55,July 2024 Options Now Available For Helmerich & Payne (HP),86,2023-03-06 02:10:00
