,ticker,2023,2024,2025
Revenue(In $M),HPQ,"55,260","56,854","58,101"
Dividend,HPQ,1.05,1.11,1.20
Dividend Yield (in %),HPQ,3.79 %,4.00 %,4.37 %
EPS,HPQ,3.33,3.61,3.84
P/E Ratio,HPQ,9.00,8.29,7.79
EBIT(In $M),HPQ,"4,579","4,685","4,727"
EBITDA(In $M),HPQ,"5,378","5,478","5,440"
Net Profit(In $M),HPQ,"3,297","3,470","3,457"
Net Profit Adjusted(In $M),HPQ,"3,297","3,470","3,457"
Pre-Tax Profit(In $M),HPQ,"3,964","4,179","4,112"
Net Profit (Adjusted)(In $M),HPQ,"4,074","4,244","4,213"
EPS (Non-GAAP) ex. SOE(In $),HPQ,3.33,3.61,3.84
EPS (GAAP)(In $),HPQ,-,3.37,3.91
Gross Income(In $M),HPQ,"11,278","11,413","11,709"
Cash Flow from Investing(In $M),HPQ,-933,-739,-755
Cash Flow from Operations(In $M),HPQ,"4,000","4,652","4,715"
Cash Flow from Financing(In $M),HPQ,"-2,378","-3,797","-4,079"
Cash Flow per Share(In $),HPQ,3.94,4.47,4.98
Free Cash Flow(In $M),HPQ,"3,335","3,939","3,960"
Free Cash Flow per Share(In $),HPQ,4.23,4.37,4.42
Book Value per Share(In $),HPQ,-2.65,-2.18,-3.27
Net Debt(In $M),HPQ,"7,321","6,049","5,310"
Research & Development Exp.(In $M),HPQ,"1,574","1,599",-
Capital Expenditure(In $M),HPQ,689,716,713
"Selling, General & Admin. Exp.(In $M)",HPQ,"5,065","4,989","5,108"
Shareholder’s Equity(In $M),HPQ,"-2,304","-1,570","-1,441"
Total Assets(In $M),HPQ,"37,782","38,250","39,316"
