,headline,final_score,datetime
0,"If You Invested $1000 in Hershey a Decade Ago, This is How Much It'd Be Worth Now",57,2023-05-04 05:30:12
1,June 23rd Options Now Available For Hershey (HSY),86,2023-05-04 03:04:00
2,The Hershey Company Named No. 3 on DiversityInc's 'Top 50 Companies for Diversity' List,60,2023-05-03 07:35:00
4,"Hershey Co. stock falls Wednesday, still outperforms market",90,2023-05-02 21:02:00
5,Hershey: Margins Remain High And Price Per Share Continues To Rise,86,2023-05-02 17:21:03
6,"Hershey Co. stock falls Tuesday, still outperforms market",90,2023-05-02 10:00:00
7,Institutional investors are The Hershey Company's (NYSE:HSY) biggest bettors and were rewarded after last week's US$3.2b market cap gain,60,2023-05-02 07:56:17
8,Hershey Company (The) (HSY) Hits Fresh High: Is There Still Room to Run?,90,2023-05-02 06:15:01
9,Hershey price target raised to $280 from $255 at RBC Capital,86,2023-05-02 01:47:00
10,Analysts Offer Insights on Consumer Goods Companies: Keurig Dr Pepper (KDP) and The Hershey Company (HSY),60,2023-05-02 00:11:00
11,"The Hershey Company Announces Pricing Of $350,000,000 4.250% Notes Due 2028 And $400,000,000 4.500% Notes Due 2033",60,2023-05-01 14:53:00
12,Morgan Stanley Maintains Hershey (HSY) Equal-Weight Recommendation,86,2023-05-01 10:29:20
13,"Hershey Co. stock rises Monday, outperforms market",90,2023-05-01 10:00:00
14,THE HERSHEY COMPANY ANNOUNCES OFFERING OF NOTES,90,2023-05-01 05:49:00
15,Mizuho Securities Sticks to Their Hold Rating for The Hershey Company (HSY),90,2023-05-01 05:15:00
16,Hershey will issue new notes to refinance notes due in 2023,86,2023-05-01 01:09:00
17,"Analysts Have Conflicting Sentiments on These Consumer Goods Companies: The Hershey Company (HSY), Costco (COST) and The Est��e Lauder Companies (EL)",60,2023-05-01 00:31:00
18,Hershey price target raised to $263 from $235 at Mizuho,86,2023-04-30 23:09:00
19,Hershey prices two-part senior notes offering of up to $750M,86,2023-04-30 22:12:00
21,Hershey Stock Hits All-Time High on Sweet Earnings Beat and Guidance Raise,86,2023-04-29 04:00:00
