,ticker,2023,2024,2025,2026,2027
Revenue(In $M),HUM,"103,025","112,077","122,904","137,403","151,998"
Dividend,HUM,2.88,3.15,3.28,-,-
Dividend Yield (in %),HUM,0.63 %,0.63 %,0.68 %,-,-
EPS,HUM,28.29,32.08,37.33,42.05,47.31
P/E Ratio,HUM,18.69,16.48,14.16,12.58,11.18
EBIT(In $M),HUM,"5,107","5,671","6,415","7,123","7,910"
EBITDA(In $M),HUM,"5,727","6,390","7,154","8,090","8,932"
Net Profit(In $M),HUM,"3,463","3,961","4,551","5,019","5,480"
Net Profit Adjusted(In $M),HUM,"3,465","3,967","4,562","5,019","5,480"
Pre-Tax Profit(In $M),HUM,"4,562","5,153","5,910","6,541","7,061"
Net Profit (Adjusted)(In $M),HUM,"4,546","5,069","5,809","6,621",-
EPS (Non-GAAP) ex. SOE(In $),HUM,28.29,32.08,37.33,42.05,47.31
EPS (GAAP)(In $),HUM,28.21,31.65,36.67,41.47,46.49
Gross Income(In $M),HUM,"18,853","21,336","23,335",-,-
Cash Flow from Investing(In $M),HUM,"-1,917","-2,681","-2,726","-3,325","-3,600"
Cash Flow from Operations(In $M),HUM,"4,943","5,238","6,359","7,938","8,544"
Cash Flow from Financing(In $M),HUM,-497,"-1,429","-2,034","-2,317","-2,663"
Cash Flow per Share(In $),HUM,48.52,41.93,45.94,-,-
Free Cash Flow(In $M),HUM,"3,782","4,546","5,324","6,325","7,055"
Free Cash Flow per Share(In $),HUM,28.06,-,-,-,-
Book Value per Share(In $),HUM,152.53,177.20,207.54,-,-
Net Debt(In $M),HUM,"1,952",713,-721,"8,809",-
Research & Development Exp.(In $M),HUM,-,-,-,-,-
Capital Expenditure(In $M),HUM,"1,194","1,306","1,340","1,344","1,489"
"Selling, General & Admin. Exp.(In $M)",HUM,"12,177","13,013","13,347",-,-
Shareholder’s Equity(In $M),HUM,"17,645","20,269","22,468","25,770","29,564"
Total Assets(In $M),HUM,"48,560","52,894","58,757","65,578","66,060"
