,2022,2021,2020,2019,2018,ticker
Current ratio,1.524,0.891,1.404,1.477,1.558,HUM
Quick ratio,1.200,1.220,1.404,1.477,1.230,HUM
Cash ratio,0.295,0.225,0.357,0.372,0.215,HUM
Days of sales outstanding,6.579,7.971,5.384,5.940,6.510,HUM
Days of inventory outstanding,0,0,0,0,0,HUM
Days of payables outstanding,417.744,0,0,0,0,HUM
Gross profit margin,0.864,1,1,1,1,HUM
Operating profit margin,0.043,0.045,0.064,0.057,0.040,HUM
Pretax profit margin,0.038,0.040,0.060,0.053,0.036,HUM
Net profit margin,0.030,0.035,0.044,0.042,0.030,HUM
Effective tax rate,0.214,0.145,0.284,0.221,0.190,HUM
Return on assets,0.065,0.066,0.096,0.093,0.066,HUM
Return on equity,0.183,0.182,0.245,0.225,0.166,HUM
Return on capital employed,0.153,0.128,0.226,0.204,0.158,HUM
Net income per EBT,0.786,0.874,0.732,0.783,0.816,HUM
Ebt per ebit,0.899,0.896,0.928,0.931,0.900,HUM
Ebit per revenue,0.043,0.045,0.064,0.057,0.040,HUM
Debt ratio,0.643,0.637,0.607,0.586,0.600,HUM
Debt equity ratio,0.746,0.797,0.508,0.489,0.614,HUM
Long term debt to capitalization,0.371,0.396,0.306,0.292,0.301,HUM
Total debt to capitalization,0.427,0.444,0.337,0.329,0.380,HUM
Interest coverage,9.898,11.485,17.516,15.339,10.514,HUM
Cash flow to debt ratio,0.402,0.176,0.808,0.897,0.348,HUM
Company equity multiplier,2.812,2.758,2.547,2.415,2.501,HUM
Receivables turnover,55.478,45.791,67.799,61.447,56.071,HUM
Payables turnover,0.874,0,0,0,0,HUM
Inventory turnover,0,0,0,0,0,HUM
Fixed asset turnover,28.833,27.030,32.541,33.191,32.802,HUM
Asset turnover,2.157,1.873,2.206,2.232,2.239,HUM
Operating cash flow per share,35.644,17.577,42.655,39.417,15.805,HUM
Free cash flow per share,26.941,7.351,35.363,33.926,11.354,HUM
Cash per share,147.193,128.885,130.311,112.088,89.966,HUM
Payout ratio,0.140,0.121,0.096,0.107,0.157,HUM
Operating cash flow sales ratio,0.049,0.027,0.073,0.081,0.038,HUM
Free cash flow operating cash flow ratio,0.756,0.418,0.829,0.861,0.718,HUM
Cash flow coverage ratios,0.402,0.176,0.808,0.897,0.348,HUM
Short term coverage ratios,1.919,0.993,6.129,5.719,1.165,HUM
Capital expenditure coverage ratio,-4.096,-1.719,-5.850,-7.179,-3.551,HUM
Dividend paid and capex coverage ratio,-6.301,-2.351,-8.797,-11.874,-6.262,HUM
Dividend payout ratio,0.140,0.121,0.096,0.107,0.157,HUM
Price book value ratio,4.305,3.712,3.951,4.082,3.876,HUM
Price to book ratio,4.305,3.712,3.951,4.082,3.876,HUM
Price to sales ratio,0.710,0.719,0.703,0.757,0.692,HUM
Price earnings ratio,23.490,20.352,16.108,18.151,23.403,HUM
Price to free cash flows ratio,19.011,63.101,11.602,10.803,25.232,HUM
Price to operating cash flows ratio,14.369,26.390,9.618,9.299,18.126,HUM
Price cash flow ratio,14.369,26.390,9.618,9.299,18.126,HUM
Price earnings to growth ratio,-5.407,-1.934,0.617,0.279,-0.843,HUM
Price sales ratio,0.710,0.719,0.703,0.757,0.692,HUM
Dividend yield,0.006,0.006,0.006,0.006,0.007,HUM
Enterprise value multiple,15.014,15.508,10.146,11.890,15.316,HUM
Price fair value,4.305,3.712,3.951,4.082,3.876,HUM
