,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),IBM,7886.0,6650.0,13212.0,8172.0
Other short-term investments(figures in $M),IBM,852.0,600.0,600.0,696.0
Total cash(figures in $M),IBM,8738.0,7250.0,13812.0,8868.0
Net receivables(figures in $M),IBM,6541.0,6754.0,7132.0,7870.0
Inventory(figures in $M),IBM,1552.0,1649.0,1839.0,1619.0
Other current assets(figures in $M),IBM,2610.0,0.0,0.0,0.0
Total current assets(figures in $M),IBM,29118.0,29539.0,39165.0,38420.0
"Gross property, plant and equipment(figures in $M)",IBM,8212.0,8916.0,14726.0,15006.0
Accumulated depreciation(figures in $M),IBM,-13361.0,-14391.0,-23136.0,-22018.0
"Net property, plant and equipment(figures in $M)",IBM,8212.0,8916.0,14726.0,15006.0
Equity and other investments(figures in $M),IBM,1617.0,1823.0,2282.0,2074.0
Goodwill(figures in $M),IBM,55949.0,55643.0,59617.0,58222.0
Intangible assets(figures in $M),IBM,11184.0,12511.0,13796.0,15236.0
Other long-term assets(figures in $M),IBM,0.0,237.0,227.0,321.0
Total non-current assets(figures in $M),IBM,98126.0,102462.0,116807.0,113767.0
Total assets(figures in $M),IBM,127243.0,132001.0,155971.0,152186.0
Current debt(figures in $M),IBM,4760.0,6787.0,7183.0,8797.0
Accounts payable(figures in $M),IBM,4051.0,3955.0,4908.0,4896.0
Accrued liabilities(figures in $M),IBM,4111.0,3892.0,6847.0,4357.0
Deferred revenues(figures in $M),IBM,12032.0,12518.0,12833.0,12026.0
Other current liabilities(figures in $M),IBM,7592.0,7096.0,10287.0,7763.0
Total current liabilities(figures in $M),IBM,31505.0,33619.0,39869.0,37701.0
Long-term debt(figures in $M),IBM,46189.0,44917.0,54355.0,54102.0
Deferred tax liabilities(figures in $M),IBM,2292.0,3956.0,5472.0,5230.0
Deferred revenues(figures in $M),IBM,3499.0,3577.0,4301.0,3851.0
Other long-term liabilities(figures in $M),IBM,12243.0,13995.0,14898.0,14526.0
Total non-current liabilities(figures in $M),IBM,73717.0,79386.0,95376.0,93500.0
Total liabilities(figures in $M),IBM,105222.0,113005.0,135245.0,131201.0
Common stock(figures in $M),IBM,58343.0,57319.0,56556.0,55895.0
Retained earnings(figures in $M),IBM,149825.0,154209.0,162717.0,162954.0
Accumulated other comprehensive income(figures in $M),IBM,-16740.0,-23234.0,-29337.0,-28597.0
Total stockholders' equity(figures in $M),IBM,21944.0,18901.0,20597.0,20841.0
Total liabilities and stockholders' equity(figures in $M),IBM,127243.0,132001.0,155971.0,152186.0
