,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),IGT,590.0,591.0,907.015,662.934
Total cash(figures in $M),IGT,590.0,591.0,907.015,662.934
Net receivables(figures in $M),IGT,669.0,903.0,846.128,1006.127
Inventory(figures in $M),IGT,254.0,183.0,169.207,161.79
Other current assets(figures in $M),IGT,34.0,589.0,479.649,571.869
Total current assets(figures in $M),IGT,2047.0,2488.0,3440.085,2634.037
"Gross property, plant and equipment(figures in $M)",IGT,3574.0,1339.0,1487.919,1795.533
Accumulated depreciation(figures in $M),IGT,-2329.0,-1959.0,-1987.967,-2169.552
"Net property, plant and equipment(figures in $M)",IGT,1245.0,1339.0,1487.919,1795.533
Goodwill(figures in $M),IGT,4562.0,4656.0,4713.489,5451.494
Intangible assets(figures in $M),IGT,1371.0,1413.0,1577.354,1836.002
Other long-term assets(figures in $M),IGT,990.0,1429.0,1773.641,1927.524
Total non-current assets(figures in $M),IGT,8359.0,8837.0,9552.403,11010.553
Total assets(figures in $M),IGT,10409.0,11322.0,12992.488,13644.59
Current debt(figures in $M),IGT,61.0,52.0,393.152,465.348
Accounts payable(figures in $M),IGT,647.0,1035.0,1126.043,1120.922
Taxes payable(figures in $M),IGT,83.0,104.0,26.116,33.314
Accrued liabilities(figures in $M),IGT,160.0,175.0,256.221,264.765
Deferred revenues(figures in $M),IGT,91.0,104.0,107.542,67.816
Other current liabilities(figures in $M),IGT,328.0,828.0,1095.846,882.081
Total current liabilities(figures in $M),IGT,1916.0,1915.0,2615.041,2468.351
Long-term debt(figures in $M),IGT,5694.0,6478.0,7857.086,7600.169
Deferred tax liabilities(figures in $M),IGT,293.0,368.0,333.01,366.822
Deferred revenues(figures in $M),IGT,49.0,47.0,62.175,65.855
Other long-term liabilities(figures in $M),IGT,187.0,321.0,359.961,413.549
Total non-current liabilities(figures in $M),IGT,6719.0,7436.0,8816.284,8691.261
Total liabilities(figures in $M),IGT,8635.0,9351.0,11431.325,11159.612
Common stock(figures in $M),IGT,21.0,21.0,20.485,20.443
Retained earnings(figures in $M),IGT,-2063.0,-1439.0,-1920.484,-1020.238
Accumulated other comprehensive income(figures in $M),IGT,502.0,412.0,329.815,262.525
Total stockholders' equity(figures in $M),IGT,1389.0,1282.0,776.737,1877.843
Total liabilities and stockholders' equity(figures in $M),IGT,10409.0,11322.0,12992.488,13644.59
