,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),IGT,4181.0,4223.0,4089.0,3115.456,4785.806
Cost of revenue(figures in $M),IGT,2227.0,2221.0,2131.0,1979.699,2933.648
Gross profit(figures in $M),IGT,1954.0,2002.0,1958.0,1135.757,1852.158
Research development(figures in $M),IGT,244.0,254.0,238.0,190.948,266.241
Selling general and administrative(figures in $M),IGT,817.0,801.0,810.0,706.895,846.047
Total operating expenses(figures in $M),IGT,1070.0,1329.0,1049.0,902.177,1116.03
Operating income or loss(figures in $M),IGT,884.0,673.0,909.0,233.58,736.128
Interest expense(figures in $M),IGT,313.0,304.0,341.0,397.916,410.129
Total other income/expenses net(figures in $M),IGT,46.0,155.0,-38.0,-683.371,-41.232
Income before tax(figures in $M),IGT,630.0,525.0,529.0,-847.707,284.767
Income tax expense(figures in $M),IGT,131.0,175.0,274.0,27.698,173.109
Income from continuing operations(figures in $M),IGT,500.0,351.0,255.0,-875.405,111.658
Net income(figures in $M),IGT,359.0,278.0,482.0,-897.89,-19.025
Net income available to common shareholders(figures in $M),IGT,359.0,278.0,482.0,-897.89,-19.025
Basic EPS(figures in $M),IGT,,1.38e-06,2.35e-06,-4.3899999999999995e-06,-9e-08
Diluted EPS(figures in $M),IGT,,1.37e-06,2.33e-06,-4.3899999999999995e-06,-9e-08
Basic average shares(figures in $M),IGT,,201.825,204.954,204.725,204.373
Diluted average shares(figures in $M),IGT,,203.414,206.795,204.725,204.373
EBITDA(figures in $M),IGT,,1561.0,1612.0,326.835,1408.353
