,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),IP,804.0,1295.0,595.0,511.0
Other short-term investments(figures in $M),IP,0.0,245.0,4850.0,0.0
Total cash(figures in $M),IP,804.0,1540.0,5445.0,511.0
Net receivables(figures in $M),IP,3284.0,3232.0,3064.0,3280.0
Inventory(figures in $M),IP,1942.0,1814.0,2050.0,2208.0
Other current assets(figures in $M),IP,126.0,132.0,184.0,247.0
Total current assets(figures in $M),IP,6770.0,7096.0,11236.0,6639.0
"Gross property, plant and equipment(figures in $M)",IP,10855.0,10806.0,12676.0,13438.0
Accumulated depreciation(figures in $M),IP,-18371.0,-17556.0,-21378.0,-20512.0
"Net property, plant and equipment(figures in $M)",IP,10855.0,10806.0,12676.0,13438.0
Equity and other investments(figures in $M),IP,2480.0,3026.0,3435.0,8809.0
Goodwill(figures in $M),IP,3041.0,3130.0,3315.0,3347.0
Intangible assets(figures in $M),IP,220.0,268.0,317.0,368.0
Other long-term assets(figures in $M),IP,497.0,590.0,1056.0,1238.0
Total non-current assets(figures in $M),IP,17170.0,18147.0,20482.0,26832.0
Total assets(figures in $M),IP,23940.0,25243.0,31718.0,33471.0
Current debt(figures in $M),IP,763.0,196.0,4249.0,4388.0
Accounts payable(figures in $M),IP,2708.0,2606.0,2320.0,2423.0
Accrued liabilities(figures in $M),IP,355.0,440.0,466.0,466.0
Other current liabilities(figures in $M),IP,1174.0,902.0,181.0,4220.0
Total current liabilities(figures in $M),IP,5000.0,4144.0,8284.0,8646.0
Long-term debt(figures in $M),IP,4816.0,5383.0,10156.0,11682.0
Deferred tax liabilities(figures in $M),IP,1732.0,2618.0,2743.0,2633.0
Other long-term liabilities(figures in $M),IP,3181.0,3198.0,1046.0,640.0
Total non-current liabilities(figures in $M),IP,10443.0,12017.0,15566.0,17107.0
Total liabilities(figures in $M),IP,15443.0,16161.0,23850.0,25753.0
Common stock(figures in $M),IP,449.0,53.0,-216.0,-695.0
Retained earnings(figures in $M),IP,9855.0,9029.0,8070.0,8408.0
Accumulated other comprehensive income(figures in $M),IP,-1925.0,-1666.0,-4342.0,-4739.0
Total stockholders' equity(figures in $M),IP,8497.0,9082.0,7854.0,7713.0
Total liabilities and stockholders' equity(figures in $M),IP,23940.0,25243.0,31718.0,33471.0
