,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),IR,1613.0,2109.6,1750.9,505.5
Total cash(figures in $M),IR,1613.0,2109.6,1750.9,505.5
Net receivables(figures in $M),IR,1122.0,948.6,966.6,459.1
Inventory(figures in $M),IR,1025.4,854.2,943.6,502.5
Other current assets(figures in $M),IR,206.9,186.9,201.0,76.8
Total current assets(figures in $M),IR,3967.3,4114.9,3862.1,1543.9
"Gross property, plant and equipment(figures in $M)",IR,1041.8,1006.3,1170.6,625.0
Accumulated depreciation(figures in $M),IR,-417.4,-357.7,-373.3,-298.4
"Net property, plant and equipment(figures in $M)",IR,624.4,648.6,797.3,326.6
Goodwill(figures in $M),IR,6064.2,5981.6,6303.6,1287.7
Intangible assets(figures in $M),IR,3578.6,3912.7,4732.6,1255.0
Other long-term assets(figures in $M),IR,509.1,468.7,346.9,212.2
Total non-current assets(figures in $M),IR,10798.6,11039.6,12196.5,3084.5
Total assets(figures in $M),IR,14765.9,15154.5,16058.6,4628.4
Current debt(figures in $M),IR,36.5,38.8,40.4,7.6
Accounts payable(figures in $M),IR,778.7,670.5,671.1,322.9
Accrued liabilities(figures in $M),IR,858.8,741.3,787.1,244.1
Deferred revenues(figures in $M),IR,305.6,242.1,172.8,51.7
Other current liabilities(figures in $M),IR,0.0,17.1,0.0,0.0
Total current liabilities(figures in $M),IR,1674.0,1467.7,1498.6,574.6
Long-term debt(figures in $M),IR,2716.1,3401.8,3859.1,1603.8
Deferred tax liabilities(figures in $M),IR,610.6,708.6,875.7,251.0
Other long-term liabilities(figures in $M),IR,360.8,310.1,360.7,229.4
Total non-current liabilities(figures in $M),IR,3834.7,4615.6,5370.5,2183.9
Total liabilities(figures in $M),IR,5508.7,6083.3,6869.1,2758.5
Common stock(figures in $M),IR,4.3,4.3,4.2,2.1
Retained earnings(figures in $M),IR,950.9,378.6,-175.7,-141.4
Accumulated other comprehensive income(figures in $M),IR,-251.7,-41.6,14.2,-256.0
Total stockholders' equity(figures in $M),IR,9195.8,9001.5,9119.7,1869.9
Total liabilities and stockholders' equity(figures in $M),IR,14765.9,15154.5,16058.6,4628.4
