,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),ISRG,1581.2,1290.9,1622.6,1167.6
Other short-term investments(figures in $M),ISRG,2541.0,2940.0,3548.9,2054.1
Total cash(figures in $M),ISRG,6741.5,8619.5,6869.1,5845.2
Net receivables(figures in $M),ISRG,942.1,782.7,645.5,645.2
Inventory(figures in $M),ISRG,893.2,587.1,601.5,595.5
Other current assets(figures in $M),ISRG,164.3,0.0,0.0,0.0
Total current assets(figures in $M),ISRG,8576.8,9989.3,8116.1,7511.5
"Gross property, plant and equipment(figures in $M)",ISRG,3612.1,2845.0,2335.0,1836.0
Accumulated depreciation(figures in $M),ISRG,-1237.9,-968.6,-757.7,-563.1
"Net property, plant and equipment(figures in $M)",ISRG,2374.2,1876.4,1577.3,1272.9
Equity and other investments(figures in $M),ISRG,2623.6,4415.5,1757.7,2623.5
Goodwill(figures in $M),ISRG,348.5,343.6,336.7,307.2
Intangible assets(figures in $M),ISRG,49.8,70.5,77.4,112.1
Other long-term assets(figures in $M),ISRG,1009.9,904.3,771.1,641.6
Total non-current assets(figures in $M),ISRG,4397.2,3565.7,3052.8,2221.7
Total assets(figures in $M),ISRG,12974.0,13555.0,11168.9,9733.2
Accounts payable(figures in $M),ISRG,147.0,121.2,81.6,1083.3
Accrued liabilities(figures in $M),ISRG,372.3,235.6,240.7,243.7
Deferred revenues(figures in $M),ISRG,438.3,414.0,382.4,365.2
Total current liabilities(figures in $M),ISRG,1861.4,1603.5,1409.8,1448.5
Deferred revenues(figures in $M),ISRG,41.0,36.8,32.1,27.4
Other long-term liabilities(figures in $M),ISRG,110.3,100.3,106.9,132.3
Total non-current liabilities(figures in $M),ISRG,0.0,0.0,0.0,0.0
Total liabilities(figures in $M),ISRG,1861.4,1603.5,1409.8,1448.5
Common stock(figures in $M),ISRG,0.4,0.4,0.1,0.1
Retained earnings(figures in $M),ISRG,3500.1,4760.9,3261.3,2494.5
Accumulated other comprehensive income(figures in $M),ISRG,-162.5,-24.2,24.9,12.4
Total stockholders' equity(figures in $M),ISRG,11112.6,11951.5,9759.1,8284.7
Total liabilities and stockholders' equity(figures in $M),ISRG,12974.0,13555.0,11168.9,9733.2
