,headline,final_score,datetime
0,"Intuitive Surgical Inc. stock falls Thursday, still outperforms market",90,2023-05-04 10:03:00
3,Interesting ISRG Put And Call Options For June 23rd,60,2023-05-04 03:41:00
4,Intuitive Surgical Inc. stock outperforms market on strong trading day,90,2023-05-03 10:03:00
7,Investing in Intuitive Surgical (NASDAQ:ISRG) five years ago would have delivered you a 95% gain,86,2023-05-03 04:00:38
9,"Intuitive Surgical Inc. stock falls Tuesday, still outperforms market",90,2023-05-02 10:02:00
10,Better Growth Stock: Johnson & Johnson vs. Intuitive Surgical,86,2023-05-02 04:20:00
11,"Intuitive Surgical Inc. stock rises Monday, outperforms market",90,2023-05-01 10:02:00
16,Intuitive Surgical Inc. stock outperforms competitors on strong trading day,90,2023-04-28 10:02:00
18,"Intuitive Surgical, Inc. (ISRG) Is a Trending Stock: Facts to Know Before Betting on It",86,2023-04-28 06:00:01
19,"When Should You Buy Intuitive Surgical, Inc. (NASDAQ:ISRG)?",86,2023-04-28 05:00:42
20,Intuitive receives FDA clearance of da Vinci SP for simple prostatectomy,86,2023-04-28 05:00:00
21,Intuitive Surgical's da Vinci SP System Gets FDA OK For Some Prostatectomies,86,2023-04-28 01:24:00
22,Intuitive gets FDA nod for da Vinci SP system for simple prostatectomy,86,2023-04-28 00:42:00
23,Intuitive Surgical receives FDA clearance of da Vinci SP surgical system,86,2023-04-28 00:16:00
28,"Intuitive Surgical Inc. stock falls Wednesday, still outperforms market",90,2023-04-26 10:02:00
30,"Intuitive Surgical Inc. stock falls Tuesday, underperforms market",90,2023-04-25 10:02:00
33,Intuitive Surgical director sells $2.42M in common stock,86,2023-04-25 00:08:00
36,"Intuitive Surgical Inc. stock rises Monday, still underperforms market",90,2023-04-24 10:02:00
37,RBC Capital Reiterates Intuitive Surgical (ISRG) Outperform Recommendation,86,2023-04-24 07:50:15
40,VP of Intuitive Surgical McAdams sells $2.9M in shares,86,2023-04-23 21:37:00
44,Intuitive Surgical Inc. stock underperforms Friday when compared to competitors despite daily gains,90,2023-04-21 10:02:00
45,"Stock Market Rally Drifts Lower; Tesla Dives On Margins; ISRG, DHI, LVS Are Winners: Weekly Review",57,2023-04-21 08:16:33
47,Bernstein Maintains Intuitive Surgical (ISRG) Outperform Recommendation,86,2023-04-20 08:23:19
48,Barclays Maintains Intuitive Surgical (ISRG) Overweight Recommendation,86,2023-04-20 08:23:19
51,Intuitive Surgical Reaches Analyst Target Price,86,2023-04-19 23:23:00
52,Intuitive Surgical price target raised to $350 from $325 at Bernstein,86,2023-04-19 22:31:00
53,Deutsche Bank Maintains Intuitive Surgical (ISRG) Hold Recommendation,86,2023-04-19 18:29:40
54,Piper Sandler Maintains Intuitive Surgical (ISRG) Overweight Recommendation,86,2023-04-19 18:29:38
55,Stifel Maintains Intuitive Surgical (ISRG) Buy Recommendation,86,2023-04-19 18:29:36
56,Evercore ISI Group Maintains Intuitive Surgical (ISRG) In-Line Recommendation,86,2023-04-19 18:29:36
57,BTIG Maintains Intuitive Surgical (ISRG) Buy Recommendation,86,2023-04-19 18:29:36
58,Da Vinci Sales Drive Up Intuitive Surgical Shares,86,2023-04-19 15:50:16
60,Intuitive Surgical stock climbs following earnings beat,86,2023-04-19 13:50:58
61,Intuitive Surgical Breaks Out; Is The Robotic Surgery Giant At An Inflection Point?,86,2023-04-19 13:12:25
62,"Intuitive Surgical stock up 12% amid rise in procedures, return of patients to docs",86,2023-04-19 10:14:56
63,Q1 2023 Intuitive Surgical Inc Earnings Call,90,2023-04-19 09:52:57
66,Why Intuitive Surgical Stock Is Soaring Today,86,2023-04-19 08:30:41
67,Intuitive Surgical (ISRG) Gains Following Q1 Earnings Beat,86,2023-04-19 08:30:03
68,JP Morgan Maintains Intuitive Surgical (ISRG) Overweight Recommendation,86,2023-04-19 08:22:04
69,Morgan Stanley Maintains Intuitive Surgical (ISRG) Equal-Weight Recommendation,86,2023-04-19 08:22:02
