,ticker,2023,2024,2025,2026
Revenue(In $M),ITW,"16,393","16,971","17,617","18,527"
Dividend,ITW,5.10,5.24,5.27,5.24
Dividend Yield (in %),ITW,2.18 %,2.25 %,2.37 %,2.24 %
EPS,ITW,9.66,10.34,11.12,12.17
P/E Ratio,ITW,23.54,21.99,20.45,18.68
EBIT(In $M),ITW,"4,057","4,267","4,494","4,895"
EBITDA(In $M),ITW,"4,506","4,719","4,968","5,323"
Net Profit(In $M),ITW,"2,926","3,070","3,255","3,505"
Net Profit Adjusted(In $M),ITW,"2,923","3,070","3,259","3,505"
Pre-Tax Profit(In $M),ITW,"3,833","4,032","4,265","4,611"
Net Profit (Adjusted)(In $M),ITW,"3,821","4,051","4,324",-
EPS (Non-GAAP) ex. SOE(In $),ITW,9.66,10.34,11.12,12.17
EPS (GAAP)(In $),ITW,9.60,10.25,11.00,11.88
Gross Income(In $M),ITW,"6,926","7,191","7,494","7,857"
Cash Flow from Investing(In $M),ITW,-343,-336,-375,-392
Cash Flow from Operations(In $M),ITW,"3,548","3,623","3,779","3,845"
Cash Flow from Financing(In $M),ITW,"-2,969","-2,907","-2,776","-2,879"
Cash Flow per Share(In $),ITW,11.62,12.07,13.31,-
Free Cash Flow(In $M),ITW,"3,254","3,256","3,433","3,526"
Free Cash Flow per Share(In $),ITW,8.75,8.75,9.19,12.17
Book Value per Share(In $),ITW,9.54,11.17,14.36,-
Net Debt(In $M),ITW,"7,126","6,640","5,972","6,668"
Research & Development Exp.(In $M),ITW,240,245,-,-
Capital Expenditure(In $M),ITW,359,367,407,392
"Selling, General & Admin. Exp.(In $M)",ITW,"2,690","2,758","2,803","2,922"
Shareholder’s Equity(In $M),ITW,"2,942","3,282","3,962","4,417"
Total Assets(In $M),ITW,"15,542","15,736","16,474","17,745"
