,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),IVZ,1434.1,2147.1,1710.1,1701.2
Other short-term investments(figures in $M),IVZ,0.0,0.0,8912.3,8810.4
Total cash(figures in $M),IVZ,1434.1,2147.1,1710.1,10511.6
Net receivables(figures in $M),IVZ,1005.5,1317.6,916.6,1028.5
Other current assets(figures in $M),IVZ,0.0,0.0,0.0,10835.6
Total current assets(figures in $M),IVZ,1434.1,2239.9,1819.5,21509.9
"Gross property, plant and equipment(figures in $M)",IVZ,1690.9,1597.0,1569.9,1502.7
Accumulated depreciation(figures in $M),IVZ,-1129.8,-1078.9,-1006.1,-919.2
"Net property, plant and equipment(figures in $M)",IVZ,561.1,518.1,563.8,583.5
Equity and other investments(figures in $M),IVZ,9731.7,10501.4,8912.3,8637.5
Goodwill(figures in $M),IVZ,8557.7,16110.5,16221.9,15867.7
Intangible assets(figures in $M),IVZ,7141.2,7228.0,7305.6,7358.3
Other long-term assets(figures in $M),IVZ,2892.1,3833.8,9550.4,2042.7
Total non-current assets(figures in $M),IVZ,28322.7,30445.7,34684.6,17910.4
Total assets(figures in $M),IVZ,29756.8,32685.6,36504.1,39420.3
Accounts payable(figures in $M),IVZ,59.6,312.5,348.9,414.6
Taxes payable(figures in $M),IVZ,89.1,80.6,67.2,118.2
Accrued liabilities(figures in $M),IVZ,1379.5,1323.5,1133.1,403.9
Other current liabilities(figures in $M),IVZ,0.0,0.0,104.1,0.0
Total current liabilities(figures in $M),IVZ,668.7,1985.4,7680.5,10989.8
Long-term debt(figures in $M),IVZ,8078.0,9421.2,8796.7,8314.9
Deferred tax liabilities(figures in $M),IVZ,1662.7,1626.3,1523.5,1529.5
Other long-term liabilities(figures in $M),IVZ,4167.9,4600.2,5006.2,5413.8
Total non-current liabilities(figures in $M),IVZ,12245.9,14021.4,13802.9,13728.7
Total liabilities(figures in $M),IVZ,12914.6,16006.8,21483.4,24718.5
Common stock(figures in $M),IVZ,4123.7,4123.7,4123.7,4123.7
Retained earnings(figures in $M),IVZ,7518.3,7169.2,6085.0,5917.8
Accumulated other comprehensive income(figures in $M),IVZ,-942.4,-441.5,-404.5,-587.3
Total stockholders' equity(figures in $M),IVZ,15213.6,15495.8,14361.8,13862.5
Total liabilities and stockholders' equity(figures in $M),IVZ,29756.8,32685.6,36504.1,39420.3
