,2022,2021,2020,2019,2018,ticker
Current ratio,1.015,1.018,1.008,0.978,1.044,JBL
Quick ratio,0.487,0.534,0.590,0.565,0.408,JBL
Cash ratio,0.108,0.147,0.154,0.136,0.174,JBL
Days of sales outstanding,56.596,51.587,52.909,52.798,27.972,JBL
Days of inventory outstanding,72.512,59.835,45.118,47.216,61.900,JBL
Operating cycle,129.108,111.422,98.027,100.015,89.872,JBL
Days of payables outstanding,94.735,92.734,81.931,80.700,88.489,JBL
Cash conversion cycle,34.373,18.688,16.097,19.315,1.383,JBL
Gross profit margin,0.079,0.081,0.071,0.076,0.077,JBL
Operating profit margin,0.042,0.036,0.032,0.028,0.025,JBL
Pretax profit margin,0.037,0.032,0.010,0.018,0.017,JBL
Net profit margin,0.030,0.024,0.002,0.011,0.004,JBL
Effective tax rate,0.191,0.261,0.782,0.358,0.766,JBL
Return on assets,0.051,0.042,0.004,0.022,0.007,JBL
Return on equity,0.406,0.326,0.030,0.152,0.044,JBL
Return on capital employed,0.231,0.177,0.161,0.158,0.113,JBL
Net income per EBT,0.809,0.737,0.207,0.637,0.231,JBL
Ebt per ebit,0.884,0.895,0.303,0.643,0.689,JBL
Ebit per revenue,0.042,0.036,0.032,0.028,0.025,JBL
Debt ratio,0.876,0.872,0.873,0.853,0.837,JBL
Debt equity ratio,1.392,1.554,1.734,1.323,1.291,JBL
Long term debt to capitalization,0.550,0.601,0.622,0.529,0.561,JBL
Total debt to capitalization,0.582,0.608,0.634,0.569,0.564,JBL
Interest coverage,9.225,8.115,4.955,3.173,3.639,JBL
Cash flow to debt ratio,0.484,0.432,0.400,0.478,0.371,JBL
Company equity multiplier,8.044,7.797,7.948,6.872,6.176,JBL
Receivables turnover,6.449,7.075,6.899,6.913,13.049,JBL
Payables turnover,3.853,3.936,4.455,4.523,4.125,JBL
Inventory turnover,5.034,6.100,8.090,7.730,5.897,JBL
Fixed asset turnover,7.516,6.559,6.769,7.584,6.909,JBL
Asset turnover,1.698,1.758,1.894,1.949,1.834,JBL
Operating cash flow per share,11.693,9.650,8.293,7.667,5.422,JBL
Free cash flow per share,1.884,1.845,1.809,1.205,-0.597,JBL
Cash per share,10.467,10.552,9.192,7.476,7.304,JBL
Payout ratio,0.048,0.072,0.936,0.181,0.670,JBL
Operating cash flow sales ratio,0.049,0.049,0.046,0.047,0.042,JBL
Free cash flow operating cash flow ratio,0.161,0.191,0.218,0.157,-0.110,JBL
Cash flow coverage ratios,0.484,0.432,0.400,0.478,0.371,JBL
Short term coverage ratios,3.940,13.269,7.813,3.180,37.062,JBL
Capital expenditure coverage ratio,-1.192,-1.236,-1.279,-1.187,-0.901,JBL
Dividend paid and capex coverage ratio,-1.235,-1.292,-1.348,-1.251,-0.954,JBL
Dividend payout ratio,0.048,0.072,0.936,0.181,0.670,JBL
Price book value ratio,3.474,4.295,2.858,2.375,2.611,JBL
Price to book ratio,3.474,4.295,2.858,2.375,2.611,JBL
Price to sales ratio,0.254,0.313,0.190,0.177,0.230,JBL
Price earnings ratio,8.549,13.182,96.038,15.615,58.975,JBL
Price to free cash flows ratio,32.009,33.483,18.880,23.899,-49.526,JBL
Price to operating cash flows ratio,5.157,6.402,4.118,3.758,5.452,JBL
Price cash flow ratio,5.157,6.402,4.118,3.758,5.452,JBL
Price earnings to growth ratio,0.169,0.011,-1.192,0.058,-1.994,JBL
Price sales ratio,0.254,0.313,0.190,0.177,0.230,JBL
Dividend yield,0.006,0.005,0.010,0.012,0.011,JBL
Enterprise value multiple,4.431,5.606,4.181,3.741,4.905,JBL
Price fair value,3.474,4.295,2.858,2.375,2.611,JBL
