,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),JNPR,880.1,922.5,1361.9,1215.8
Other short-term investments(figures in $M),JNPR,210.3,315.5,412.1,738.0
Total cash(figures in $M),JNPR,1090.4,1238.0,1774.0,1953.8
Net receivables(figures in $M),JNPR,1227.3,994.4,964.1,879.7
Inventory(figures in $M),JNPR,619.4,272.6,210.2,90.6
Other current assets(figures in $M),JNPR,680.0,0.0,0.0,0.0
Total current assets(figures in $M),JNPR,3617.1,2956.6,3271.2,3209.8
"Gross property, plant and equipment(figures in $M)",JNPR,808.4,864.3,946.9,1000.6
Accumulated depreciation(figures in $M),JNPR,-1255.7,-1315.7,-1316.9,-1215.7
"Net property, plant and equipment(figures in $M)",JNPR,808.4,864.3,946.9,1000.6
Equity and other investments(figures in $M),JNPR,139.6,455.5,656.6,589.8
Goodwill(figures in $M),JNPR,3734.4,3762.1,3669.6,3337.1
Intangible assets(figures in $M),JNPR,160.5,284.3,266.7,185.8
Other long-term assets(figures in $M),JNPR,866.7,564.2,567.3,514.6
Total non-current assets(figures in $M),JNPR,5709.6,5930.4,6107.1,5627.9
Total assets(figures in $M),JNPR,9326.7,8887.0,9378.3,8837.7
Current debt(figures in $M),JNPR,0.0,0.0,421.5,0.0
Accounts payable(figures in $M),JNPR,347.4,273.7,277.0,219.5
Accrued liabilities(figures in $M),JNPR,404.9,328.9,324.6,282.5
Deferred revenues(figures in $M),JNPR,1020.5,937.9,867.3,812.9
Total current liabilities(figures in $M),JNPR,2078.9,1876.5,2161.1,1543.9
Long-term debt(figures in $M),JNPR,1601.3,1686.8,1705.8,1683.9
Deferred revenues(figures in $M),JNPR,642.6,475.7,418.5,410.5
Other long-term liabilities(figures in $M),JNPR,131.7,58.4,73.4,58.1
Total non-current liabilities(figures in $M),JNPR,2772.7,2693.6,2673.7,2683.2
Total liabilities(figures in $M),JNPR,4851.6,4570.1,4834.8,4227.1
Common stock(figures in $M),JNPR,0.0,0.0,0.0,0.0
Retained earnings(figures in $M),JNPR,-2375.5,-2653.6,-2669.0,-2741.4
Accumulated other comprehensive income(figures in $M),JNPR,4.2,-2.1,55.6,-18.5
Total stockholders' equity(figures in $M),JNPR,4475.1,4316.9,4543.5,4610.6
Total liabilities and stockholders' equity(figures in $M),JNPR,9326.7,8887.0,9378.3,8837.7
