,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),JNPR,5301.2,5301.2,4735.4,4445.1,4445.4
Cost of revenue(figures in $M),JNPR,2342.9,2342.9,1995.3,1871.4,1828.6
Gross profit(figures in $M),JNPR,2958.3,2958.3,2740.1,2573.7,2616.8
Research development(figures in $M),JNPR,1036.1,1036.1,1007.2,958.4,955.7
Selling general and administrative(figures in $M),JNPR,1382.9,1382.9,1302.5,1194.2,1183.6
Total operating expenses(figures in $M),JNPR,2419.0,2419.0,2309.7,2152.6,2139.3
Operating income or loss(figures in $M),JNPR,539.3,539.3,430.4,421.1,477.5
Interest expense(figures in $M),JNPR,58.6,58.6,50.8,77.0,88.7
Total other income/expenses net(figures in $M),JNPR,36.0,-3.0,-120.3,-155.9,-63.1
Income before tax(figures in $M),JNPR,536.3,536.3,310.1,265.2,414.4
Income tax expense(figures in $M),JNPR,60.5,60.5,57.4,7.4,69.4
Income from continuing operations(figures in $M),JNPR,471.0,471.0,252.7,257.8,345.0
Net income(figures in $M),JNPR,471.0,471.0,252.7,257.8,345.0
Net income available to common shareholders(figures in $M),JNPR,471.0,471.0,252.7,257.8,345.0
Basic EPS(figures in $M),JNPR,,1.46e-06,7.8e-07,7.8e-07,1.01e-06
Diluted EPS(figures in $M),JNPR,,1.4299999999999999e-06,7.6e-07,7.7e-07,9.9e-07
Basic average shares(figures in $M),JNPR,,322.1,324.4,330.4,343.2
Diluted average shares(figures in $M),JNPR,,329.5,331.6,335.2,348.2
EBITDA(figures in $M),JNPR,,757.0,667.8,633.5,687.8
