,headline,final_score,datetime
0,June 23rd Options Now Available For Juniper Networks (JNPR),86,2023-05-04 03:17:00
3,"Juniper Networks Inc. stock falls Wednesday, underperforms market",90,2023-05-02 21:06:00
4,Arista Networks Demonstrates The Perils Of Growth Investing,86,2023-05-02 09:06:11
5,"Juniper Networks, Inc. (NYSE:JNPR) Q1 2023 Earnings Call Transcript",86,2023-05-02 06:07:25
6,"Juniper Networks Inc. stock falls Tuesday, underperforms market",90,2023-05-01 21:05:00
7,"Juniper Networks Inc. stock falls Monday, underperforms market",90,2023-04-30 21:05:00
8,Juniper Networks: Orders Number Not A Huge Concern,86,2023-04-30 16:38:13
9,Juniper Networks (NYSE:JNPR) Is Increasing Its Dividend To $0.22,86,2023-04-29 05:05:20
13,Juniper Networks Inc. stock outperforms market on strong trading day,90,2023-04-27 21:05:00
14,Rosenblatt Maintains Juniper Networks (JNPR) Neutral Recommendation,86,2023-04-26 18:47:00
15,Credit Suisse Reiterates Juniper Networks (JNPR) Underperform Recommendation,86,2023-04-26 18:47:00
16,Q1 2023 Juniper Networks Inc Earnings Call,90,2023-04-26 11:30:02
17,Juniper's (JNPR) Q1 Earnings Top Estimates on Solid Revenues,86,2023-04-26 07:45:02
18,Needham Reiterates Juniper Networks (JNPR) Buy Recommendation,86,2023-04-26 03:45:56
19,"Analysts Conflicted on These Technology Names: Juniper Networks (JNPR), Texas Instruments (TXN) and Spotify Technology SA (SPOT)",86,2023-04-26 00:42:00
20,Credit Suisse Reaffirms Their Sell Rating on Juniper Networks (JNPR),86,2023-04-26 00:36:00
21,Rosenblatt Securities Remains a Hold on Juniper Networks (JNPR),86,2023-04-26 00:35:00
22,"Analysts Offer Insights on Technology Companies: Alphabet Class A (GOOGL), Jack Henry & Associates (JKHY) and Juniper Networks (JNPR)",86,2023-04-26 00:04:00
23,Juniper Networks Inc. stock underperforms Wednesday when compared to competitors,90,2023-04-25 21:05:00
24,Juniper Networks (JNPR) Shares Cross 3% Yield Mark,86,2023-04-25 19:43:00
25,JNPR Crosses Below Key Moving Average Level,60,2023-04-25 18:02:00
26,Juniper (JNPR) Q1 Earnings: How Key Metrics Compare to Wall Street Estimates,86,2023-04-25 17:30:12
27,Juniper Networks (JNPR) Q1 Earnings and Revenues Beat Estimates,86,2023-04-25 14:35:09
28,Juniper Networks Reports Preliminary First Quarter 2023 Financial Results,86,2023-04-25 13:15:00
29,"Juniper Networks, Inc. (JNPR) Q1 2023 Earnings Call Transcript",86,2023-04-25 13:02:17
31,Juniper: Q1 Earnings Snapshot,53,2023-04-25 09:31:00
32,Juniper Networks® SRX4600 Firewall Achieves Highest Rating in Independent Enterprise Network Firewall Test,86,2023-04-25 07:00:00
36,"Juniper Networks Inc. stock falls Tuesday, still outperforms market",90,2023-04-24 21:05:00
37,Juniper Networks stock falls 5% as supply-chain ���challenges` push costs up,86,2023-04-24 21:05:00
38,"Juniper Networks Non-GAAP EPS of $0.48 beats by $0.05, revenue of $1.37B beats by $30M",86,2023-04-24 20:25:00
39,"Juniper sees Q2 EPS 49c-59c, consensus 53c",86,2023-04-24 20:19:00
40,"Juniper reports preliminary Q1 EPS 48c, consensus 43c",86,2023-04-24 20:18:00
41,"Analysts Offer Insights on Technology Companies: Juniper Networks (JNPR), Open Text (OTEX) and Tyler Technologies (TYL)",86,2023-04-24 19:21:00
42,Juniper Networks options imply 5.0% move in share price post-earnings,86,2023-04-24 19:19:00
43,Should You Buy Juniper Networks (JNPR) Ahead of Earnings?,86,2023-04-24 08:35:03
44,Will Solid Revenue Growth Aid Juniper's (JNPR) Q1 Earnings?,86,2023-04-24 02:53:09
46,Juniper Networks Q1 2023 Earnings Preview,86,2023-04-23 21:35:00
47,Juniper Networks Inc. stock underperforms Monday when compared to competitors,90,2023-04-23 21:05:00
49,JNPR vs. MSI: Which Stock Is the Better Value Option?,60,2023-04-21 08:40:03
50,Juniper Networks Inc. stock outperforms competitors despite losses on the day,90,2023-04-20 10:04:00
54,Juniper Networks® Powers Superior Experiences for Patients and Staff at Rady Children’s Hospital and Sentara Healthcare,86,2023-04-19 04:45:00
55,Halfords Delivers Consistent and Convenient Shopping Experiences with Juniper Networks’ AI-driven Wired and Wireless Access Solutions,86,2023-04-19 01:00:00
57,Juniper Networks (JNPR) Earnings Expected to Grow: Should You Buy?,86,2023-04-18 07:01:02
58,Juniper added to `Tactical Outperform` list at Evercore ISI,86,2023-04-16 23:56:00
60,"Juniper Networks Inc. stock rises Thursday, still underperforms market",90,2023-04-13 10:03:00
63,"Zacks Industry Outlook Highlights Nokia, Juniper Networks and InterDigital",86,2023-04-13 05:04:12
64,Juniper Networks Inc. stock outperforms competitors on strong trading day,90,2023-04-12 10:03:00
70,Nokia (NOK) to Upgrade Network Infrastructure of Zain Jordan,63,2023-04-10 08:14:03
72,JNPR November 17th Options Begin Trading,60,2023-04-10 03:08:00
74,"Juniper Networks Inc. stock falls Thursday, underperforms market",90,2023-04-06 10:03:00
75,Ericsson (ERIC) Deploys Advanced 5G Network Slicing in Taiwan,58,2023-04-06 08:42:03
76,Juniper (JNPR) Solutions to Augment citizenM Guest Experience,86,2023-04-06 06:07:01
77,"Juniper Networks Inc. stock rises Wednesday, outperforms market",90,2023-04-05 10:03:00
78,JNPR vs. MSI: Which Stock Should Value Investors Buy Now?,60,2023-04-05 08:40:03
82,"Juniper Networks, Inc.'s (NYSE:JNPR) Stock Is Going Strong: Have Financials A Role To Play?",86,2023-04-05 06:24:30
86,Juniper Networks® and citizenM Collaborate to Deliver Memorable Hotel Experiences with Personalized Engagement,86,2023-04-04 00:00:00
87,"Juniper Networks Inc. stock rises Monday, still underperforms market",90,2023-04-03 10:03:00
89,Verizon (VZ) to Upgrade FAA Telecom Network Infrastructure,54,2023-04-03 08:00:03
90,"Juniper Networks Inc. stock rises Friday, still underperforms market",90,2023-03-31 10:05:00
91,Evercore ISI Group Upgrades Juniper Networks (JNPR),86,2023-03-30 20:32:52
