,headline,final_score,datetime
1,Interesting JWN Put And Call Options For June 23rd,60,2023-05-04 03:09:00
3,Nordstrom to shutter both downtown San Francisco stores citing `dynamics`,86,2023-05-03 21:32:00
7,Nordstrom Inc. stock underperforms Wednesday when compared to competitors,90,2023-05-02 21:06:00
8,"Nordstrom Inc. stock falls Tuesday, underperforms market",90,2023-05-02 10:04:00
9,"Nordstrom to close San Francisco’s Nordstrom store and Nordstrom Rack, citing lack of foot traffic",86,2023-05-02 08:53:00
10,JWN or FIGS: Which Is the Better Value Stock Right Now?,60,2023-05-02 08:40:03
11,Nordstrom price target lowered to $14 from $16 at Barclays,86,2023-05-02 01:39:00
12,"Nordstrom to close San Francisco`s Nordstrom store and Nordstrom Rack, citing lack of foot traffic",86,2023-05-01 19:55:00
13,"Nordstrom Inc. stock falls Monday, underperforms market",90,2023-05-01 10:04:00
16,Best Dividend Stock to Buy Now: Walmart vs. Lowe's vs. Nordstrom,86,2023-04-30 07:46:00
18,"Nordstrom Inc. stock rises Friday, still underperforms market",90,2023-04-28 10:04:00
21,June 9th Options Now Available For Nordstrom (JWN),86,2023-04-27 03:01:00
22,Nordstrom Inc. stock outperforms market on strong trading day,90,2023-04-26 10:04:00
23,Unusual Call Option Trade in Nordstrom (JWN)  Worth $623.76K,86,2023-04-25 14:19:08
24,Nordstrom Inc. stock underperforms Tuesday when compared to competitors,90,2023-04-25 10:04:00
25,Nordstrom call volume above normal and directionally bullish,86,2023-04-25 03:05:00
26,"Nordstrom Inc. stock rises Monday, outperforms market",90,2023-04-24 10:04:00
27,Nordstrom Inc. stock underperforms Friday when compared to competitors,90,2023-04-21 10:04:00
30,Nordstrom Inc. stock underperforms Thursday when compared to competitors,90,2023-04-20 10:04:00
31,Piper Sandler Sticks to Its Hold Rating for Nordstrom (JWN),86,2023-04-19 22:46:00
33,Ryan Cohen Drops Plan to Nominate Nordstrom Board Candidates,86,2023-04-19 15:20:54
34,Ryan Cohen withdraws Nordstrom board candidates - report,86,2023-04-19 00:44:00
35,"Ryan Cohen pulls Nordstrom board candidates, Bloomberg reports",86,2023-04-18 22:22:00
36,"Nordstrom Inc. stock rises Tuesday, outperforms market",90,2023-04-18 10:04:00
37,30-year Nordstrom executive joins Tilly's as chief merchandiser,86,2023-04-18 06:28:31
38,Nordstrom Stock (NYSE:JWN): Approach with Caution,86,2023-04-17 21:45:00
39,Nordstrom Adds Former Nike Veteran Eric Sprunk to Board,86,2023-04-17 08:22:00
41,Nordstrom Appoints Eric Sprunk to Board of Directors,86,2023-04-17 05:55:00
42,Nordstrom adds Nike vet to the board amid activist pressure,86,2023-04-17 05:21:00
43,Nordstrom adds former Nike executive to board as activist battle continues,86,2023-04-17 03:00:54
45,"Tilly’s, Inc. Appoints Laura Janney as EVP, Chief Merchandising Officer",86,2023-04-16 23:30:00
48,Nordstrom Appoints Jason Morris as Chief Technology and Information Officer,86,2023-04-14 11:00:00
49,"Nordstrom Inc. stock falls Friday, underperforms market",90,2023-04-14 10:04:00
50,Nordstrom (JWN) on Track With Aggressive Store Expansion Efforts,86,2023-04-14 06:40:01
52,Nordstrom Inc. stock underperforms Thursday when compared to competitors despite daily gains,90,2023-04-13 10:03:00
53,"Nordstrom Rack to Open Five New California Stores in Davis, Elk Grove, Gilroy, Oceanside and San Mateo",86,2023-04-13 09:00:00
54,"Nordstrom Rack to Open New Location in Wheaton, Illinois",86,2023-04-13 09:00:00
55,"Nordstrom Rack to Open New Location in Snellville, Georgia",86,2023-04-13 09:00:00
56,"Nordstrom Rack to Open New Location in Macedonia, Ohio",86,2023-04-13 09:00:00
57,"Nordstrom Rack to Open New Location in Jacksonville Beach, Florida",86,2023-04-13 09:00:00
59,June 2nd Options Now Available For Nordstrom,86,2023-04-13 03:45:00
61,"Nordstrom Inc. stock falls Wednesday, underperforms market",90,2023-04-12 10:03:00
65,Nordstrom to open Nordstrom Rack in Elk Grove in 2024,86,2023-04-10 21:38:00
66,"Nordstrom Rack to Open New Location in Elk Grove, California",86,2023-04-10 19:38:00
67,Nordstrom Inc. stock outperforms competitors on strong trading day,90,2023-04-10 10:03:00
68,Here's What's Concerning About Nordstrom's (NYSE:JWN) Returns On Capital,86,2023-04-06 03:06:04
69,Nordstrom Inc. stock outperforms competitors despite losses on the day,90,2023-04-05 10:04:00
74,"Nordstrom Inc. stock rises Friday, outperforms market",90,2023-03-31 10:06:00
78,"Nordstrom Inc. stock falls Thursday, underperforms market",90,2023-03-30 10:04:00
81,"Nordstrom Inc. stock rises Wednesday, still underperforms market",90,2023-03-29 10:03:00
84,JWN May 5th Options Begin Trading,60,2023-03-23 03:08:00
85,Implied Volatility Surging for Nordstrom (JWN) Stock Options,86,2023-03-22 05:32:12
88,"An Intrinsic Calculation For Nordstrom, Inc. (NYSE:JWN) Suggests It's 35% Undervalued",86,2023-03-20 10:44:32
89,Nordstrom Inc. stock underperforms Monday when compared to competitors,90,2023-03-20 10:04:00
90,Warning: JWN is at high risk of cutting its dividend,60,2023-03-16 19:46:00
91,May 19th Options Now Available For Nordstrom (JWN),86,2023-03-16 04:34:00
93,Nordstrom Exiting Canada May Provide Opportunity For Location-Based Entertainment Companies Like Cineplex,57,2023-03-15 04:09:19
96,"Nordstrom Rack to Open New Location in Natomas, California",86,2023-03-14 10:00:00
97,"Nordstrom Rack to Open New Location in San Antonio, Texas",86,2023-03-14 10:00:00
98,Can Nordstrom (JWN) Get Back on Track Via Solid Growth Efforts?,86,2023-03-14 06:25:01
99,6 Best Items To Buy at Nordstrom and Other Department Stores This Spring,86,2023-03-14 04:00:19
100,Nordstrom: Further Retail Issues Ahead,86,2023-03-11 23:39:47
106,JWN Breaks Above 4% Yield Territory,60,2023-03-08 18:35:00
107,Interesting JWN Put And Call Options For April 28th,60,2023-03-08 17:26:00
