,headline,final_score,datetime
0,Unusual Put Option Trade in Keycorp (KEY)  Worth $153.60K,86,2023-05-04 17:14:38
2,KeyCorp executive buys up stock amid regional-bank selloff,86,2023-05-04 12:41:00
5,KeyCorp stock underperforms Thursday when compared to competitors,86,2023-05-04 10:05:00
10,KeyBank Names Seth Keirns Market President in Northern Indiana,60,2023-05-04 06:15:00
11,KEYCORP ENGAGES THIRD-PARTY FOR RACIAL EQUITY AUDIT,86,2023-05-04 06:00:00
14,KEY June 23rd Options Begin Trading,60,2023-05-04 03:09:00
18,KeyCorp: Not The Right Time To Buy The Stock Yet,86,2023-05-03 23:45:39
20,KeyCorp exec buys $733.5K in common stock,86,2023-05-03 22:03:00
24,"Regional banks were 'naked when the storm hit them', says Odeon Capital's Dick Bove",52,2023-05-03 13:50:54
25,KEYCORP RAISES ITS PRIME LENDING RATE TO 8.25 PERCENT,86,2023-05-03 12:37:00
27,KeyCorp stock underperforms Wednesday when compared to competitors,86,2023-05-03 10:05:00
31,KeyBank Ranked #22 on DiversityInc’s 2023 Top 50 Companies for Diversity,60,2023-05-03 06:50:00
38,KeyBank Ranked #22 on DiversityInc`s 2023 Top 50 Companies for Diversity,60,2023-05-03 01:50:00
39,"KeyCorp raises prime lending rate to 8.25% from 8.00%, effective May 4",86,2023-05-02 19:41:00
43,KeyBank Provides $67 Million of Financing for Affordable Senior Housing Property in Oregon,60,2023-05-02 10:10:00
44,"KeyCorp stock falls Tuesday, underperforms market",86,2023-05-02 10:04:00
45,Why KeyCorp Stock Dropped 10% in April,86,2023-05-02 10:03:00
47,"Why Shares of PacWest Bancorp, KeyCorp, and Comerica Are Falling Today",86,2023-05-02 09:04:21
49,"KeyCorp’s 2022 ESG Report Highlights Efforts Around Diversity, Equity & Inclusion",86,2023-05-02 06:10:00
50,New 52-Week Low Could Prompt More Insider Buying At KEY,86,2023-05-02 05:16:00
52,"PacWest Bancorp, Western Alliance stocks post steep losses in wake of First Republic deal",52,2023-05-02 03:36:00
53,KeyCorp put volume heavy and directionally bearish,86,2023-05-02 02:35:00
54,"KeyCorp`s 2022 ESG Report Highlights Efforts Around Diversity, Equity & Inclusion",86,2023-05-02 01:12:00
55,KeyCorp stock underperforms Monday when compared to competitors,86,2023-05-01 10:04:00
57,Key4Women Hosts Free Webinar To Help Women Learn New Tactics To Achieve Balance and Confidence in Their Professional and Personal Lives,60,2023-05-01 06:15:00
59,New York Community Bank Delivered Solid Earnings And Came Out Of The Financial Debacle Stronger,86,2023-05-01 02:00:00
62,KeyCorp stock outperforms market on strong trading day,86,2023-04-28 10:04:00
63,KeyBank Teammates Speak About Community Investment and How Banks Can Help Make Homebuying and Home Ownership Easier,60,2023-04-28 07:45:00
64,KeyCorp’s 2022 ESG Report Highlights Climate Stewardship,86,2023-04-28 06:15:00
65,Implied Volatility Surging for KeyCorp (KEY) Stock Options,86,2023-04-28 05:32:12
67,KeyCorp`s 2022 ESG Report Highlights Climate Stewardship,86,2023-04-28 01:15:00
68,KeyBank Loan Officer Shares Advice That Can Make Homeownership More Affordable,60,2023-04-27 06:10:00
69,KEY June 9th Options Begin Trading,60,2023-04-27 03:19:00
70,KeyCorp (NYSE:KEY) Q1 2023 Earnings Call Transcript,86,2023-04-26 23:29:32
75,Top Buys by Top Brass: Head of Consumer Bank Alexander`s $100.6K Bet on KEY,60,2023-04-26 05:48:00
78,"KeyCorp: The 8% Yield Is Higher Than PE, Time To Buy",86,2023-04-26 01:05:49
81,Unusual Put Option Trade in Keycorp (KEY)  Worth $268.60K,86,2023-04-25 14:11:00
82,KeyCorp stock underperforms Tuesday when compared to competitors,86,2023-04-25 10:04:00
85,KeyCorp Becomes Oversold,90,2023-04-24 20:30:00
86,IN BRIEF: Keystone Law shares fall as warns of cooling lawyer demand,60,2023-04-24 02:29:00
87,"Analysts Offer Insights on Financial Companies: Deutsche Bank AG (DB), KeyCorp (KEY) and Regions Financial (RF)",60,2023-04-24 00:31:00
89,"UBS keeps Buy rating on KeyCorp, lowers price target to $15",86,2023-04-22 22:18:00
91,KeyCorp stock underperforms Friday when compared to competitors,86,2023-04-21 10:04:00
93,Citigroup Maintains Keycorp (KEY) Buy Recommendation,86,2023-04-21 07:41:41
94,Wells Fargo Maintains Keycorp (KEY) Overweight Recommendation,86,2023-04-21 07:41:39
95,Wedbush Reiterates Keycorp (KEY) Hold Neutral Recommendation,86,2023-04-21 07:41:39
96,RBC Capital Maintains Keycorp (KEY) Outperform Recommendation,86,2023-04-21 07:41:38
97,DA Davidson Maintains Keycorp (KEY) Buy Recommendation,86,2023-04-21 07:41:38
98,KeyCorp price target lowered to $17 from $20 at Wells Fargo,86,2023-04-21 00:09:00
99,KeyCorp price target lowered to $15 from $16 at DA Davidson,86,2023-04-21 00:07:00
100,D.A. Davidson Sticks to Its Buy Rating for KeyCorp (KEY),86,2023-04-20 23:45:00
101,KeyCorp price target lowered to $16 from $20 at Citi,86,2023-04-20 22:51:00
102,Wedbush Sticks to Its Hold Rating for KeyCorp (KEY),86,2023-04-20 22:45:00
103,Barclays Sticks to Its Hold Rating for KeyCorp (KEY),86,2023-04-20 20:26:00
108,KeyCorp misses quarterly profit estimate on higher loan provisions,86,2023-04-20 09:58:38
111,"KeyCorp Shares Dip on Q1 Earnings Miss, Deposits Down Y/Y",86,2023-04-20 08:26:40
114,"KeyCorp (KEY) Q1 Earnings Beat Estimates on NII, Stock Tanks",86,2023-04-20 07:30:02
116,KeyCorp (KEY) Reports Q1 Earnings: What Key Metrics Have to Say,86,2023-04-20 06:30:01
118,KeyCorp (KEY) Q1 Earnings Top Estimates,86,2023-04-20 05:05:12
119,Marathon Petroleum and KeyCorp have been highlighted as Zacks Bull and Bear of the Day,86,2023-04-20 04:40:11
121,KeyCorp (KEY) Q1 2023 Earnings Call Transcript,86,2023-04-20 04:24:08
122,"KEYCORP REPORTS FIRST QUARTER 2023 NET INCOME OF $275 MILLION, OR $.30 PER DILUTED COMMON SHARE",86,2023-04-20 03:30:00
123,KeyCorp CFO doesn`t see `material share repurchases` in near term,86,2023-04-20 03:03:00
125,KeyCorp 2023 Q1 - Results - Earnings Call Presentation,86,2023-04-20 02:42:57
126,"Stocks making the biggest premarket moves: Tesla, IBM, American Express, KeyCorp and more",86,2023-04-20 01:09:10
127,Bear of the Day: KeyCorp (KEY),86,2023-04-20 01:00:08
128,"KeyCorp stock retreats after Q1 earnings miss estimates, NII guidance cut",86,2023-04-20 00:57:00
129,"KeyCorp`s, Comerica`s and Zions` stocks slide as lost deposits weigh on earnings",86,2023-04-20 00:35:00
131,"KeyCorp's, Comerica's and Zions' stocks slide as lost deposits weigh on earnings",86,2023-04-19 23:55:00
132,KeyCorp sees FY23 NII down 1%-3% vs. previous view up 1%-4%,86,2023-04-19 23:14:00
133,KeyCorp reiterates long-term targets,86,2023-04-19 23:13:00
134,KeyCorp stock drops after missing earnings target and losing deposits,86,2023-04-19 22:55:00
135,"KeyCorp reports Q1 EPS 30c, consensus 44c",86,2023-04-19 22:44:00
136,"KeyCorp GAAP EPS of $0.30 misses by $0.14, revenue of $1.71B misses by $90M",86,2023-04-19 22:37:00
138,KEY Dividend Yield Pushes Past 7%,60,2023-04-19 19:33:00
143,KeyCorp Q1 2023 Earnings Preview,86,2023-04-19 04:11:00
145,"KeyCorp Issues 2022 Environmental, Social, and Governance Report",86,2023-04-18 06:15:00
146,The Bank of New York Mellon Corporation (BK) Surpasses Q1 Earnings and Revenue Estimates,86,2023-04-18 05:15:12
149,Unusual Put Option Trade in KeyCorp (KEY)  Worth $132.89K,86,2023-04-17 16:37:18
150,"KeyCorp stock rises Monday, outperforms market",86,2023-04-17 10:04:00
151,KeyBank Helps Prepare Buyers for the Home Lending Process,60,2023-04-17 06:10:00
154,Dayton REALTORS(R) Honors KeyBank’s Kenya K. Taylor with 2023 Marie Kindrick Fair Housing Award,60,2023-04-14 06:20:00
157,Dayton REALTORS(R) Honors KeyBank`s Kenya K. Taylor with 2023 Marie Kindrick Fair Housing Award,60,2023-04-14 01:20:00
159,KeyCorp (KEY) Outpaces Stock Market Gains: What You Should Know,86,2023-04-13 15:00:10
160,"KeyCorp stock rises Thursday, outperforms market",86,2023-04-13 10:03:00
161,"Higher Rates, Loan Growth to Aid KeyCorp's (KEY) Q1 Earnings",86,2023-04-13 07:37:02
162,Earnings Preview: KeyCorp (KEY) Q1 Earnings Expected to Decline,86,2023-04-13 07:00:02
163,KeyBank’s Presence in Western Michigan Grows with Opening of New Office and Community Support in Grand Rapids,60,2023-04-13 06:15:00
164,Interesting KEY Put And Call Options For June 2nd,60,2023-04-13 03:46:00
