,ticker,sentiment
2023-04-05 21:19:00,KEY,-0.128
2023-04-06 01:05:00,KEY,0.5267
2023-04-06 10:00:00,KEY,0.3869
2023-04-06 10:04:00,KEY,0.5106
2023-04-10 02:15:00,KEY,-0.5423
2023-04-10 03:12:00,KEY,-0.8546
2023-04-10 14:24:38,KEY,0.2263
2023-04-11 00:55:08,KEY,-0.3919
2023-04-11 22:15:00,KEY,-0.128
2023-04-12 06:20:00,KEY,-0.2023
2023-04-13 01:15:00,KEY,0.6908
2023-04-13 03:46:00,KEY,0.4019
2023-04-13 06:15:00,KEY,0.6908
2023-04-13 07:37:02,KEY,0.3818
2023-04-13 15:00:10,KEY,0.34
2023-04-14 01:20:00,KEY,0.8442
2023-04-14 05:51:00,KEY,0.5719
2023-04-14 06:20:00,KEY,0.8442
2023-04-14 08:37:00,KEY,-0.128
2023-04-16 23:11:00,KEY,-0.3612
2023-04-17 06:10:00,KEY,0.3818
2023-04-17 16:37:18,KEY,0.2263
2023-04-17 21:33:00,KEY,0.25
2023-04-19 19:00:00,KEY,0.1531
2023-04-19 20:02:00,KEY,-0.1027
2023-04-19 22:37:00,KEY,-0.4215
2023-04-19 22:55:00,KEY,-0.5859
2023-04-19 23:55:00,KEY,-0.3182
2023-04-20 00:30:00,KEY,-0.3612
2023-04-20 00:35:00,KEY,-0.3182
2023-04-20 00:57:00,KEY,-0.4019
2023-04-20 03:03:00,KEY,0.296
2023-04-20 03:30:00,KEY,0.4466
2023-04-20 04:38:22,KEY,-0.4019
2023-04-20 05:05:12,KEY,0.2023
2023-04-20 05:58:47,KEY,0.2023
2023-04-20 07:13:26,KEY,0.4588
2023-04-20 07:48:52,KEY,0.6369
2023-04-20 08:26:40,KEY,0.1531
2023-04-20 09:58:38,KEY,0.25
2023-04-20 16:29:51,KEY,-0.1531
2023-04-20 18:04:00,KEY,0.4404
2023-04-20 22:51:00,KEY,-0.128
2023-04-21 00:09:00,KEY,0.128
2023-04-21 08:18:24,KEY,0.6369
2023-04-22 04:45:26,KEY,0.3995
2023-04-22 22:18:00,KEY,-0.128
2023-04-23 03:17:23,KEY,-0.743
2023-04-24 02:29:00,KEY,0.0772
2023-04-25 01:36:00,KEY,-0.128
2023-04-25 14:11:00,KEY,0.2263
2023-04-25 18:01:00,KEY,-0.4215
2023-04-26 02:00:00,KEY,0.4019
2023-04-26 05:48:00,KEY,0.3818
2023-04-26 07:55:00,KEY,0.4588
2023-04-27 06:10:00,KEY,0.296
2023-04-28 07:45:00,KEY,0.6705
2023-04-28 10:04:00,KEY,0.5106
2023-04-30 20:49:00,KEY,-0.6249
2023-05-01 02:00:00,KEY,0.4939
2023-05-01 05:40:00,KEY,0.2023
2023-05-01 06:15:00,KEY,0.8519
2023-05-01 08:57:00,KEY,-0.5106
2023-05-02 03:36:00,KEY,-0.4019
2023-05-02 05:16:00,KEY,-0.2732
2023-05-02 07:56:27,KEY,-0.5106
2023-05-02 09:04:21,KEY,0.1531
2023-05-02 12:45:15,KEY,-0.128
2023-05-02 14:15:38,KEY,-0.1531
2023-05-02 19:41:00,KEY,0.4767
2023-05-03 01:50:00,KEY,0.2023
2023-05-03 03:17:28,KEY,-0.6486
2023-05-03 03:28:00,KEY,0.296
2023-05-03 05:25:12,KEY,-0.1531
2023-05-03 06:50:00,KEY,0.2023
2023-05-03 06:57:42,KEY,0.34
2023-05-03 08:25:46,KEY,-0.1531
2023-05-03 13:50:54,KEY,-0.5106
2023-05-03 16:52:22,KEY,0.296
2023-05-03 21:12:00,KEY,-0.4023
2023-05-03 22:25:19,KEY,0.296
2023-05-04 00:38:00,KEY,-0.8074
2023-05-04 03:07:39,KEY,0.5423
2023-05-04 05:54:48,KEY,-0.1531
2023-05-04 06:00:00,KEY,0.25
2023-05-04 07:17:02,KEY,0.1531
2023-05-04 09:14:50,KEY,-0.7351
2023-05-04 09:46:07,KEY,-0.1531
2023-05-04 11:40:14,KEY,-0.7845
2023-05-04 12:38:34,KEY,-0.7351
2023-05-04 13:00:21,KEY,-0.7845
2023-05-04 17:14:38,KEY,0.2263
