,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),KIM,149.829,334.663,293.188,123.947
Other short-term investments(figures in $M),KIM,597.732,1211.739,706.954,0.0
Total cash(figures in $M),KIM,747.561,1546.402,1000.142,123.947
Net receivables(figures in $M),KIM,304.226,254.677,219.248,218.689
Total current assets(figures in $M),KIM,1051.787,1801.079,1219.39,342.636
"Gross property, plant and equipment(figures in $M)",KIM,133.733,147.458,102.369,99.125
"Net property, plant and equipment(figures in $M)",KIM,133.733,147.458,102.369,99.125
Equity and other investments(figures in $M),KIM,1199.132,1128.914,707.834,772.518
Other long-term assets(figures in $M),KIM,401.642,340.176,233.192,354.365
Total non-current assets(figures in $M),KIM,16774.335,16658.12,10395.108,10655.231
Total assets(figures in $M),KIM,17826.122,18459.199,11614.498,10997.867
Accounts payable(figures in $M),KIM,207.815,220.308,146.457,170.082
Total current liabilities(figures in $M),KIM,5.326,5.366,5.366,126.274
Long-term debt(figures in $M),KIM,7157.886,7475.702,5355.48,5315.767
Other long-term liabilities(figures in $M),KIM,809.389,730.69,470.995,516.265
Total non-current liabilities(figures in $M),KIM,8080.954,8330.171,5923.094,5924.743
Total liabilities(figures in $M),KIM,8086.28,8335.537,5928.46,6051.017
Common stock(figures in $M),KIM,6.204,6.187,4.345,4.338
Retained earnings(figures in $M),KIM,-119.548,299.115,-162.812,-904.679
Accumulated other comprehensive income(figures in $M),KIM,10.581,2.216,0.0,0.0
Total stockholders' equity(figures in $M),KIM,9515.508,9899.389,5608.044,4864.892
Total liabilities and stockholders' equity(figures in $M),KIM,17826.122,18459.199,11614.498,10997.867
