,2022,2021,2020,2019,2018,ticker
Current ratio,197.482,335.646,227.244,2.713,1.156,KIM
Quick ratio,197.482,335.646,227.244,2.713,1.156,KIM
Cash ratio,28.132,62.367,54.638,0.982,0.471,KIM
Days of sales outstanding,64.272,68.121,75.646,68.878,62.353,KIM
Days of inventory outstanding,0,0,0,0,0,KIM
Operating cycle,64.272,68.121,75.646,68.878,62.353,KIM
Days of payables outstanding,142.873,192.415,155.865,184.240,194.302,KIM
Cash conversion cycle,-78.601,-124.294,-80.219,-115.362,-131.949,KIM
Gross profit margin,0.693,0.694,0.676,0.709,0.718,KIM
Operating profit margin,0.327,0.311,0.314,0.412,0.500,KIM
Pretax profit margin,0.026,0.546,0.877,0.269,0.343,KIM
Net profit margin,-0.007,0.619,0.946,0.272,0.427,KIM
Effective tax rate,1.279,0.005,0.001,-0.011,0.004,KIM
Return on assets,-0.001,0.046,0.086,0.029,0.045,KIM
Return on equity,-0.001,0.085,0.178,0.065,0.093,KIM
Return on capital employed,0.032,0.023,0.029,0.044,0.054,KIM
Net income per EBT,-0.279,1.133,1.079,1.011,1.247,KIM
Ebt per ebit,0.078,1.756,2.790,0.653,0.686,KIM
Ebit per revenue,0.327,0.311,0.314,0.412,0.500,KIM
Debt ratio,0.454,0.452,0.510,0.550,0.508,KIM
Debt equity ratio,0.764,0.768,0.972,1.112,0.914,KIM
Long term debt to capitalization,0.433,0.434,0.493,0.526,0.477,KIM
Total debt to capitalization,0.433,0.434,0.493,0.526,0.477,KIM
Interest coverage,2.493,2.078,1.780,2.692,3.177,KIM
Cash flow to debt ratio,0.118,0.081,0.108,0.108,0.131,KIM
Company equity multiplier,1.873,1.865,2.071,2.261,2.062,KIM
Receivables turnover,5.679,5.358,4.825,5.299,5.854,KIM
Payables turnover,2.555,1.897,2.342,1.981,1.879,KIM
Inventory turnover,0,0,0,0,0,KIM
Fixed asset turnover,12.919,9.254,10.334,11.691,0,KIM
Asset turnover,0.097,0.074,0.091,0.105,0.106,KIM
Operating cash flow per share,1.399,1.222,1.372,1.388,1.517,KIM
Free cash flow per share,1.399,1.222,1.372,1.388,1.517,KIM
Cash per share,1.215,3.055,2.326,0.295,0.366,KIM
Payout ratio,-44.109,0.453,0.380,1.686,1.064,KIM
Operating cash flow sales ratio,0.498,0.454,0.558,0.504,0.548,KIM
Free cash flow operating cash flow ratio,1,1,1,1,1,KIM
Cash flow coverage ratios,0.118,0.081,0.108,0.108,0.131,KIM
Short term coverage ratios,0,0,0,0,0,KIM
Capital expenditure coverage ratio,0,0,0,0,0,KIM
Dividend paid and capex coverage ratio,1.581,1.620,1.553,1.098,1.204,KIM
Dividend payout ratio,-44.109,0.453,0.380,1.686,1.064,KIM
Price book value ratio,1.370,1.261,1.151,1.790,1.155,KIM
Price to book ratio,1.370,1.261,1.151,1.790,1.155,KIM
Price to sales ratio,7.546,9.145,6.100,7.512,5.291,KIM
Price earnings ratio,-1.056 K,14.785,6.448,27.609,12.379,KIM
Price to free cash flows ratio,15.140,20.164,10.940,14.917,9.660,KIM
Price to operating cash flows ratio,15.140,20.164,10.940,14.917,9.660,KIM
Price cash flow ratio,15.140,20.164,10.940,14.917,9.660,KIM
Price earnings to growth ratio,10.426,-0.514,0.032,-1.043,0.718,KIM
Price sales ratio,7.546,9.145,6.100,7.512,5.291,KIM
Dividend yield,0.042,0.031,0.059,0.061,0.086,KIM
Enterprise value multiple,18.225,22.895,18.555,18.988,10.979,KIM
Price fair value,1.370,1.261,1.151,1.790,1.155,KIM
