,headline,final_score,datetime
0,KLA Declares Regular Cash Dividend,86,2023-05-04 15:00:00
1,"KLA Corp. stock falls Thursday, underperforms market",90,2023-05-04 10:05:00
2,KLA Corp. stock outperforms market despite losses on the day,90,2023-05-03 10:05:00
3,"KLA Corp. stock falls Tuesday, underperforms market",90,2023-05-02 10:05:00
4,"KLA Corp. stock falls Monday, underperforms market",90,2023-05-01 10:04:00
7,"Analysts` Opinions Are Mixed on These Technology Stocks: KLA (KLAC), Silicon Laboratories (SLAB) and Sensata (ST)",60,2023-04-30 02:20:00
8,"KLA Corp. stock rises Friday, still underperforms market",90,2023-04-28 10:04:00
9,Goldman Sachs Maintains KLA-Tencor (KLAC) Buy Recommendation,86,2023-04-28 05:35:19
10,Why We Like The Returns At KLA (NASDAQ:KLAC),86,2023-04-28 03:42:55
11,Morgan Stanley Maintains KLA-Tencor (KLAC) Equal-Weight Recommendation,57,2023-04-27 13:40:40
12,Needham Reiterates KLA-Tencor (KLAC) Buy Recommendation,86,2023-04-27 13:40:40
14,KLA Q1 Results: Demonstrating Strength Amid Chaos,86,2023-04-27 05:23:03
16,"Analysts Offer Insights on Technology Companies: KLA (KLAC), Silicon Laboratories (SLAB) and Aspen Technology, Inc. (AZPN)",60,2023-04-27 04:31:00
18,KLA Corp rises as Wall Street says chip equipment demand could be `stabilizing`,60,2023-04-27 01:05:00
19,KLA (KLAC) Gets a Sell from Barclays,86,2023-04-26 23:16:00
20,KLA (KLAC): New Buy Recommendation for This Technology Giant,86,2023-04-26 22:35:00
21,"Analysts Conflicted on These Technology Names: Automatic Data Processing (ADP), Wolfspeed (WOLF) and KLA (KLAC)",60,2023-04-26 21:31:00
22,���Locked and Loaded��� for Earnings Season,53,2023-04-26 20:37:00
24,KLA Corp forecasts upbeat fourth-quarter on robust demand for chip tools ,60,2023-04-26 14:11:25
25,KLA Corporation Reports Fiscal 2023 Third Quarter Results,90,2023-04-26 13:05:00
26,KLA Corporation (KLAC) Q3 2023 Earnings Call Transcript,90,2023-04-26 11:53:06
27,KLA Corporation: The Only Semiconductor Equipment Stock To Own Following Earnings,60,2023-04-26 11:30:05
29,"KLA reports top-end third quarter revenue, but profit falls",86,2023-04-26 10:07:00
30,KLA Corporation 2023 Q3 - Results - Earnings Call Presentation,90,2023-04-26 09:45:41
31,KLA: Fiscal Q3 Earnings Snapshot,86,2023-04-26 09:36:00
32,KLA stock rises as weak  outlook overlooked on forecast of second-half recovery,57,2023-04-26 09:28:00
35,"KLA earnings top Wall Street estimates, but outlook doesn`t",86,2023-04-25 20:29:00
36,"KLA Non-GAAP EPS of $5.49 beats by $0.20, revenue of $2.43B beats by $50M",57,2023-04-25 20:13:00
37,"KLA Corp. sees Q4 adjusted EPS $4.23-$5.43, consensus $4.43",90,2023-04-25 20:08:00
38,"KLA Corp. reports Q3 adjusted EPS $5.49, consensus $5.32",90,2023-04-25 20:06:00
40,"KLA Corp. stock rises Monday, outperforms market",90,2023-04-24 10:05:00
43,"KLA Corp. stock falls Friday, underperforms market",90,2023-04-21 10:05:00
45,"KLA Corp. stock rises Thursday, outperforms market",90,2023-04-20 10:05:00
50,"KLA Corp. stock falls Wednesday, underperforms market",90,2023-04-19 10:04:00
53,Stifel Maintains KLA-Tencor (KLAC) Buy Recommendation,86,2023-04-18 16:17:57
54,KLA: Double-Digit Growth Potential For 2023,86,2023-04-18 09:35:17
55,KLA Corp. price target lowered to $445 from $505 at Stifel,90,2023-04-18 02:32:00
56,"KLA Corp. stock rises Friday, outperforms market",90,2023-04-14 10:04:00
57,"KLA Corp. stock rises Thursday, still underperforms market",90,2023-04-13 10:04:00
61,The KLA Advantage: Resilience Amid A Challenging Semiconductor Landscape,57,2023-04-07 19:03:29
63,Exane BNP Paribas Downgrades KLA-Tencor (KLAC),86,2023-04-06 14:24:04
64,What Makes KLA Corporation (KLAC) an Attractive Investment?,90,2023-04-06 04:34:23
65,KLA Corp. downgraded to Neutral from Outperform at Exane BNP Paribas,60,2023-04-05 21:40:00
67,KLA Announces Third Quarter Fiscal Year 2023 Earnings Date,86,2023-04-03 13:05:00
68,"KLA Corp. stock rises Wednesday, outperforms market",90,2023-03-29 10:04:00
71,"KLA Corp. stock falls Wednesday, still outperforms market",90,2023-03-22 10:04:00
72,"KLA Corp. stock rises Monday, still underperforms market",90,2023-03-20 10:04:00
73,"KLA Corp. stock falls Friday, still outperforms market",90,2023-03-17 10:04:00
75,"KLA Corp. stock rises Tuesday, outperforms market",90,2023-03-14 10:05:00
83,Calculating The Fair Value Of KLA Corporation (NASDAQ:KLAC),90,2023-03-08 11:43:07
84,"KLA Corp. stock falls Tuesday, still outperforms market",90,2023-03-07 09:05:00
85,KLA Corporation: Thinking Long Term,90,2023-03-07 06:11:16
