,ticker,sentiment
2023-04-06 04:34:23,KLAC,0.4404
2023-04-07 19:03:29,KLAC,0.3818
2023-04-11 20:30:00,KLAC,0.1779
2023-04-13 01:04:20,KLAC,0.34
2023-04-18 02:32:00,KLAC,-0.128
2023-04-18 09:35:17,KLAC,0.3818
2023-04-19 05:35:32,KLAC,0.3818
2023-04-21 05:32:00,KLAC,0.1779
2023-04-24 01:36:00,KLAC,-0.4404
2023-04-24 05:02:00,KLAC,-0.296
2023-04-25 17:38:00,KLAC,0.4019
2023-04-25 20:29:00,KLAC,0.1027
2023-04-26 09:28:00,KLAC,-0.4588
2023-04-26 10:07:00,KLAC,0.5927
2023-04-26 14:11:25,KLAC,0.2263
2023-04-26 17:30:00,KLAC,-0.1027
2023-04-27 01:05:00,KLAC,-0.128
2023-04-27 04:37:00,KLAC,-0.2263
2023-04-27 05:23:03,KLAC,-0.128
2023-04-27 09:24:00,KLAC,0.4215
2023-04-28 03:42:55,KLAC,0.3612
2023-05-01 05:40:34,KLAC,0.5187
2023-05-01 09:51:05,KLAC,0.5267
2023-05-03 10:05:00,KLAC,0.3089
