,ticker,sentiment
2023-04-05 10:04:00,KMI,0.4939
2023-04-05 23:53:00,KMI,0.2023
2023-04-06 04:48:00,KMI,0.4019
2023-04-06 05:21:12,KMI,0.4939
2023-04-06 05:32:00,KMI,0.3818
2023-04-06 10:05:00,KMI,0.4939
2023-04-07 02:00:00,KMI,0.6249
2023-04-07 02:39:00,KMI,0.8225
2023-04-08 07:30:00,KMI,0.2023
2023-04-10 14:12:15,KMI,0.6249
2023-04-10 15:00:10,KMI,0.6808
2023-04-10 17:49:54,KMI,0.5859
2023-04-11 06:00:01,KMI,0.4939
2023-04-11 10:04:00,KMI,0.4939
2023-04-12 05:30:00,KMI,0.4939
2023-04-12 10:04:00,KMI,0.4939
2023-04-12 11:27:06,KMI,0.4588
2023-04-13 03:43:00,KMI,0.6249
2023-04-13 14:50:09,KMI,0.6808
2023-04-13 21:02:00,KMI,0.5413
2023-04-14 06:36:01,KMI,0.4939
2023-04-15 05:07:00,KMI,0.7003
2023-04-16 02:30:00,KMI,0.2023
2023-04-16 04:55:00,KMI,0.4939
2023-04-16 08:20:00,KMI,0.5859
2023-04-16 17:50:41,KMI,0.4939
2023-04-17 01:30:35,KMI,0.4939
2023-04-17 18:58:00,KMI,0.4939
2023-04-17 21:12:00,KMI,0.3818
2023-04-17 22:31:00,KMI,0.4019
2023-04-18 10:10:24,KMI,0.3818
2023-04-18 10:29:29,KMI,0.5824
2023-04-18 16:49:06,KMI,0.4939
2023-04-18 18:19:00,KMI,0.6597
2023-04-18 20:06:00,KMI,0.4939
2023-04-18 20:07:00,KMI,0.6597
2023-04-18 20:08:00,KMI,0.4588
2023-04-18 20:10:00,KMI,0.3182
2023-04-18 20:21:00,KMI,0.4939
2023-04-18 22:06:00,KMI,0.4939
2023-04-19 07:27:13,KMI,0.7783
2023-04-19 09:12:00,KMI,0.4939
2023-04-19 09:40:00,KMI,0.4939
2023-04-19 09:58:00,KMI,0.6597
2023-04-19 10:31:06,KMI,0.4939
2023-04-19 13:05:00,KMI,0.4939
2023-04-19 13:09:30,KMI,0.7269
2023-04-19 14:15:43,KMI,0.7269
2023-04-19 14:25:09,KMI,0.4939
2023-04-19 21:06:00,KMI,0.4939
2023-04-19 22:31:00,KMI,0.7184
2023-04-20 02:45:35,KMI,0.4926
2023-04-20 03:17:35,KMI,0.4939
2023-04-20 04:15:00,KMI,0.7184
2023-04-20 04:49:00,KMI,-0.5423
2023-04-20 17:46:07,KMI,0.4939
2023-04-20 21:32:00,KMI,0.4939
2023-04-21 01:51:00,KMI,0.128
2023-04-21 08:18:24,KMI,0.6369
2023-04-21 10:05:00,KMI,0.4939
2023-04-22 05:15:00,KMI,0.6124
2023-04-22 17:22:39,KMI,0.7096
2023-04-23 05:20:17,KMI,0.4939
2023-04-24 02:07:43,KMI,0.7579
2023-04-24 04:15:00,KMI,0.1531
2023-04-24 06:00:01,KMI,0.4939
2023-04-24 06:30:01,KMI,0.4939
2023-04-24 10:05:00,KMI,0.4939
2023-04-25 03:43:10,KMI,0.34
2023-04-25 10:05:00,KMI,0.4939
2023-04-26 01:00:00,KMI,0.5719
2023-04-26 01:05:00,KMI,0.2732
2023-04-26 22:06:52,KMI,0.4939
2023-04-27 11:56:05,KMI,0.5994
2023-04-27 22:35:21,KMI,0.8834
2023-04-28 07:30:02,KMI,0.4939
2023-04-28 10:05:00,KMI,0.4939
2023-04-30 02:30:00,KMI,0.2732
2023-05-01 10:05:00,KMI,0.4939
2023-05-01 10:44:53,KMI,0.3818
2023-05-01 19:55:00,KMI,-0.6597
2023-05-02 07:49:00,KMI,-0.8158
2023-05-02 21:07:00,KMI,0.4939
2023-05-03 14:40:40,KMI,0.5859
2023-05-04 03:13:00,KMI,0.7269
2023-05-04 03:25:00,KMI,0.4019
2023-05-04 07:48:31,KMI,0.8481
2023-05-04 14:44:04,KMI,0.6597
2023-05-05 04:00:00,KMI,0.2023
2023-05-05 06:00:01,KMI,0.743
