,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),KO,9519.0,9684.0,6795.0,6480.0
Other short-term investments(figures in $M),KO,2112.0,2941.0,4119.0,4695.0
Total cash(figures in $M),KO,11631.0,12625.0,10914.0,11175.0
Net receivables(figures in $M),KO,3487.0,3512.0,3144.0,3971.0
Inventory(figures in $M),KO,4233.0,3414.0,3266.0,3379.0
Other current assets(figures in $M),KO,3240.0,2994.0,1916.0,1886.0
Total current assets(figures in $M),KO,22591.0,22545.0,19240.0,20411.0
"Gross property, plant and equipment(figures in $M)",KO,19075.0,18862.0,19700.0,18921.0
Accumulated depreciation(figures in $M),KO,-9234.0,-8942.0,-8923.0,-8083.0
"Net property, plant and equipment(figures in $M)",KO,9841.0,9920.0,10777.0,10838.0
Equity and other investments(figures in $M),KO,18765.0,18416.0,20085.0,19879.0
Goodwill(figures in $M),KO,18782.0,19363.0,17506.0,16764.0
Intangible assets(figures in $M),KO,14849.0,15250.0,11044.0,10002.0
Other long-term assets(figures in $M),KO,6189.0,6731.0,6184.0,6075.0
Total non-current assets(figures in $M),KO,70172.0,71809.0,68056.0,65970.0
Total assets(figures in $M),KO,92763.0,94354.0,87296.0,86381.0
Current debt(figures in $M),KO,2772.0,4645.0,2668.0,15247.0
Accounts payable(figures in $M),KO,15749.0,14619.0,11145.0,11312.0
Taxes payable(figures in $M),KO,1203.0,686.0,788.0,414.0
Accrued liabilities(figures in $M),KO,8421.0,7848.0,5439.0,6045.0
Total current liabilities(figures in $M),KO,19724.0,19950.0,14601.0,26973.0
Long-term debt(figures in $M),KO,36377.0,38116.0,40125.0,27516.0
Deferred tax liabilities(figures in $M),KO,2914.0,2821.0,1833.0,2284.0
Other long-term liabilities(figures in $M),KO,7922.0,8607.0,9453.0,8510.0
Total non-current liabilities(figures in $M),KO,47213.0,49544.0,51411.0,38310.0
Total liabilities(figures in $M),KO,66937.0,69494.0,66012.0,65283.0
Common stock(figures in $M),KO,1760.0,1760.0,1760.0,1760.0
Retained earnings(figures in $M),KO,71019.0,69094.0,66555.0,65810.0
Accumulated other comprehensive income(figures in $M),KO,-14895.0,-14330.0,-14601.0,-13499.0
Total stockholders' equity(figures in $M),KO,24105.0,22999.0,19299.0,18981.0
Total liabilities and stockholders' equity(figures in $M),KO,92763.0,94354.0,87296.0,86381.0
