,ticker,sentiment
2023-04-05 01:40:43,KR,-0.2263
2023-04-05 20:27:00,KR,0.25
2023-04-06 07:13:15,KR,-0.4939
2023-04-07 05:00:32,KR,-0.3612
2023-04-08 05:19:00,KR,-0.25
2023-04-10 10:00:00,KR,0.3182
2023-04-11 00:46:00,KR,0.0129
2023-04-11 00:51:00,KR,-0.1027
2023-04-11 01:44:00,KR,0.0129
2023-04-11 05:53:22,KR,0.4404
2023-04-11 14:06:09,KR,-0.4404
2023-04-12 00:04:00,KR,0.4019
2023-04-12 04:00:13,KR,-0.4019
2023-04-12 05:14:55,KR,0.4404
2023-04-12 06:02:01,KR,0.2023
2023-04-12 06:40:01,KR,0.7269
2023-04-12 09:22:51,KR,-0.34
2023-04-12 10:05:00,KR,0.3089
2023-04-13 06:14:01,KR,0.4019
2023-04-13 09:54:25,KR,-0.4019
2023-04-13 10:15:05,KR,-0.3182
2023-04-13 23:27:00,KR,0.6858
2023-04-14 06:27:01,KR,-0.0601
2023-04-14 08:30:00,KR,0.4215
2023-04-14 14:21:11,KR,0.2263
2023-04-16 04:00:30,KR,0.3818
2023-04-17 08:33:03,KR,0.4019
2023-04-19 06:40:01,KR,0.34
2023-04-20 03:00:00,KR,0.6369
2023-04-20 03:01:00,KR,0.4019
2023-04-20 07:41:35,KR,0.2023
2023-04-20 21:06:00,KR,0.5106
2023-04-21 12:17:44,KR,-0.3818
2023-04-24 08:46:00,KR,0.4588
2023-04-25 10:05:00,KR,0.3089
2023-04-25 22:01:00,KR,0.34
2023-04-26 03:25:00,KR,0.296
2023-04-26 10:57:46,KR,0.34
2023-04-27 04:00:15,KR,-0.2263
2023-04-27 06:00:01,KR,0.4767
2023-04-27 19:30:00,KR,0.3818
2023-04-28 05:27:21,KR,-0.4215
2023-04-28 07:57:58,KR,0.1265
2023-04-28 08:15:00,KR,-0.3626
2023-04-29 22:33:00,KR,0.3818
2023-04-30 00:01:00,KR,0.2023
2023-05-01 03:52:00,KR,0.4404
2023-05-01 09:51:05,KR,0.5267
2023-05-01 10:05:00,KR,0.5106
2023-05-02 07:13:00,KR,-0.3182
2023-05-02 08:36:00,KR,-0.1027
2023-05-02 11:30:00,KR,0.1027
2023-05-04 03:00:00,KR,0.4019
2023-05-04 04:24:00,KR,-0.296
2023-05-04 08:31:07,KR,-0.1027
