,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),L,14044.0,14044.0,14117.0,13794.0,14931.0
Interest expense(figures in $M),L,378.0,378.0,424.0,515.0,591.0
Total other income/expenses net(figures in $M),L,3774.0,3774.0,3563.0,4185.0,5099.0
Income before tax(figures in $M),L,1381.0,1381.0,2182.0,-1464.0,1119.0
Income tax expense(figures in $M),L,278.0,278.0,479.0,-173.0,248.0
Income from continuing operations(figures in $M),L,1103.0,1103.0,1703.0,-1291.0,871.0
Net income(figures in $M),L,1012.0,1012.0,1578.0,-931.0,932.0
Net income available to common shareholders(figures in $M),L,1012.0,1012.0,1578.0,-931.0,932.0
Basic EPS(figures in $M),L,,4.17e-06,6.08e-06,-3.32e-06,3.08e-06
Diluted EPS(figures in $M),L,,4.16e-06,6.07e-06,-3.32e-06,3.07e-06
Basic average shares(figures in $M),L,,242.83,259.67,280.32,302.7
Diluted average shares(figures in $M),L,,243.28,260.2,280.32,303.35
