,ticker,2023,2024,2025,2026,2027
Revenue(In $M),LH,"15,223","15,894","16,520","18,155",-
Dividend,LH,1.91,2.00,2.06,-,-
Dividend Yield (in %),LH,0.87 %,0.91 %,0.95 %,-,-
EPS,LH,16.98,18.72,20.65,23.16,26.48
P/E Ratio,LH,13.12,11.89,10.78,9.61,8.41
EBIT(In $M),LH,-,-,"2,480","2,693","2,831"
EBITDA(In $M),LH,-,"2,730","2,906","3,195",-
Net Profit(In $M),LH,"1,494","1,613","1,740","1,919",-
Net Profit Adjusted(In $M),LH,"1,494","1,613","1,740","1,919",-
Pre-Tax Profit(In $M),LH,"1,893","2,064","2,283","2,525",-
Net Profit (Adjusted)(In $M),LH,"1,887","2,070","2,260","2,394",-
EPS (Non-GAAP) ex. SOE(In $),LH,14.49,16.31,19.35,-,-
EPS (GAAP)(In $),LH,13.80,16.84,18.83,21.32,-
Gross Income(In $M),LH,"4,134","4,351","4,623","4,933",-
Cash Flow from Investing(In $M),LH,-611,-570,-534,-,-
Cash Flow from Operations(In $M),LH,-,-,"2,297",-,-
Cash Flow from Financing(In $M),LH,-862,-801,-942,-,-
Cash Flow per Share(In $),LH,19.64,23.61,26.39,-,-
Free Cash Flow(In $M),LH,-,"1,488","1,728",-,-
Free Cash Flow per Share(In $),LH,15.68,19.32,20.68,-,-
Book Value per Share(In $),LH,121.11,132.60,141.68,-,-
Net Debt(In $M),LH,"4,695","4,048","3,578",-,-
Research & Development Exp.(In $M),LH,-,-,-,-,-
Capital Expenditure(In $M),LH,491,508,508,-,-
"Selling, General & Admin. Exp.(In $M)",LH,"1,948","1,979","2,012","2,200",-
Shareholder’s Equity(In $M),LH,"10,565","11,212","12,012",-,-
Total Assets(In $M),LH,"20,302","20,967","22,140",-,-
