,headline,final_score,datetime
1,LABCORP TO WEBCAST ITS ANNUAL MEETING OF SHAREHOLDERS,86,2023-05-04 03:56:00
2,Laboratory Corp. of America Holdings stock underperforms Thursday when compared to competitors,87,2023-05-03 21:08:00
3,Laboratory Corp. of America Holdings stock underperforms Wednesday when compared to competitors despite daily gains,87,2023-05-03 10:07:00
4,LABCORP AND JEFFERSON HEALTH ANNOUNCE STRATEGIC LABORATORY RELATIONSHIP,86,2023-05-03 03:59:00
8,Laboratory Corp. of America Holdings stock outperforms competitors despite losses on the day,87,2023-05-02 10:06:00
9,Truist Securities Maintains Laboratory  Of America Holdings (LH) Buy Recommendation,86,2023-05-01 10:32:03
10,Laboratory Corp. of America Holdings stock outperforms competitors on strong trading day,87,2023-05-01 10:06:00
13,"Laboratory Corp. of America Holdings stock rises Friday, outperforms market",87,2023-04-28 10:06:00
15,Laboratory (LH) Receives a Buy from Mizuho Securities,86,2023-04-27 03:05:00
17,"Analysts Have Conflicting Sentiments on These Healthcare Companies: Laboratory (LH), Arbutus Biopharma (ABUS) and Chembio Diagnostics (CEMI)",86,2023-04-27 00:40:00
21,"Analysts Have Conflicting Sentiments on These Healthcare Companies: BioMarin Pharmaceutical (BMRN), Centene (CNC) and Laboratory (LH)",86,2023-04-25 22:51:00
22,"Analysts Offer Insights on Healthcare Companies: Biogen (BIIB), Lineage Therap (LCTX) and Laboratory (LH)",86,2023-04-25 22:21:00
23,Q1 2023 Laboratory Corporation of America Holdings Earnings Call,86,2023-04-25 21:05:48
24,An Intrinsic Calculation For Laboratory Corporation of America Holdings (NYSE:LH) Suggests It's 40% Undervalued,86,2023-04-25 10:39:21
25,"Laboratory Corp. of America Holdings stock falls Tuesday, underperforms market",87,2023-04-25 10:06:00
27,"LabCorp (LH) Q1 Earnings Miss Estimates, Margins Decline",60,2023-04-25 09:10:04
28,Laboratory Corporation of America Holdings (LH) Q1 2023 Earnings Call Transcript,86,2023-04-25 08:56:10
29,"Compared to Estimates, LabCorp (LH) Q1 Earnings: A Look at Key Metrics",60,2023-04-25 06:30:01
32,LabCorp (LH) Misses Q1 Earnings Estimates,60,2023-04-25 05:05:12
34,Laboratory Corporation of America Holdings 2023 Q1 - Results - Earnings Call Presentation,86,2023-04-25 03:07:33
36,Laboratory Corporation of America reports mixed Q1 earnings; narrows FY23 EPS outlook,86,2023-04-24 23:09:00
39,"Laboratory Corp. of America Holdings stock falls Monday, underperforms market",87,2023-04-24 10:06:00
40,Laboratory Corporation of America Q1 2023 Earnings Preview,86,2023-04-24 04:58:00
43,"Laboratory Corp. of America Holdings stock rises Thursday, outperforms market",87,2023-04-20 10:06:00
45,Laboratory Corp. of America Holdings stock outperforms market on strong trading day,87,2023-04-19 10:06:00
46,Laboratory Corp. of America Holdings stock underperforms Monday when compared to competitors despite daily gains,87,2023-04-17 10:06:00
47,LabCorp (LH) to Report Q1 Earnings: What's in the Cards?,60,2023-04-17 06:52:01
49,"Laboratory Corp. of America Holdings stock rises Thursday, still underperforms market",87,2023-04-13 10:06:00
50,"Laboratory Corp. of America Holdings stock falls Wednesday, underperforms market",87,2023-04-12 10:06:00
51,"Laboratory Corp. of America Holdings stock remains steady Monday, underperforms market",87,2023-04-10 10:06:00
52,Laboratory Corporation of America Holdings (NYSE:LH) Has Affirmed Its Dividend Of $0.72,86,2023-04-09 05:19:44
53,Laboratory  of America Holdings (LH) Declares $0.72 Dividend,86,2023-04-07 13:51:33
54,"Laboratory Corp. of America Holdings stock falls Thursday, underperforms market",87,2023-04-06 10:06:00
56,Laboratory Corporation of America declares $0.72 dividend,86,2023-04-05 23:02:00
57,"Laboratory Corporation: Paring To Hold With Profitability, Capital Efficiency Headwinds In Sight (Rating Downgrade)",86,2023-04-05 20:13:22
58,"Laboratory Corp. of America Holdings stock rises Wednesday, outperforms market",87,2023-04-05 10:06:00
59,"Laboratory Corp. of America Holdings stock rises Tuesday, outperforms market",87,2023-04-04 10:06:00
60,LabCorp (LH) Expands Colon Cancer Test Access With New Pact,60,2023-04-04 09:35:04
61,"Laboratory Corp. of America Holdings stock rises Monday, outperforms market",87,2023-04-03 10:05:00
62,LABCORP EXPANDS ACCESS TO COLORECTAL CANCER SCREENING THROUGH PARTNERSHIP WITH THE CONFERENCE OF NATIONAL BLACK CHURCHES,86,2023-04-03 05:00:00
63,Laboratory Corporation of America Holdings' (NYSE:LH) three-year earnings growth trails the stellar shareholder returns,86,2023-04-02 07:30:46
65,"Laboratory Corp. of America Holdings stock rises Wednesday, still underperforms market",87,2023-03-29 10:06:00
66,LabCorp to pay $2.1 million for allegedly overbilling Department of Defense,86,2023-03-27 11:08:00
72,Enzo Surges after Divestiture of Clinical Labs Division,86,2023-03-17 01:27:00
76,"Enzo Biochem to sell Clinical Laboratory division to Labcorp, terms undisclosed",86,2023-03-15 20:35:00
77,"Laboratory Corp. of America Holdings stock rises Tuesday, still underperforms market",87,2023-03-14 10:06:00
78,Here's Why Investors Should Retain LabCorp (LH) Stock for Now,60,2023-03-14 09:46:04
79,Laboratory Corp. of America Holdings stock underperforms Monday when compared to competitors,87,2023-03-13 10:06:00
81,"Laboratory Corporation of America Holdings Now #320 Largest Company, Surpassing First Republic Bank",86,2023-03-08 19:56:00
82,LabCorp (LH) Focuses on High-Growth Areas Amid Currency Woe,60,2023-03-08 07:18:03
83,"Top Stock Reports for TotalEnergies, America Movil & Palo Alto Networks",86,2023-03-06 09:51:05
