,2022,2021,2020,2019,2018,ticker
Current ratio,5.850,18.887,6.095,2.470,4.690,LIFE
Quick ratio,5.621,18.019,5.752,2.410,4.574,LIFE
Cash ratio,0.720,0.388,2.891,0.713,2.120,LIFE
Days of sales outstanding,413.814,0,71.185,0,0,LIFE
Days of inventory outstanding,0,0,0,0,0,LIFE
Days of payables outstanding,0,0,0,0,0,LIFE
Gross profit margin,1,0,1,1,0,LIFE
Operating profit margin,-4.468,0,-1.522,-54.450,0,LIFE
Pretax profit margin,-4.366,0,-1.552,-56.310,0,LIFE
Net profit margin,-4.263,0,-1.461,-54.555,0,LIFE
Effective tax rate,0.024,0.007,0.059,0.031,0,LIFE
Return on assets,-0.462,-0.290,-0.394,-0.636,-0.654,LIFE
Return on equity,-0.621,-0.307,-0.485,-1.095,-1.026,LIFE
Return on capital employed,-0.566,-0.311,-0.484,-0.988,-0.783,LIFE
Net income per EBT,0.976,0.993,0.941,0.969,1,LIFE
Ebt per ebit,0.977,0.993,1.020,1.034,1.052,LIFE
Ebit per revenue,-4.468,0,-1.522,-54.450,0,LIFE
Debt ratio,0.256,0.055,0.187,0.419,0.362,LIFE
Debt equity ratio,0.162,0.013,0.071,0.558,0.476,LIFE
Long term debt to capitalization,0.130,0.004,0.042,0.096,0.197,LIFE
Total debt to capitalization,0.139,0.012,0.066,0.358,0.323,LIFE
Interest coverage,27.377,0,0,0,0,LIFE
Cash flow to debt ratio,-3.632,-24.002,-6.834,-1.706,-1.938,LIFE
Company equity multiplier,1.344,1.057,1.230,1.721,1.567,LIFE
Receivables turnover,0.882,0,5.128,0,0,LIFE
Payables turnover,0,0,0,0,0,LIFE
Inventory turnover,0,0,0,0,0,LIFE
Fixed asset turnover,0.899,0,3.506,0.103,0,LIFE
Asset turnover,0.108,0,0.270,0.012,0,LIFE
Operating cash flow per share,-1.474,-1.733,-1.670,-5.964,-14.517,LIFE
Free cash flow per share,-1.532,-1.743,-1.692,-5.988,-14.794,LIFE
Cash per share,2.327,5.655,3.459,9.281,23.154,LIFE
Payout ratio,0,0,0,0,0,LIFE
Operating cash flow sales ratio,-4.033,0,-1.464,-47.424,0,LIFE
Free cash flow operating cash flow ratio,1.039,1.006,1.013,1.004,1.019,LIFE
Cash flow coverage ratios,-3.632,-24.002,-6.834,-1.706,-1.938,LIFE
Short term coverage ratios,-46.852,-33.750,-17.771,-2.108,-3.999,LIFE
Capital expenditure coverage ratio,25.525,172.266,75.748,253.329,52.295,LIFE
Dividend paid and capex coverage ratio,25.525,172.266,75.748,253.329,52.295,LIFE
Dividend payout ratio,0,0,0,0,0,LIFE
Price book value ratio,0.873,1.304,1.129,0.666,0.441,LIFE
Price to book ratio,0.873,1.304,1.129,0.666,0.441,LIFE
Price to sales ratio,5.993,0,3.400,33.158,0,LIFE
Price earnings ratio,-1.406,-4.251,-2.326,-0.608,-0.430,LIFE
Price to free cash flows ratio,-1.430,-4.285,-2.293,-0.696,-0.469,LIFE
Price to operating cash flows ratio,-1.486,-4.309,-2.323,-0.699,-0.478,LIFE
Price cash flow ratio,-1.486,-4.309,-2.323,-0.699,-0.478,LIFE
Price earnings to growth ratio,-0.124,0.789,-0.031,-0.011,-0.011,LIFE
Price sales ratio,5.993,0,3.400,33.158,0,LIFE
Dividend yield,0,0,0,0,0,LIFE
Enterprise value multiple,-1.375,-4.328,-1.309,-0.338,-0.234,LIFE
Price fair value,0.873,1.304,1.129,0.666,0.441,LIFE
