,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),LLY,2067.0,3818.5,3657.1,2337.5
Other short-term investments(figures in $M),LLY,144.8,90.1,24.2,101.0
Total cash(figures in $M),LLY,2211.8,3908.6,3681.3,2438.5
Net receivables(figures in $M),LLY,6896.0,6672.8,5875.3,4547.3
Inventory(figures in $M),LLY,4309.7,3886.0,3980.3,3190.7
Other current assets(figures in $M),LLY,2954.1,0.0,0.0,0.0
Total current assets(figures in $M),LLY,18034.5,18452.4,17462.1,13709.6
"Gross property, plant and equipment(figures in $M)",LLY,20377.4,18961.8,18252.6,17566.6
Accumulated depreciation(figures in $M),LLY,-10233.4,-9976.7,-9570.7,-9161.6
"Net property, plant and equipment(figures in $M)",LLY,10144.0,8985.1,8681.9,8405.0
Equity and other investments(figures in $M),LLY,2901.8,3212.6,2966.8,1962.4
Goodwill(figures in $M),LLY,4073.0,3892.0,3766.5,3679.4
Intangible assets(figures in $M),LLY,7206.6,7691.9,7450.0,6618.0
Other long-term assets(figures in $M),LLY,4337.0,4082.7,3475.4,2339.1
Total non-current assets(figures in $M),LLY,31455.3,30353.6,29171.0,25576.5
Total assets(figures in $M),LLY,49489.8,48806.0,46633.1,39286.1
Current debt(figures in $M),LLY,1501.1,1538.3,8.7,1499.3
Accounts payable(figures in $M),LLY,1930.6,1670.6,1606.7,1405.3
Taxes payable(figures in $M),LLY,475.1,126.9,495.1,160.6
Accrued liabilities(figures in $M),LLY,8784.1,6845.8,5853.0,4933.6
Other current liabilities(figures in $M),LLY,2370.3,3027.5,2750.3,2189.4
Total current liabilities(figures in $M),LLY,17138.2,15052.7,12481.6,11775.2
Long-term debt(figures in $M),LLY,14737.5,15346.4,16586.6,13817.9
Deferred tax liabilities(figures in $M),LLY,87.3,1733.7,2099.9,2187.5
Other long-term liabilities(figures in $M),LLY,1736.7,1644.3,1707.5,1014.3
Total non-current liabilities(figures in $M),LLY,21576.2,24598.5,28326.3,24811.8
Total liabilities(figures in $M),LLY,38714.4,39651.2,40807.9,36587.0
Common stock(figures in $M),LLY,594.1,596.3,598.2,598.8
Retained earnings(figures in $M),LLY,10042.6,8958.5,7830.2,4920.4
Accumulated other comprehensive income(figures in $M),LLY,-3844.6,-4343.1,-6496.4,-6523.6
Total stockholders' equity(figures in $M),LLY,10649.8,8979.2,5641.6,2606.9
Total liabilities and stockholders' equity(figures in $M),LLY,49489.8,48806.0,46633.1,39286.1
