,headline,final_score,datetime
0,Unusual Put Option Trade in Lincoln National (LNC)  Worth $810.00K,86,2023-05-04 17:12:17
1,Lincoln National (LNC) to Report Q1 Earnings: What to Expect?,86,2023-05-04 10:21:05
2,"Lincoln National Corp. stock falls Thursday, underperforms market",90,2023-05-04 10:07:00
3,LNC Dividend Yield Pushes Past 9%,60,2023-05-03 19:45:00
4,"Lincoln National Corp. stock falls Wednesday, still outperforms market",90,2023-05-03 10:07:00
5,Barclays Maintains Lincoln National (LNC) Underweight Recommendation,86,2023-05-03 08:40:24
6,RBC Capital Reiterates Lincoln National (LNC) Sector Perform Recommendation,86,2023-05-03 08:40:22
7,Piper Sandler Maintains Lincoln National (LNC) Neutral Recommendation,86,2023-05-03 08:40:22
10,"Analysts Offer Insights on Financial Companies: Lincoln National (LNC), National Retail Properties (NNN) and Stag Industrial (STAG)",86,2023-05-03 04:32:00
11,Lincoln National price target lowered to $22 from $23 at Piper Sandler,86,2023-05-03 00:51:00
12,Analysts Offer Insights on Financial Companies: Lincoln National (LNC) and Two Harbors (TWO),86,2023-05-02 22:02:00
13,Lincoln National price target lowered to $17 from $20 at Barclays,86,2023-05-02 21:50:00
15,Lincoln Financial Group Announces $28 Billion Reinsurance Transaction With Fortitude Re and Preliminary First Quarter 2023 Results,86,2023-05-02 13:05:00
16,"Lincoln National Corp. stock falls Tuesday, underperforms market",90,2023-05-02 10:07:00
17,Fortitude Re Announces $28 Billion Life & Annuity Reinsurance Agreement with Lincoln Financial Group,86,2023-05-02 09:05:00
18,Lincoln National (LNC) Reports Next Week: Wall Street Expects Earnings Growth,86,2023-05-02 07:01:02
19,Wells Fargo Keeps Their Hold Rating on Lincoln National (LNC),86,2023-05-02 01:55:00
20,"Lincoln Financial inks $28B reinsurance deal, expects weak Q1 earnings",86,2023-05-01 20:45:00
21,"Lincoln Financial sees Q1 adjusted EPS $1.47-$1.56, consensus $1.81",86,2023-05-01 20:14:00
22,Lincoln Financial announces $28B reinsurance pact with Fortitude Re,86,2023-05-01 20:13:00
23,"Lincoln National Corp. stock falls Monday, underperforms market",90,2023-05-01 10:06:00
24,Lincoln National Corporation’s Board of Directors Declares Series D Preferred Stock Dividend,90,2023-05-01 07:30:00
25,Lincoln National Corp. stock outperforms market on strong trading day,90,2023-04-28 10:06:00
26,"Small Business Owners Have Big Personal Finance Concerns, According to New Lincoln Financial Group Study",86,2023-04-28 09:08:00
27,"Lincoln National Corp. stock rises Wednesday, outperforms market",90,2023-04-26 10:07:00
28,"Lincoln National Corp. stock rises Monday, outperforms market",90,2023-04-24 10:07:00
29,High Yielding Lincoln National Corporation Looks Favorable Now,90,2023-04-24 01:15:17
31,Lincoln National Corp. stock outperforms competitors despite losses on the day,90,2023-04-21 10:07:00
32,Lincoln National Corp. stock underperforms Thursday when compared to competitors,90,2023-04-20 10:07:00
33,June 16th Options Now Available For Lincoln National (LNC),86,2023-04-20 03:04:00
34,Lincoln National Corp. stock outperforms competitors on strong trading day,90,2023-04-19 10:06:00
35,Lincoln National Corp. stock underperforms Tuesday when compared to competitors,90,2023-04-18 10:06:00
37,Lincoln National (LNC) Receives a Hold from Wells Fargo,86,2023-04-17 03:05:00
38,Lincoln National Corp. stock underperforms Friday when compared to competitors despite daily gains,90,2023-04-14 10:06:00
39,Morgan Stanley Maintains Lincoln National (LNC) Equal-Weight Recommendation,86,2023-04-13 15:23:11
40,"Lincoln National Corp. stock rises Thursday, still underperforms market",90,2023-04-13 10:06:00
42,RBC Capital Maintains Lincoln National (LNC) Sector Perform Recommendation,86,2023-04-12 14:37:10
43,"Lincoln Financial Group Names Sean N. Woodroffe Chief People, Culture and Communications Officer",86,2023-04-12 11:00:00
44,"Lincoln National Corp. stock falls Wednesday, underperforms market",90,2023-04-12 10:06:00
45,Morgan Stanley Remains a Hold on Lincoln National (LNC),86,2023-04-12 04:26:00
46,Barclays Maintains Lincoln National (LNC) Equal-Weight Recommendation,86,2023-04-12 03:58:38
47,Lincoln National price target lowered to $31 from $37 at RBC Capital,86,2023-04-11 23:17:00
48,"Lincoln Financial names Sean Woodroffe chief people, culture, and comms officer",86,2023-04-11 18:08:00
49,"Lincoln National Corp. stock rises Tuesday, outperforms market",90,2023-04-11 10:06:00
50,Lincoln National price target lowered to $20 from $29 at Barclays,86,2023-04-10 21:47:00
51,Analysts Conflicted on These Financial Names: Bank Of Nova Scotia (BNS) and Lincoln National (LNC),86,2023-04-10 20:32:00
52,Unusual Put Option Trade in Lincoln National (LNC)  Worth $918.29K,86,2023-04-06 14:26:15
53,Lincoln National put volume heavy and directionally bearish,86,2023-04-06 02:15:00
55,Wells Fargo Maintains Lincoln National (LNC) Equal-Weight Recommendation,86,2023-04-05 14:18:42
56,Goldman Sachs Maintains Lincoln National (LNC) Buy Recommendation,86,2023-04-05 14:18:37
57,Lincoln National Corp. stock underperforms Wednesday when compared to competitors,90,2023-04-05 10:06:00
58,Relative Strength Alert For Lincoln National,86,2023-04-05 03:33:00
60,Wells Fargo Sticks to Its Hold Rating for Lincoln National (LNC),86,2023-04-05 00:36:00
61,Lincoln National price target lowered to $23 from $36 at Piper Sandler,86,2023-04-05 00:16:00
62,Piper Sandler Gives a Hold Rating to Lincoln National (LNC),86,2023-04-04 20:25:00
63,JP Morgan Maintains Lincoln National (LNC) Neutral Recommendation,86,2023-04-04 14:35:18
64,Lincoln National price target lowered to $29 from $36 at JPMorgan,86,2023-04-03 21:17:00
65,Lincoln National Corp. stock underperforms Monday when compared to competitors,90,2023-04-03 10:06:00
67,We Wouldn't Be Too Quick To Buy Lincoln National Corporation (NYSE:LNC) Before It Goes Ex-Dividend,90,2023-04-01 06:07:25
68,Lincoln Financial Group to Report First Quarter Earnings,86,2023-03-31 08:30:00
72,Lincoln National: Incredibly Cheap With A Big Yield,86,2023-03-29 01:00:29
74,Lincoln National: Priced at a Huge Discount to Fair Value,86,2023-03-27 13:13:57
75,Lincoln National Corp. stock underperforms Monday when compared to competitors despite daily gains,90,2023-03-26 21:07:00
77,New Lincoln Financial Group Study Finds More Women Are Setting Financial Goals and Could Benefit From a Financial Wellness Mindset,86,2023-03-23 06:00:00
80,Lincoln Financial Group named to FlexJobs' Top 100 Companies to Watch for Remote Jobs,86,2023-03-20 06:30:00
83,"Lincoln National Corp. stock falls Friday, underperforms market",90,2023-03-17 10:06:00
85,May 19th Options Now Available For Lincoln National (LNC),86,2023-03-16 03:37:00
86,Lincoln Financial Group named one of the World's Most Ethical Companies® by Ethisphere for second consecutive year,86,2023-03-15 11:15:00
87,Lincoln Financial Group names Heather Deichler as head of Group Benefit Product and Underwriting,86,2023-03-14 10:00:00
