,headline,final_score,datetime
0,Lowe's Ties To DIY Market May Benefit It In The Current Cycle,60,2023-05-05 02:14:41
1,Lowe's Is A Top Quality Investment For The Buy List In A Market Dip,60,2023-05-05 01:36:12
3,Lowe's Is Checking All The Boxes For Improving Shareholder Value,60,2023-05-04 18:51:59
4,"Lowe's Companies: High-Quality Business, Fairly Valued",86,2023-05-04 18:02:35
5,"Lowe's Cos. stock falls Thursday, underperforms market",60,2023-05-04 10:08:00
6,Why Lowe's Is Set To Surprise Investors In 2023,60,2023-05-04 05:22:47
7,Lowe's Companies Is Worth Keeping On Your Radar,86,2023-05-03 19:16:41
8,Lowe's (LOW) Stock Moves -0.32%: What You Should Know,60,2023-05-03 14:45:09
9,Lowe's Cos. stock outperforms market despite losses on the day,60,2023-05-03 10:08:00
11,Lowe`s Cos. stock outperforms market despite losses on the day,60,2023-05-02 21:09:00
12,"Lowe's Cos. stock falls Tuesday, still outperforms market",60,2023-05-02 10:07:00
16,"Lowe`s Cos. stock falls Tuesday, still outperforms market",60,2023-05-01 21:08:00
18,"Lowe's Cos. stock rises Monday, outperforms market",60,2023-05-01 10:07:00
22,"Lowe`s Cos. stock rises Monday, outperforms market",60,2023-04-30 21:08:00
23,Best Dividend Stock to Buy Now: Walmart vs. Lowe's vs. Nordstrom,60,2023-04-30 07:46:00
24,"Estimating The Fair Value Of Lowe's Companies, Inc. (NYSE:LOW)",86,2023-04-30 05:00:31
28,"Lowe's Cos. stock rises Friday, outperforms market",60,2023-04-28 10:07:00
30,"Lowe`s Cos. stock rises Friday, outperforms market",60,2023-04-27 21:08:00
31,Lowe's (LOW) Gains But Lags Market: What You Should Know,60,2023-04-27 14:45:09
32,Lowe`s: A Worthy Dividend King,60,2023-04-27 05:29:00
33,Interesting LOW Put And Call Options For June 9th,60,2023-04-27 03:00:00
35,"Lowe's Cos. stock falls Wednesday, underperforms market",60,2023-04-26 10:07:00
36,"Look at Lowe's and TJX as strong consumer staples, says Crossmark's Victoria Fernandez",60,2023-04-26 08:47:50
37,"Analysts` Top Consumer Goods Picks: Lowe`s (LOW), Lamb Weston Holdings (LW)",57,2023-04-26 00:41:00
38,"Lowe`s Cos. stock falls Wednesday, underperforms market",60,2023-04-25 21:08:00
39,"Lowe's Cos. stock falls Tuesday, underperforms market",60,2023-04-25 10:07:00
40,Lowe's donates $2 million to Building Homes for Heroes to construct and modify homes for veterans and first responders,60,2023-04-25 05:05:00
41,"Lowe`s Cos. stock falls Tuesday, underperforms market",60,2023-04-24 21:08:00
42,Lowe's (LOW) Flat As Market Gains: What You Should Know,60,2023-04-24 14:50:09
43,"Lowe's Cos. stock remains steady Monday, underperforms market",60,2023-04-24 10:07:00
45,Those who invested in Lowe's Companies (NYSE:LOW) five years ago are up 179%,86,2023-04-24 06:00:22
46,Lowe's MVPs Business Tools Help Pros Spend More Time Growing Their Business,60,2023-04-24 05:00:00
47,Lowe`s put volume heavy and directionally bearish,60,2023-04-24 03:55:00
48,"Lowe`s Cos. stock remains steady Monday, underperforms market",60,2023-04-23 21:09:00
52,Lowe's Cos. stock underperforms Friday when compared to competitors despite daily gains,60,2023-04-21 10:07:00
56,Lowe`s Cos. stock underperforms Friday when compared to competitors despite daily gains,60,2023-04-20 21:08:00
57,"Noteworthy Friday Option Activity: LOW, OSTK, VRNS",60,2023-04-20 20:18:00
58,"Lowe's Cos. stock rises Thursday, outperforms market",60,2023-04-20 10:07:00
60,"Lowe`s Cos. stock rises Thursday, outperforms market",60,2023-04-19 21:08:00
61,"Lowe's Cos. stock rises Wednesday, outperforms market",60,2023-04-19 10:07:00
63,LOWE'S INVESTS IN RENEWABLE ENERGY WITH ROOFTOP SOLAR PANEL INSTALLATIONS AT 174 LOCATIONS AS PART OF NET-ZERO TARGET,60,2023-04-19 05:00:00
64,Lowe`s installed rooftop solar panels on 174 stores and distribution centers,60,2023-04-19 00:02:00
65,"Lowe`s Cos. stock rises Wednesday, outperforms market",60,2023-04-18 21:08:00
66,Lowe's (LOW) Outpaces Stock Market Gains: What You Should Know,60,2023-04-18 14:50:09
67,Lowe's Cos. stock outperforms competitors on strong trading day,60,2023-04-18 10:07:00
68,Shareholders Would Enjoy A Repeat Of Lowe's Companies' (NYSE:LOW) Recent Growth In Returns,86,2023-04-18 07:00:25
69,See Which Of The Latest 13F Filers Holds Lowe`s Companies,86,2023-04-18 02:18:00
70,Lowe`s Cos. stock outperforms competitors on strong trading day,60,2023-04-17 21:08:00
73,"Lowe`s, Tractor Supply and AutoZone top Wells Fargo`s spring stocks list",60,2023-04-16 20:21:00
74,Lowe's: Leveraging Strong Brand Awareness And Housing Market Trends For Continued Growth,60,2023-04-16 09:56:26
76,Lowe`s: Leveraging Strong Brand Awareness And Housing Market Trends For Continued Growth,60,2023-04-15 20:58:00
80,Lowe's (LOW) Banks on Digital Presence for Expansion & Growth,60,2023-04-14 06:27:01
81,"Insiders at Lowe's Companies, Inc. (NYSE:LOW) sold US$16m worth of stock, possibly indicating weakness in the future",86,2023-04-14 04:00:28
83,"Analysts Offer Insights on Consumer Goods Companies: Lakeland Industries (LAKE), Lowe`s (LOW) and Purple Innovation (PRPL)",86,2023-04-14 00:41:00
84,LOW: Invest In The American Dream With This Stock,60,2023-04-13 19:12:00
85,"Lowe's Cos. stock rises Thursday, still underperforms market",60,2023-04-13 10:06:00
86,SeaWorld Names Former Lowe's Exec as Marketing Chief,60,2023-04-13 05:14:00
87,"Zacks Industry Outlook Highlights Lowe's Companies, Fastenal, Builders FirstSource, Beacon Roofing Supply  and Tecnoglass",86,2023-04-13 04:59:11
89,June 2nd Options Now Available For Lowe`s Companies,86,2023-04-13 03:40:00
90,"Lowe`s Cos. stock rises Thursday, still underperforms market",60,2023-04-12 21:08:00
91,Lowe's (LOW) Dips More Than Broader Markets: What You Should Know,60,2023-04-12 14:50:09
93,Lowe`s Cos. stock outperforms market on strong trading day,60,2023-04-10 21:07:00
95,"Lowe's Names Juliette Pryor Executive Vice President, Chief Legal Officer and Corporate Secretary",60,2023-04-10 11:01:00
96,"LOWE'S DONATES $500,000 TO HELP COMMUNITIES ACROSS U.S. RECOVER FROM TORNADO DEVASTATION",60,2023-04-10 05:00:00
100,Lowe`s names Juliette Pryor chief legal officer,60,2023-04-09 18:03:00
101,"At US$199, Is Lowe's Companies, Inc. (NYSE:LOW) Worth Looking At Closely?",86,2023-04-08 04:00:32
102,LOWE'S ANNOUNCES STORES WILL CLOSE AGAIN ON EASTER SUNDAY TO ALLOW ASSOCIATES TO SPEND HOLIDAY WITH FAMILY,60,2023-04-07 05:00:00
108,May 26th Options Now Available For Lowe`s Companies (LOW),86,2023-04-06 05:11:00
110,Bill Ackman Comments on Lowe`s,60,2023-04-05 21:43:00
112,"Lowe`s Cos. stock falls Thursday, underperforms market",60,2023-04-05 21:08:00
114,Better Dividend Stock: Home Depot vs. Lowe's,60,2023-04-05 05:40:00
