,2015,2014,2013,2012,2011,ticker
Current ratio,0.879,1.514,1.719,1.332,1.966,LXK
Quick ratio,0.506,1.119,1.314,0.991,1.431,LXK
Cash ratio,0.135,0.255,0.238,0.147,0.317,LXK
Days of sales outstanding,44.628,41.473,45.013,50.325,40.042,LXK
Days of inventory outstanding,39.289,40.138,44.023,42.215,47.237,LXK
Operating cycle,83.917,81.610,89.036,92.540,87.280,LXK
Days of payables outstanding,84.998,84.527,77.918,78.021,68.497,LXK
Cash conversion cycle,-1.082,-2.917,11.118,14.519,18.782,LXK
Gross profit margin,0.393,0.380,0.394,0.369,0.379,LXK
Operating profit margin,-0.007,0.040,0.112,0.049,0.106,LXK
Pretax profit margin,-0.019,0.031,0.100,0.042,0.099,LXK
Net profit margin,-0.011,0.021,0.071,0.028,0.077,LXK
Effective tax rate,0.403,0.302,0.289,0.327,0.224,LXK
Return on assets,-0.010,0.022,0.072,0.030,0.088,LXK
Return on equity,-0.036,0.063,0.191,0.083,0.231,LXK
Return on capital employed,-0.009,0.062,0.165,0.090,0.176,LXK
Net income per EBT,0.597,0.698,0.711,0.673,0.776,LXK
Ebt per ebit,2.763,0.760,0.900,0.844,0.934,LXK
Ebit per revenue,-0.007,0.040,0.112,0.049,0.106,LXK
Debt ratio,0.714,0.652,0.622,0.636,0.617,LXK
Debt equity ratio,0.949,0.554,0.511,0.507,0.467,LXK
Long term debt to capitalization,0.487,0.356,0.338,0.190,0.318,LXK
Total debt to capitalization,0.487,0.356,0.338,0.336,0.318,LXK
Interest coverage,-0.527,3.511,9.300,4.392,10.229,LXK
Cash flow to debt ratio,0.101,0.605,0.686,0.636,0.602,LXK
Company equity multiplier,3.499,2.876,2.645,2.750,2.613,LXK
Receivables turnover,8.179,8.801,8.109,7.253,9.115,LXK
Payables turnover,4.294,4.318,4.684,4.678,5.329,LXK
Inventory turnover,9.290,9.094,8.291,8.646,7.727,LXK
Fixed asset turnover,4.798,4.720,4.515,4.493,4.695,LXK
Asset turnover,0.908,1.021,1.013,1.078,1.147,LXK
Operating cash flow per share,1.737,6.823,7.619,6.022,5.071,LXK
Free cash flow per share,-0.081,4.629,4.968,3.657,3.042,LXK
Cash per share,2.570,15.063,16.741,13.204,14.908,LXK
Payout ratio,-2.178,1.075,0.286,0.739,0.056,LXK
Operating cash flow sales ratio,0.030,0.114,0.131,0.109,0.094,LXK
Free cash flow operating cash flow ratio,-0.047,0.678,0.652,0.607,0.600,LXK
Cash flow coverage ratios,0.101,0.605,0.686,0.636,0.602,LXK
Short term coverage ratios,0,0,0,1.180,0,LXK
Capital expenditure coverage ratio,-0.955,-3.110,-2.874,-2.547,-2.498,LXK
Dividend paid and capex coverage ratio,-4.458,-8.294,-5.217,-4.941,-2.823,LXK
Dividend payout ratio,-2.178,1.075,0.286,0.739,0.056,LXK
Price book value ratio,1.788,2.025,1.635,1.242,1.832,LXK
Price to book ratio,1.788,2.025,1.635,1.242,1.832,LXK
Price to sales ratio,0.563,0.690,0.610,0.419,0.611,LXK
Price earnings ratio,-49.478,32.348,8.548,14.966,7.945,LXK
Price to free cash flows ratio,-399.784,8.915,7.149,6.341,10.873,LXK
Price to operating cash flows ratio,18.681,6.049,4.662,3.851,6.521,LXK
Price cash flow ratio,18.681,6.049,4.662,3.851,6.521,LXK
Price earnings to growth ratio,0.327,-0.467,0.051,-0.238,-2.101,LXK
Price sales ratio,0.563,0.690,0.610,0.419,0.611,LXK
Dividend yield,0.044,0.033,0.034,0.049,0.007,LXK
Enterprise value multiple,10.334,7.108,4.028,4.257,4.189,LXK
Price fair value,1.788,2.025,1.635,1.242,1.832,LXK
