,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),MA,7008.0,7421.0,10113.0,6988.0
Other short-term investments(figures in $M),MA,400.0,473.0,483.0,688.0
Total cash(figures in $M),MA,7408.0,7894.0,10596.0,7676.0
Net receivables(figures in $M),MA,3425.0,3006.0,2646.0,2514.0
Other current assets(figures in $M),MA,3616.0,2271.0,1883.0,1763.0
Total current assets(figures in $M),MA,16606.0,16949.0,19113.0,16902.0
"Gross property, plant and equipment(figures in $M)",MA,3910.0,3521.0,3292.0,2928.0
Accumulated depreciation(figures in $M),MA,-1904.0,-1614.0,-1390.0,-1100.0
"Net property, plant and equipment(figures in $M)",MA,2006.0,1907.0,1902.0,1828.0
Equity and other investments(figures in $M),MA,1730.0,1834.0,1172.0,914.0
Goodwill(figures in $M),MA,7522.0,7662.0,4960.0,4021.0
Intangible assets(figures in $M),MA,3859.0,3671.0,1753.0,1417.0
Other long-term assets(figures in $M),MA,7580.0,6994.0,5365.0,4525.0
Total non-current assets(figures in $M),MA,22118.0,20720.0,14471.0,12334.0
Total assets(figures in $M),MA,38724.0,37669.0,33584.0,29236.0
Current debt(figures in $M),MA,274.0,792.0,649.0,0.0
Accounts payable(figures in $M),MA,926.0,738.0,527.0,489.0
Accrued liabilities(figures in $M),MA,8895.0,7482.0,6272.0,6403.0
Other current liabilities(figures in $M),MA,2965.0,3237.0,2924.0,2298.0
Total current liabilities(figures in $M),MA,14171.0,13162.0,11847.0,11904.0
Long-term debt(figures in $M),MA,13749.0,13109.0,12023.0,8527.0
Deferred tax liabilities(figures in $M),MA,393.0,395.0,86.0,85.0
Other long-term liabilities(figures in $M),MA,4034.0,3591.0,3111.0,2729.0
Total non-current liabilities(figures in $M),MA,18176.0,17095.0,15220.0,11341.0
Total liabilities(figures in $M),MA,32347.0,30257.0,27067.0,23245.0
Common stock(figures in $M),MA,0.0,0.0,0.0,0.0
Retained earnings(figures in $M),MA,53607.0,45648.0,38747.0,33984.0
Accumulated other comprehensive income(figures in $M),MA,-1253.0,-809.0,-680.0,-673.0
Total stockholders' equity(figures in $M),MA,6298.0,7312.0,6391.0,5893.0
Total liabilities and stockholders' equity(figures in $M),MA,38724.0,37669.0,33584.0,29236.0
