,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),MAT,761.2,731.4,762.2,630.0
Total cash(figures in $M),MAT,761.2,731.4,762.2,630.0
Net receivables(figures in $M),MAT,860.2,1072.7,1034.0,936.4
Inventory(figures in $M),MAT,894.1,777.2,514.7,495.5
Other current assets(figures in $M),MAT,213.5,293.2,172.0,186.1
Total current assets(figures in $M),MAT,2729.0,2874.5,2482.9,2248.0
"Gross property, plant and equipment(figures in $M)",MAT,787.8,781.5,765.4,853.3
Accumulated depreciation(figures in $M),MAT,-1538.168,-1702.385,-1742.636,-1885.785
"Net property, plant and equipment(figures in $M)",MAT,787.8,781.5,765.4,853.3
Goodwill(figures in $M),MAT,1378.6,1390.2,1393.834,1390.714
Intangible assets(figures in $M),MAT,425.1,476.858,518.19,553.114
Other long-term assets(figures in $M),MAT,1282.3,1347.7,2272.8,2223.9
Total non-current assets(figures in $M),MAT,3448.7,3519.4,3038.2,3077.2
Total assets(figures in $M),MAT,6177.7,6393.9,5521.1,5325.2
Current debt(figures in $M),MAT,0.0,0.0,1.0,0.0
Accounts payable(figures in $M),MAT,1150.2,1570.7,1327.3,1228.9
Taxes payable(figures in $M),MAT,37.6,27.5,27.1,48.0
Accrued liabilities(figures in $M),MAT,600.503,991.592,625.781,572.525
Other current liabilities(figures in $M),MAT,-0.1,0.1,0.0,0.0
Total current liabilities(figures in $M),MAT,1187.7,1598.3,1355.4,1276.9
Long-term debt(figures in $M),MAT,2325.6,2571.0,2854.7,2846.8
Other long-term liabilities(figures in $M),MAT,336.7,372.2,465.3,438.9
Total non-current liabilities(figures in $M),MAT,2933.7,3226.8,3569.4,3556.6
Total liabilities(figures in $M),MAT,4121.4,4825.1,4924.8,4833.5
Common stock(figures in $M),MAT,441.369,441.369,441.369,441.369
Retained earnings(figures in $M),MAT,2847.709,2456.597,1539.809,1413.181
Accumulated other comprehensive income(figures in $M),MAT,-911.478,-941.271,-944.576,-869.484
Total stockholders' equity(figures in $M),MAT,2056.3,1568.8,596.3,491.7
Total liabilities and stockholders' equity(figures in $M),MAT,6177.7,6393.9,5521.1,5325.2
