,ticker,2023,2024,2025,2026
Revenue(In $M),MAT,"5,473","5,688","5,883","6,284"
Dividend,MAT,0.00,0.00,0.00,-
Dividend Yield (in %),MAT,0.40 %,0.53 %,-,-
EPS,MAT,1.17,1.48,1.54,1.72
P/E Ratio,MAT,15.33,12.17,11.65,10.45
EBIT(In $M),MAT,668,801,820,933
EBITDA(In $M),MAT,924,"1,058","1,086","1,270"
Net Profit(In $M),MAT,406,518,521,629
Net Profit Adjusted(In $M),MAT,411,523,510,-
Pre-Tax Profit(In $M),MAT,540,682,698,811
Net Profit (Adjusted)(In $M),MAT,550,750,-,-
EPS (Non-GAAP) ex. SOE(In $),MAT,1.17,1.48,1.54,1.72
EPS (GAAP)(In $),MAT,1.14,1.47,1.53,1.75
Gross Income(In $M),MAT,"2,574","2,749","2,918","3,094"
Cash Flow from Investing(In $M),MAT,-184,-186,-,-
Cash Flow from Operations(In $M),MAT,625,725,-,-
Cash Flow from Financing(In $M),MAT,-123,-33,-,-
Cash Flow per Share(In $),MAT,1.71,2.10,2.12,-
Free Cash Flow(In $M),MAT,432,537,-,-
Free Cash Flow per Share(In $),MAT,1.21,1.65,-,-
Book Value per Share(In $),MAT,6.33,8.09,10.41,-
Net Debt(In $M),MAT,"1,628","1,391","2,115",-
Research & Development Exp.(In $M),MAT,-,-,-,-
Capital Expenditure(In $M),MAT,165,169,191,-
"Selling, General & Admin. Exp.(In $M)",MAT,"1,446","1,459","1,490","1,550"
Shareholder’s Equity(In $M),MAT,"2,256","2,803","3,467",-
Total Assets(In $M),MAT,"6,671","7,310",-,-
