,headline,final_score,datetime
1,"The upcoming 'Barbie' movie ‘will be a catalyst’ for future Mattel films, CEO says",86,2023-05-02 07:03:54
2,Barbie is a 'power brand': Mattel CEO,86,2023-05-01 14:42:08
3,"Barbie movie is 'a showcase for the quality of the movies we're looking to make,' Mattel CEO says",86,2023-05-01 14:34:27
4,This Barbie is a Hollywood legend: Mattel debuts elegant Anna May Wong doll,86,2023-05-01 11:13:40
5,Mattel CEO Ynon Kreiz on the state of the toy industry and health of U.S. consumer,86,2023-05-01 07:55:54
10,DA Davidson Reiterates Mattel (MAT) Buy Recommendation,86,2023-04-28 05:35:41
11,Mattel (MAT) Gets a Buy from D.A. Davidson,86,2023-04-28 00:36:00
13,"Mattel (MAT) Q1 Earnings & Revenues Beat Estimates, Fall Y/Y",86,2023-04-27 07:29:02
14,"Hasbro, Mattel shares rise as toymakers announce multi-year licensing agreement, increased IP focus",86,2023-04-27 07:22:02
15,"Hasbro, Mattel Shares Rise as 1Q Sales Drop Fails to Dampen Outlook",86,2023-04-27 04:47:00
17,Hasbro beats first-quarter revenue estimates on gaming boost,60,2023-04-27 03:30:09
18,"Toy stocks rally as Hasbro, Mattel maintain optimistic outlooks",86,2023-04-27 02:20:00
19,Analysts Conflicted on These Consumer Goods Names: Mattel (MAT) and Roku (ROKU),86,2023-04-26 23:11:00
21,Mattel extends rally after S&P upgrades to investment grade,86,2023-04-26 19:07:00
22,Mattel raised to investment grade rating by S&P,86,2023-04-26 18:51:00
23,"Barbie maker Mattel swings to loss as retailers cut orders, costs rise",86,2023-04-26 14:45:20
24,"UPDATE 1-Barbie maker Mattel swings to loss as retailers cut orders, costs rise",86,2023-04-26 14:45:17
25,"Mattel (MAT) Reports Q1 Loss, Tops Revenue Estimates",86,2023-04-26 14:25:09
26,"Mattel, Inc. (MAT) Q1 2023 Earnings Call Transcript",86,2023-04-26 13:08:36
27,Mattel Reports First Quarter 2023 Financial Results,86,2023-04-26 13:05:00
28,"Mattel, Inc. 2023 Q1 - Results - Earnings Call Presentation",86,2023-04-26 11:23:19
29,"Mattel says retailers are still skittish about stocking up on toys, but sticks with its financial outlook",86,2023-04-26 09:37:00
30,Mattel: Q1 Earnings Snapshot,86,2023-04-26 09:16:00
31,Mattel 1Q Sales Drop as Retailers Deal with Bulked-Up Inventories,86,2023-04-26 09:05:00
32,A Bull Market Is Coming: 3 Reasons to Buy Mattel Stock,86,2023-04-26 07:02:00
33,Interesting MAT Put And Call Options For June 16th,60,2023-04-26 05:40:00
34,Goldman Sachs Reaffirms Their Buy Rating on Mattel (MAT),86,2023-04-26 04:15:00
35,Mattel CFO says consumer demand should be positive for FY23,86,2023-04-25 22:10:00
36,Mattel CEO says Q1 results impacted by elevated retail inventory levels,86,2023-04-25 22:08:00
37,Mattel stock wavers as inventory issues overshadow top-line beat,86,2023-04-25 20:24:00
38,"Mattel affirms 2023 adjusted EPS $1.10-$1.20, consensus $1.21",86,2023-04-25 20:11:00
39,"Mattel reports Q1 adjusted EPS (24c), consensus (19c)",86,2023-04-25 20:09:00
40,"Mattel Q1 results mixed, co reiterates FY 2023 guidance",86,2023-04-25 20:08:00
42,Mattel introduces first Barbie with Down syndrome,86,2023-04-25 15:16:00
43,Mattel launches first Barbie with Down syndrome to 'counter social stigma',86,2023-04-25 12:59:34
45,"Mattel, Hasbro earnings to set stage for dull 2023",86,2023-04-25 11:06:58
47,Mattel introduces Barbie doll with Down's syndrome,86,2023-04-25 09:40:05
50,Warning: MAT is at high risk of performing badly,60,2023-04-24 20:37:00
54,Mattel better positioned for toy sales than Hasbro in 2023 - UBS,86,2023-04-23 01:03:00
55,"Should You Be Concerned About Mattel, Inc.'s (NASDAQ:MAT) ROE?",86,2023-04-22 05:13:59
56,Mattel (MAT) to Post Q1 Earnings: Here's What to Expect,86,2023-04-21 09:16:04
58,Gap (GPS) Partners with Mattel to Enhance Collection,86,2023-04-20 13:20:08
59,Mattel Creations Virtual Collectibles Platform Launches Peer-to-Peer Marketplace,86,2023-04-20 08:00:00
61,Mattel to Introduce Marketplace to Exchange Virtual Collectibles,86,2023-04-20 04:37:00
62,Barbie On Hoodies: Mattel And Gap Reveal Apparel Partnership; Hot Wheels On The Way,86,2023-04-19 13:39:48
63,Mattel and Gap Announce New Partnership,86,2023-04-19 08:00:00
64,Earnings Preview: Mattel (MAT) Q1 Earnings Expected to Decline,86,2023-04-19 07:01:02
65,"Mattel, Gap to Collaborate on New Line of Apparel",86,2023-04-19 04:19:00
66,"Mattel, Gap announce new apparel collaboration",86,2023-04-19 03:02:00
67,Unusual Call Option Trade in Mattel (MAT)  Worth $115.63K,86,2023-04-17 16:57:49
69,Mattel Announces First Quarter 2023 Financial Results Conference Call,86,2023-04-06 13:05:00
70,"Is Mattel, Inc. (NASDAQ:MAT) Trading At A 33% Discount?",86,2023-04-05 12:29:31
72,"Mattel sale would be irresponsible due to low valuation, says DA Davidson",86,2023-04-03 00:02:00
73,D.A. Davidson Reaffirms Their Buy Rating on Mattel (MAT),86,2023-04-02 23:55:00
74,"Velan Studios and Mattel Release Hot Wheels®: Rift Rally, a Full Throttle Mixed Reality Racing Experience for iOS and PlayStation",60,2023-03-31 07:00:00
75,Professor Noreena Hertz Appointed to Mattel Board of Directors,86,2023-03-29 13:15:00
79,Here's Why Investors Should Hold On to Mattel (MAT) Stock Now,86,2023-03-28 06:54:01
83,Mattel stock rises amid resurgent takeover rumors,86,2023-03-27 03:05:00
84,"Mattel `back in play` after new severance plan, Dealreporter says",86,2023-03-27 01:42:00
87,Mattel (MAT) Gets a Buy from J.P. Morgan,86,2023-03-20 21:46:00
89,"Mattell sees Q1 net sales down 25%-3% in constant currency, consensus $777.49M",66,2023-03-16 02:22:00
90,"Mattel reiterates FY23 adjusted EPS view $1.10-$1.20, consensus $1.23",86,2023-03-16 02:21:00
92,Mattel (MAT) Gets a Buy from BMO Capital,86,2023-03-15 23:35:00
94,Does Mattel (MAT) have Attractive Growth Prospects?,86,2023-03-15 01:12:41
