,ticker,sentiment
2023-04-17 16:57:49,MAT,0.2263
2023-04-20 08:00:00,MAT,0.3818
2023-04-23 01:03:00,MAT,0.4404
2023-04-24 08:46:00,MAT,0.4588
2023-04-24 20:37:00,MAT,-0.765
2023-04-25 11:06:58,MAT,-0.4019
2023-04-25 12:33:00,MAT,0.34
2023-04-25 22:10:00,MAT,0.4767
2023-04-26 05:40:00,MAT,0.4019
2023-04-26 09:05:00,MAT,-0.2732
2023-04-26 14:25:09,MAT,0.25
2023-04-26 14:45:20,MAT,-0.5267
2023-04-26 19:07:00,MAT,0.128
2023-04-27 02:20:00,MAT,0.3182
2023-04-27 03:30:09,MAT,0.4019
2023-04-27 03:37:51,MAT,0.296
2023-04-27 04:47:00,MAT,-0.4019
2023-04-27 07:22:02,MAT,0.7579
2023-04-27 12:45:43,MAT,-0.0572
2023-04-29 09:01:00,MAT,-0.6369
2023-05-01 11:13:40,MAT,0.4767
2023-05-04 03:31:00,MAT,0.4404
