,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),MCD,23182.6,23182.6,23222.9,19207.8,21076.5
Cost of revenue(figures in $M),MCD,9975.4,9975.4,10642.7,9455.7,9961.2
Gross profit(figures in $M),MCD,13207.2,13207.2,12580.2,9752.1,11115.3
Selling general and administrative(figures in $M),MCD,2492.2,2492.2,2377.8,2245.0,2229.4
Total operating expenses(figures in $M),MCD,2862.6,2862.6,2707.5,2545.6,2229.4
Operating income or loss(figures in $M),MCD,10344.6,10344.6,9872.7,7206.5,8885.9
Interest expense(figures in $M),MCD,1207.0,1207.0,1185.8,1218.1,1121.9
Total other income/expenses net(figures in $M),MCD,-1356.6,-1355.9,431.8,134.6,217.4
Income before tax(figures in $M),MCD,7825.4,7825.4,9127.9,6140.7,8018.1
Income tax expense(figures in $M),MCD,1648.0,1648.0,1582.7,1410.2,1992.7
Income from continuing operations(figures in $M),MCD,6177.4,6177.4,7545.2,4730.5,6025.4
Net income(figures in $M),MCD,6177.4,6177.4,7545.2,4730.5,6025.4
Net income available to common shareholders(figures in $M),MCD,6177.4,6177.4,7545.2,4730.5,6025.4
Basic EPS(figures in $M),MCD,,8.449999999999999e-06,1.011e-05,6.349999999999999e-06,8.07e-06
Diluted EPS(figures in $M),MCD,,8.33e-06,1.0039999999999999e-05,6.31e-06,7.879999999999999e-06
Basic average shares(figures in $M),MCD,,731.3,746.3,744.6,746.3
Diluted average shares(figures in $M),MCD,,741.3,751.8,750.1,764.9
EBITDA(figures in $M),MCD,,9402.8,10643.4,7659.4,9140.0
