,headline,final_score,datetime
1,"3M Co. stock falls Thursday, underperforms market",60,2023-05-04 09:31:00
3,3M Co. stock outperforms competitors despite losses on the day,60,2023-05-03 09:32:00
4,Here is What to Know Beyond Why 3M Company (MMM) is a Trending Stock,60,2023-05-03 06:00:01
5,"Noteworthy Wednesday Option Activity: MMM, MPC, LYV",60,2023-05-02 18:18:00
6,"3M Co. stock falls Tuesday, underperforms market",60,2023-05-02 09:32:00
7,3M enters agreements with Pierrel for the sale of assets associated with the dental local anesthetic business,57,2023-05-02 09:05:00
11,IN BRIEF: 3M sells dental local anesthetic products for USD70 million,57,2023-05-02 05:40:00
12,3M to Sell Some Dental Local Anesthetic Products to Pierrel for $70 Million >MMM,60,2023-05-02 05:34:00
13,3M to sell dental local anesthetic portfolio assets to Pierrel for $70M,57,2023-05-02 04:07:00
14,3M Company (NYSE:MMM) Q1 2023 Earnings Call Transcript,60,2023-05-01 22:03:49
16,"3M Co. stock falls Monday, underperforms market",60,2023-05-01 09:31:00
17,Does 3M's 5.8% Dividend Yield Makes the Stock a Buy?,57,2023-05-01 06:24:15
18,"CashFlow Hunter On Catalyst Hedge Investing, Coinbase, 3M, Schwab And UBS",57,2023-05-01 06:10:00
20,A Closer Look At 3M Company's (NYSE:MMM) Impressive ROE,60,2023-05-01 05:00:22
23,Is 3M Stock a Buy?,86,2023-04-29 05:18:00
25,3M Co. stock outperforms competitors on strong trading day,60,2023-04-28 09:31:00
29,"Winnie the Pooh Is to Blame for My Inaction on Dominion Energy, 3M, and Omega Healthcare",57,2023-04-28 02:34:00
32,MMM Named Top 25 SAFE Dividend Stock Increasing Payments For Decades,60,2023-04-27 23:50:00
36,Two 3M Veraflo Therapy dressings receive first-ever FDA clearance for hydromechanical removal of non-viable tissue,57,2023-04-27 03:55:00
37,3M First Quarter 2023 Earnings: Beats Expectations,57,2023-04-27 03:22:26
38,Mizuho Securities Reaffirms Their Hold Rating on 3M (MMM),60,2023-04-27 03:05:00
39,See Which Of The Latest 13F Filers Holds 3M,57,2023-04-27 01:56:00
41,3M announces 3M Veraflo Therapy receives FDA clearance,57,2023-04-26 23:55:00
42,RBC Capital Maintains 3M (MMM) Underperform Recommendation,57,2023-04-26 18:52:16
43,Morgan Stanley Maintains 3M (MMM) Underweight Recommendation,57,2023-04-26 18:52:16
44,3M Faces Identity Crisis as Layoffs Begin,57,2023-04-26 13:30:00
45,"Final Trades: 3M, Exxon, CarMax & more",86,2023-04-26 06:38:32
47,3M price target raised to $95 from $89 at RBC Capital,57,2023-04-26 01:22:00
48,Analysts Offer Insights on Industrial Goods Companies: 3M (MMM) and Armstrong World (AWI),57,2023-04-25 23:50:00
49,Q1 2023 3M Co Earnings Call,90,2023-04-25 21:49:54
50,3M (MMM) Receives a Sell from Barclays,86,2023-04-25 20:55:00
51,"3M Co. stock falls Wednesday, underperforms market",60,2023-04-25 20:34:00
52,3M to Cut Thousands More Jobs as Sales Struggle,57,2023-04-25 15:01:00
54,Parties Argues Whether 3M Earplug Unit Was In Financial Distress Before Bankruptcy --- Market Talk,57,2023-04-25 13:29:00
55,"3M to lay off 6,000 workers amid manufacturing slowdown",57,2023-04-25 12:53:56
57,"3M cuts 6,000 jobs, warns of slowdown across sectors",57,2023-04-25 10:51:08
58,"3M (MMM) Beats on Q1 Earnings, Announces Restructuring Plans",57,2023-04-25 10:38:05
59,3M's First Quarter Beat Undermined By Guidance And More-Of-The-Same Restructuring,57,2023-04-25 09:40:12
61,"3M to cut 6,000 roles globally as weak consumer electronics demand bites",57,2023-04-25 08:31:46
62,"3M Q1 Highlights: 9% Sales Decline, Earnings Beat, Additional Jobs Cuts, Savings & More",57,2023-04-25 07:31:25
63,3M: Catalysts For A Potential Bankruptcy,86,2023-04-25 07:30:00
64,3M Company (MMM) Q1 2023 Earnings Call Transcript,60,2023-04-25 07:20:17
65,3M Earnings: Did The Company Just Turn A Corner?,57,2023-04-25 07:08:01
66,3M stock rises on second round of layoffs,57,2023-04-25 06:49:32
68,3M (NYSE:MMM) Could Be Struggling To Allocate Capital,57,2023-04-25 05:00:13
69,3M (MMM) Surpasses Q1 Earnings and Revenue Estimates,57,2023-04-25 04:45:11
