,ticker,2023,2024,2025,2026
Revenue(In $M),MS,"55,809","58,672","61,298","63,603"
Dividend,MS,3.18,3.38,3.58,4.29
Dividend Yield (in %),MS,3.51 %,3.43 %,3.94 %,-
EPS,MS,6.59,7.70,8.71,10.20
P/E Ratio,MS,12.87,11.03,9.75,8.32
EBIT(In $M),MS,"14,164","16,016","17,629",-
EBITDA(In $M),MS,-,-,-,-
Net Profit(In $M),MS,"10,801","12,249","13,313","14,628"
Net Profit Adjusted(In $M),MS,"10,892","12,242","13,177","14,628"
Pre-Tax Profit(In $M),MS,"14,675","16,507","17,943","19,064"
Net Profit (Adjusted)(In $M),MS,"14,367","16,390","17,294",-
EPS (Non-GAAP) ex. SOE(In $),MS,6.59,7.70,8.71,10.20
EPS (GAAP)(In $),MS,6.51,7.63,8.71,10.35
Gross Income(In $M),MS,-,-,-,-
Cash Flow from Investing(In $M),MS,-,-,-,-
Cash Flow from Operations(In $M),MS,-,-,-,-
Cash Flow from Financing(In $M),MS,-,-,-,-
Cash Flow per Share(In $),MS,-,-,-,-
Free Cash Flow(In $M),MS,-,-,-,-
Free Cash Flow per Share(In $),MS,-,-,-,-
Book Value per Share(In $),MS,56.63,58.69,61.60,-
Net Debt(In $M),MS,-,-,-,-
Research & Development Exp.(In $M),MS,"1,047","1,080",-,-
Capital Expenditure(In $M),MS,252,261,407,-
"Selling, General & Admin. Exp.(In $M)",MS,-,-,-,-
Shareholder’s Equity(In $M),MS,"95,406","95,094","93,735",-
Total Assets(In $M),MS,"1,200,096","1,232,035","1,261,597",-
