,headline,final_score,datetime
3,"Executive Recruiter Sues Morgan Stanley, Alleging Racial Bias",90,2023-05-04 13:44:00
8,"Morgan Stanley`s Preferred Stock, Series A Shares Cross 7% Yield Mark",90,2023-05-03 18:16:00
9,"Morgan Stanley stock falls Wednesday, underperforms market",90,2023-05-03 10:12:00
10,Morgan Stanley (MS) to Cut Jobs in IB Division Amid Slowdown,90,2023-05-03 05:20:12
11,Morgan Stanley in Talks to Resolve US Block-Trading Probes,90,2023-05-03 05:19:44
12,Morgan Stanley's Jim Lacamp: We are steam rolling to recession,90,2023-05-03 05:08:22
17,Morgan Stanley in talks with U.S. authorities to resolve block trading probe,90,2023-05-02 23:37:00
21,Morgan Stanley (NYSE:MS) in Talks to Resolve Block Trading Regulatory Probes,90,2023-05-02 18:46:00
22,Morgan Stanley in talks to resolve probes into block trading practices - filing,90,2023-05-02 15:21:21
23,Morgan Stanley in talks to resolve block trading probes,90,2023-05-02 14:55:08
24,"Morgan Stanley stock falls Tuesday, underperforms market",90,2023-05-02 10:11:00
25,"Morgan Stanley to Cut 3,000 More Jobs. There Are Fewer Deals to Be Made.",90,2023-05-02 09:24:00
26,Here is What to Know Beyond Why Morgan Stanley (MS) is a Trending Stock,90,2023-05-02 06:00:01
31,Morgan Stanley Layoffs 2023: What to Know About the Latest MS Job Cuts,90,2023-05-02 01:51:00
32,"Wall Street is cutting more jobs as Morgan Stanley plans 3,000 layoffs",90,2023-05-02 01:31:43
34,Morgan Stanley reportedly plans to lay off thousands more,90,2023-05-01 23:06:00
35,"Morgan Stanley in talks with regulators on block trading probe, Bloomberg says",90,2023-05-01 22:02:00
37,Morgan Stanley to slash 5% of jobs as dealmaking suffers - reports,90,2023-05-01 20:02:00
38,"Morgan Stanley (NYSE:MS) to Axe Another 3,000 Jobs",90,2023-05-01 18:58:00
39,Unusual Call Option Trade in Morgan Stanley (MS)  Worth $516.00K,90,2023-05-01 17:45:03
