,ticker,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Cash and cash equivalents(figures in $M),MSFT,13931.0,14224.0,13576.0,11356.0
Other short-term investments(figures in $M),MSFT,90826.0,116110.0,122951.0,122463.0
Total cash(figures in $M),MSFT,104757.0,130334.0,136527.0,133819.0
Net receivables(figures in $M),MSFT,44261.0,38043.0,32011.0,29524.0
Inventory(figures in $M),MSFT,3742.0,2636.0,1895.0,2063.0
Other current assets(figures in $M),MSFT,16924.0,13393.0,11482.0,10146.0
Total current assets(figures in $M),MSFT,169684.0,184406.0,181915.0,175552.0
"Gross property, plant and equipment(figures in $M)",MSFT,147206.0,122154.0,96101.0,79186.0
Accumulated depreciation(figures in $M),MSFT,-59660.0,-51351.0,-43197.0,-35330.0
"Net property, plant and equipment(figures in $M)",MSFT,87546.0,70803.0,52904.0,43856.0
Equity and other investments(figures in $M),MSFT,6891.0,5984.0,2965.0,2649.0
Goodwill(figures in $M),MSFT,67524.0,49711.0,43351.0,42026.0
Intangible assets(figures in $M),MSFT,11298.0,7800.0,7038.0,7750.0
Other long-term assets(figures in $M),MSFT,21897.0,15075.0,13138.0,14723.0
Total non-current assets(figures in $M),MSFT,195156.0,149373.0,119396.0,111004.0
Total assets(figures in $M),MSFT,364840.0,333779.0,301311.0,286556.0
Current debt(figures in $M),MSFT,2749.0,8072.0,3749.0,5516.0
Accounts payable(figures in $M),MSFT,19000.0,15163.0,12530.0,9382.0
Taxes payable(figures in $M),MSFT,4067.0,2174.0,2130.0,5665.0
Deferred revenues(figures in $M),MSFT,45538.0,41525.0,36000.0,32676.0
Other current liabilities(figures in $M),MSFT,13067.0,11666.0,10027.0,9351.0
Total current liabilities(figures in $M),MSFT,95082.0,88657.0,72310.0,69420.0
Long-term debt(figures in $M),MSFT,47032.0,50074.0,59578.0,66662.0
Deferred tax liabilities(figures in $M),MSFT,230.0,198.0,204.0,233.0
Deferred revenues(figures in $M),MSFT,2870.0,2616.0,3180.0,4530.0
Other long-term liabilities(figures in $M),MSFT,15526.0,13427.0,10632.0,7581.0
Total non-current liabilities(figures in $M),MSFT,103216.0,103134.0,110697.0,114806.0
Total liabilities(figures in $M),MSFT,198298.0,191791.0,183007.0,184226.0
Common stock(figures in $M),MSFT,86939.0,83111.0,80552.0,78520.0
Retained earnings(figures in $M),MSFT,84281.0,57055.0,34566.0,24150.0
Accumulated other comprehensive income(figures in $M),MSFT,-4678.0,1822.0,3186.0,-340.0
Total stockholders' equity(figures in $M),MSFT,166542.0,141988.0,118304.0,102330.0
Total liabilities and stockholders' equity(figures in $M),MSFT,364840.0,333779.0,301311.0,286556.0
