,2022,2021,2020,2019,2018,ticker
Current ratio,1.785,2.080,2.516,2.529,2.901,MSFT
Quick ratio,1.567,1.899,2.331,2.353,2.740,MSFT
Cash ratio,0.147,0.160,0.188,0.164,0.204,MSFT
Days of sales outstanding,81.481,82.610,81.698,85.633,87.582,MSFT
Days of inventory outstanding,21.801,18.421,15.011,17.548,25.334,MSFT
Operating cycle,103.282,101.030,96.709,103.181,112.916,MSFT
Days of payables outstanding,110.694,105.960,99.255,79.805,82.007,MSFT
Cash conversion cycle,-7.412,-4.930,-2.546,23.376,30.909,MSFT
Gross profit margin,0.684,0.689,0.678,0.659,0.652,MSFT
Operating profit margin,0.421,0.416,0.370,0.341,0.318,MSFT
Pretax profit margin,0.422,0.423,0.371,0.347,0.331,MSFT
Net profit margin,0.367,0.365,0.310,0.312,0.150,MSFT
Effective tax rate,0.131,0.138,0.165,0.102,0.546,MSFT
Return on assets,0.199,0.184,0.147,0.137,0.064,MSFT
Return on equity,0.437,0.432,0.374,0.383,0.200,MSFT
Return on capital employed,0.309,0.285,0.231,0.198,0.175,MSFT
Net income per EBT,0.869,0.862,0.835,0.898,0.454,MSFT
Ebt per ebit,1.004,1.017,1.001,1.017,1.040,MSFT
Ebit per revenue,0.421,0.416,0.370,0.341,0.318,MSFT
Debt ratio,0.544,0.575,0.607,0.643,0.680,MSFT
Debt equity ratio,0.368,0.477,0.600,0.766,0.989,MSFT
Long term debt to capitalization,0.260,0.296,0.362,0.416,0.485,MSFT
Total debt to capitalization,0.269,0.323,0.375,0.434,0.497,MSFT
Interest coverage,40.418,29.802,20.440,15.994,12.828,MSFT
Cash flow to debt ratio,1.453,1.132,0.855,0.666,0.536,MSFT
Company equity multiplier,2.191,2.351,2.547,2.800,3.129,MSFT
Receivables turnover,4.480,4.418,4.468,4.262,4.168,MSFT
Payables turnover,3.297,3.445,3.677,4.574,4.451,MSFT
Inventory turnover,16.742,19.815,24.316,20.800,14.408,MSFT
Fixed asset turnover,2.265,2.374,2.703,2.869,3.053,MSFT
Asset turnover,0.543,0.504,0.475,0.439,0.426,MSFT
Operating cash flow per share,11.878,10.168,7.973,6.801,5.699,MSFT
Free cash flow per share,8.691,7.436,5.944,4.986,4.189,MSFT
Cash per share,13.975,17.270,17.940,17.440,17.372,MSFT
Payout ratio,0.249,0.270,0.342,0.352,0.766,MSFT
Operating cash flow sales ratio,0.449,0.457,0.424,0.415,0.398,MSFT
Free cash flow operating cash flow ratio,0.732,0.731,0.746,0.733,0.735,MSFT
Cash flow coverage ratios,1.453,1.132,0.855,0.666,0.536,MSFT
Short term coverage ratios,32.388,9.507,16.184,9.461,10.976,MSFT
Capital expenditure coverage ratio,-3.727,-3.721,-3.929,-3.748,-3.773,MSFT
Dividend paid and capex coverage ratio,-15.482,-18.713,-199.589,-457.763,41.128,MSFT
Dividend payout ratio,0.249,0.270,0.342,0.352,0.766,MSFT
Price book value ratio,11.560,14.399,13.091,10.174,9.179,MSFT
Price to book ratio,11.560,14.399,13.091,10.174,9.179,MSFT
Price to sales ratio,9.710,12.163,10.829,8.273,6.880,MSFT
Price earnings ratio,26.468,33.368,34.975,26.531,45.821,MSFT
Price to free cash flows ratio,29.551,36.432,34.238,27.210,23.543,MSFT
Price to operating cash flows ratio,21.623,26.642,25.525,19.950,17.302,MSFT
Price cash flow ratio,21.623,26.642,25.525,19.950,17.302,MSFT
Price earnings to growth ratio,1.360,0.844,2.517,0.193,-2.128,MSFT
Price sales ratio,9.710,12.163,10.829,8.273,6.880,MSFT
Dividend yield,0.009,0.008,0.010,0.013,0.017,MSFT
Enterprise value multiple,20.160,25.711,24.426,20.279,16.762,MSFT
Price fair value,11.560,14.399,13.091,10.174,9.179,MSFT
