,headline,final_score,datetime
0,Does Microsoft Have A Healthy Balance Sheet? Is The Stock A Good Buy?,86,2023-05-05 05:47:32
4,Exclusive-Microsoft offers to charge for Teams to address EU antitrust concerns,86,2023-05-04 21:07:18
8,Microsoft Working With AMD on Expansion Into AI Processors,86,2023-05-04 17:19:28
9,"Unusual Call Option Trade in Microsoft (MSFT)  Worth $1,142.91K",86,2023-05-04 17:16:03
11,"Dow Jones Futures: Apple Earnings Top, DraftKings Soars After PacWest Bancorp Slams Market",51,2023-05-04 14:41:36
12,Did Microsoft and Its AI Ambitions Just Throw AMD Stock Investors a Huge Lifeline?,86,2023-05-04 14:34:13
14,AMD Stock Rises On Report Of Team-Up With Microsoft On AI Chips,86,2023-05-04 13:11:10
15,"Microsoft, Alphabet, and ChapGPT-Creator OpenAI Summoned to the White House for AI Summit",86,2023-05-04 12:49:40
17,"Microsoft Stock Holds Up Remarkably Well. For Many, It's A Safe Haven.",86,2023-05-04 11:35:01
18,UPDATE 1-Microsoft helping finance AMD's expansion into AI chips- Bloomberg ,86,2023-05-04 11:23:49
19,UPDATE 1-Microsoft helping finance AMD's expansion into AI chips- Bloomberg,86,2023-05-04 11:23:49
21,Microsoft helping finance AMD's expansion into AI chips - Bloomberg News,86,2023-05-04 11:14:07
23,"VP Harris tells Microsoft, Google they have legal responsibility to ensure safety of AI products",86,2023-05-04 10:40:35
24,"Microsoft opens access to AI programs, including new Bing",86,2023-05-04 10:37:06
26,Microsoft Is Helping Finance AMD’s Expansion Into AI Chips,86,2023-05-04 10:27:51
28,Microsoft Corp. stock outperforms market on strong trading day,90,2023-05-04 09:31:00
29,"White House meets Microsoft, Google CEOs on AI dangers",86,2023-05-04 08:58:35
30,AMD Shares Rise 7% After Report of Microsoft AI Chip Deal,86,2023-05-04 08:51:00
31,Microsoft lets everyone use its controversial Bing chatbot – and adds new capabilities,86,2023-05-04 08:49:24
32,"UPDATE 2-White House meets Microsoft, Google CEOs on AI dangers",86,2023-05-04 08:41:46
33,"Microsoft offers to charge for Teams to address EU antitrust concerns, sources say  ",86,2023-05-04 07:58:00
34,AMD’s stock jumps on report of Microsoft AI chip partnership,86,2023-05-04 07:32:00
37,"Kamala Harris tells Google, Microsoft chiefs they're responsible for safety of AI products",86,2023-05-04 06:55:00
38,AMD jumps 9% on report Microsoft is collaborating on A.I. chip push,86,2023-05-04 06:45:18
41,"AMD, Microsoft working on Nvidia AI processor alternative, Bloomberg says",86,2023-05-04 05:26:00
43,"Microsoft`s Spencer says Xbox not in business of `outconsoling` Sony, Nintendo",86,2023-05-04 04:26:00
44,Microsoft`s Spencer says Xbox will showcase brand new games at June showcase,86,2023-05-04 04:23:00
45,Microsoft's Satya Nadella joins fellow tech executives for White House meeting on AI,86,2023-05-04 04:20:14
47,Microsoft`s Spencer `disappointed` with reception to Xbox exclusive `Redfall`,86,2023-05-04 03:55:00
48,Microsoft`s Spencer says Activision deal `accelerant` to Xbox strategy,86,2023-05-04 03:53:00
49,MSFT June 23rd Options Begin Trading,60,2023-05-04 03:36:00
52,See Which Of The Latest 13F Filers Holds Microsoft,86,2023-05-04 02:51:00
55,"Microsoft opens AI-powered Bing to public, upgrades features",86,2023-05-04 01:50:28
63,"AI Cloud Infrastructure - Microsoft, Google, And Oracle",86,2023-05-03 21:58:07
