,ticker,2022-08-31,2021-08-31,2020-08-31,2019-08-31
Cash and cash equivalents(figures in $M),MU,8262.0,7763.0,7624.0,7152.0
Other short-term investments(figures in $M),MU,1069.0,870.0,518.0,803.0
Total cash(figures in $M),MU,9331.0,8633.0,8142.0,7955.0
Net receivables(figures in $M),MU,5130.0,5311.0,3912.0,3195.0
Inventory(figures in $M),MU,6663.0,4487.0,5607.0,5118.0
Other current assets(figures in $M),MU,644.0,502.0,304.0,3430.0
Total current assets(figures in $M),MU,21781.0,19907.0,17965.0,16503.0
"Gross property, plant and equipment(figures in $M)",MU,39227.0,33764.0,31615.0,57824.0
Accumulated depreciation(figures in $M),MU,-42782.0,-36249.0,-34300.0,-29584.0
"Net property, plant and equipment(figures in $M)",MU,39227.0,33764.0,31615.0,28240.0
Equity and other investments(figures in $M),MU,1647.0,1765.0,1048.0,1164.0
Goodwill(figures in $M),MU,1228.0,1228.0,1228.0,1228.0
Intangible assets(figures in $M),MU,421.0,349.0,334.0,340.0
Other long-term assets(figures in $M),MU,1277.0,1054.0,781.0,4144.0
Total non-current assets(figures in $M),MU,44502.0,38942.0,35713.0,32384.0
Total assets(figures in $M),MU,66283.0,58849.0,53678.0,48887.0
Current debt(figures in $M),MU,103.0,155.0,270.0,1087.0
Accounts payable(figures in $M),MU,2142.0,1744.0,2191.0,1677.0
Accrued liabilities(figures in $M),MU,1358.0,1330.0,1015.0,858.0
Other current liabilities(figures in $M),MU,1346.0,944.0,548.0,1764.0
Total current liabilities(figures in $M),MU,7539.0,6424.0,6635.0,6390.0
Long-term debt(figures in $M),MU,6803.0,6621.0,6373.0,4173.0
Deferred revenues(figures in $M),MU,589.0,808.0,643.0,636.0
Other long-term liabilities(figures in $M),MU,835.0,559.0,498.0,5727.0
Total non-current liabilities(figures in $M),MU,8837.0,8492.0,8047.0,5727.0
Total liabilities(figures in $M),MU,16376.0,14916.0,14682.0,48887.0
Common stock(figures in $M),MU,123.0,122.0,119.0,118.0
Retained earnings(figures in $M),MU,47274.0,39051.0,33384.0,30761.0
Accumulated other comprehensive income(figures in $M),MU,-560.0,2.0,71.0,9.0
Total stockholders' equity(figures in $M),MU,49907.0,43933.0,38996.0,35881.0
Total liabilities and stockholders' equity(figures in $M),MU,66283.0,58849.0,53678.0,48887.0
