,ticker,ttm,2022-08-31,2021-08-31,2020-08-31,2019-08-31
Total revenue(figures in $M),MU,23063.0,30758.0,27705.0,21435.0,23406.0
Cost of revenue(figures in $M),MU,16719.0,16860.0,17282.0,14883.0,12704.0
Gross profit(figures in $M),MU,6344.0,13898.0,10423.0,6552.0,10702.0
Research development(figures in $M),MU,3249.0,3116.0,2663.0,2600.0,2441.0
Selling general and administrative(figures in $M),MU,1026.0,1066.0,894.0,881.0,836.0
Total operating expenses(figures in $M),MU,4268.0,4148.0,3652.0,3549.0,3326.0
Operating income or loss(figures in $M),MU,2076.0,9750.0,6771.0,3003.0,7376.0
Interest expense(figures in $M),MU,229.0,189.0,183.0,194.0,128.0
Total other income/expenses net(figures in $M),MU,-34.0,-86.0,-407.0,60.0,-405.0
Income before tax(figures in $M),MU,2094.0,9571.0,6218.0,2983.0,7048.0
Income tax expense(figures in $M),MU,476.0,888.0,394.0,280.0,693.0
Income from continuing operations(figures in $M),MU,1611.0,8687.0,5861.0,2710.0,6358.0
Net income(figures in $M),MU,1611.0,8687.0,5861.0,2687.0,6313.0
Net income available to common shareholders(figures in $M),MU,1611.0,8687.0,5861.0,2687.0,6313.0
Basic EPS(figures in $M),MU,,7.81e-06,5.230000000000001e-06,2.42e-06,5.67e-06
Diluted EPS(figures in $M),MU,,7.75e-06,5.14e-06,2.37e-06,5.51e-06
Basic average shares(figures in $M),MU,,1112.0,1120.0,1110.0,1114.0
Diluted average shares(figures in $M),MU,,1122.0,1141.0,1131.0,1143.0
EBITDA(figures in $M),MU,,16876.0,12615.0,8827.0,12849.0
