,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),MUR,492.0,521.2,310.6,306.8
Total cash(figures in $M),MUR,492.0,521.2,310.6,306.8
Net receivables(figures in $M),MUR,391.2,258.15,262.014,426.684
Inventory(figures in $M),MUR,54.5,54.198,66.076,76.123
Other current assets(figures in $M),MUR,-0.1,344.2,362.0,543.7
Total current assets(figures in $M),MUR,972.3,880.9,1000.3,974.4
"Gross property, plant and equipment(figures in $M)",MUR,9174.4,21467.092,8269.0,9969.7
Accumulated depreciation(figures in $M),MUR,-12489.971,-12457.851,0.0,-9333.646
"Net property, plant and equipment(figures in $M)",MUR,9174.4,8127.9,8269.0,9969.7
Other long-term assets(figures in $M),MUR,0.0,1296.1,1351.5,774.4
Total non-current assets(figures in $M),MUR,9336.6,9424.0,9620.5,10744.1
Total assets(figures in $M),MUR,10309.0,10304.9,10620.8,11718.5
Current debt(figures in $M),MUR,0.7,0.654,0.0,0.0
Accounts payable(figures in $M),MUR,543.8,623.129,407.097,602.096
Taxes payable(figures in $M),MUR,26.5,19.951,18.018,19.049
Accrued liabilities(figures in $M),MUR,443.6,360.859,150.578,197.447
Other current liabilities(figures in $M),MUR,0.0,1164.3,716.3,942.8
Total current liabilities(figures in $M),MUR,1257.8,1164.3,716.3,942.8
Long-term debt(figures in $M),MUR,1822.5,2465.4,2988.1,2803.4
Deferred tax liabilities(figures in $M),MUR,214.9,182.892,180.341,207.198
Deferred revenues(figures in $M),MUR,0.0,0.0,680.58,613.407
Other long-term liabilities(figures in $M),MUR,0.0,2354.4,2522.3,2167.7
Total non-current liabilities(figures in $M),MUR,3902.3,4819.8,5510.4,4971.1
Total liabilities(figures in $M),MUR,5160.1,5984.1,6226.7,5913.9
Common stock(figures in $M),MUR,195.1,195.101,195.101,195.089
Retained earnings(figures in $M),MUR,6055.5,5218.67,5369.538,6614.304
Accumulated other comprehensive income(figures in $M),MUR,-534.7,-527.711,-601.333,-574.161
Total stockholders' equity(figures in $M),MUR,4994.8,4320.8,4394.1,5436.3
Total liabilities and stockholders' equity(figures in $M),MUR,10309.0,10304.9,10620.8,11718.5
