,2022,2021,2020,2019,2018,ticker
Current ratio,0.773,0.757,1.396,1.034,1.040,MUR
Quick ratio,0.702,0.669,0.799,0.778,0.850,MUR
Cash ratio,0.391,0.448,0.434,0.325,0.458,MUR
Days of sales outstanding,33.835,33.637,54.595,55.283,46.829,MUR
Days of inventory outstanding,10.806,13.000,13.705,14.401,21.003,MUR
Operating cycle,44.641,46.637,68.301,69.685,67.831,MUR
Days of payables outstanding,107.823,149.468,84.440,113.907,142.405,MUR
Cash conversion cycle,-63.182,-102.830,-16.139,-44.222,-74.574,MUR
Gross profit margin,0.564,0.457,-0.005,0.315,0.409,MUR
Operating profit margin,0.376,0.364,-0.167,0.158,0.243,MUR
Pretax profit margin,0.344,0.015,-0.884,0.072,0.167,MUR
Net profit margin,0.229,0.017,-0.717,0.067,0.159,MUR
Effective tax rate,0.213,-0.137,0.190,0.072,0.022,MUR
Return on assets,0.094,0.005,-0.118,0.016,0.037,MUR
Return on equity,0.193,0.011,-0.286,0.035,0.085,MUR
Return on capital employed,0.175,0.112,-0.030,0.041,0.062,MUR
Net income per EBT,0.665,1.137,0.810,0.928,0.951,MUR
Ebt per ebit,0.914,0.042,5.284,0.457,0.687,MUR
Ebit per revenue,0.376,0.364,-0.167,0.158,0.243,MUR
Debt ratio,0.501,0.581,0.586,0.505,0.530,MUR
Debt equity ratio,0.558,0.603,0.704,0.533,0.670,MUR
Long term debt to capitalization,0.339,0.363,0.405,0.340,0.401,MUR
Total debt to capitalization,0.358,0.376,0.413,0.348,0.401,MUR
Interest coverage,10.525,4.280,-1.570,1.842,3.190,MUR
Cash flow to debt ratio,0.777,0.546,0.260,0.540,0.377,MUR
Company equity multiplier,2.064,2.385,2.417,2.156,2.289,MUR
Receivables turnover,10.788,10.851,6.686,6.602,7.794,MUR
Payables turnover,3.385,2.442,4.323,3.204,2.563,MUR
Inventory turnover,33.777,28.076,26.632,25.345,17.379,MUR
Fixed asset turnover,0.460,0.345,0.212,0.283,0.265,MUR
Asset turnover,0.409,0.272,0.165,0.240,0.234,MUR
Operating cash flow per share,13.948,9.217,5.229,9.530,7.050,MUR
Free cash flow per share,6.773,4.757,-0.456,-6.059,-3.920,MUR
Cash per share,3.169,3.378,2.023,1.871,2.239,MUR
Payout ratio,0.133,1.584,-0.076,0.867,0.421,MUR
Operating cash flow sales ratio,0.513,0.508,0.458,0.555,0.471,MUR
Free cash flow operating cash flow ratio,0.486,0.516,-0.087,-0.636,-0.556,MUR
Cash flow coverage ratios,0.777,0.546,0.260,0.540,0.377,MUR
Short term coverage ratios,9.795,10.152,7.736,16.935,115.222,MUR
Capital expenditure coverage ratio,-1.944,-2.066,-0.920,-0.611,-0.643,MUR
Dividend paid and capex coverage ratio,-2.197,-2.328,-1.033,-0.653,-0.707,MUR
Dividend payout ratio,0.133,1.584,-0.076,0.867,0.421,MUR
Price book value ratio,1.337,0.932,0.423,0.808,0.838,MUR
Price to book ratio,1.337,0.932,0.423,0.808,0.838,MUR
Price to sales ratio,1.583,1.438,1.060,1.560,1.564,MUR
Price earnings ratio,6.920,82.632,-1.480,23.277,9.842,MUR
Price to free cash flows ratio,6.350,5.489,-26.511,-4.423,-5.967,MUR
Price to operating cash flows ratio,3.084,2.833,2.314,2.812,3.318,MUR
Price cash flow ratio,3.084,2.833,2.314,2.812,3.318,MUR
Price earnings to growth ratio,0.004,0.795,0.002,-0.450,0.043,MUR
Price sales ratio,1.583,1.438,1.060,1.560,1.564,MUR
Dividend yield,0.019,0.019,0.052,0.037,0.043,MUR
Enterprise value multiple,3.296,3.289,6.534,4.230,11.162,MUR
Price fair value,1.337,0.932,0.423,0.808,0.838,MUR
