,2019,2018,2017,2016,2015,ticker
Current ratio,1.213,1.388,1.130,1.492,1.570,MYL
Quick ratio,0.654,0.732,0.643,0.890,0.952,MYL
Cash ratio,0.085,0.085,0.046,0.198,0.300,MYL
Days of sales outstanding,97.079,91.969,110.729,109.099,104.093,MYL
Days of inventory outstanding,128.225,126.714,130.265,140.533,136.598,MYL
Operating cycle,225.304,218.683,240.994,249.632,240.691,MYL
Days of payables outstanding,50.980,55.160,50.001,53.750,77.688,MYL
Cash conversion cycle,174.324,163.522,190.992,195.882,163.003,MYL
Gross profit margin,0.339,0.350,0.402,0.424,0.447,MYL
Operating profit margin,0.060,0.075,0.120,0.124,0.145,MYL
Pretax profit margin,0.013,0.026,0.076,0.011,0.097,MYL
Net profit margin,0.001,0.031,0.058,0.043,0.090,MYL
Effective tax rate,0.891,-0.181,0.229,-2.944,0.074,MYL
Return on assets,0.001,0.011,0.019,0.014,0.038,MYL
Return on equity,0.001,0.029,0.052,0.043,0.087,MYL
Return on capital employed,0.027,0.030,0.048,0.046,0.075,MYL
Net income per EBT,0.109,1.181,0.771,3.944,0.926,MYL
Ebt per ebit,0.222,0.349,0.634,0.089,0.671,MYL
Ebit per revenue,0.060,0.075,0.120,0.124,0.145,MYL
Debt ratio,0.620,0.628,0.628,0.680,0.561,MYL
Debt equity ratio,1.630,1.690,1.691,2.124,1.280,MYL
Long term debt to capitalization,0.486,0.520,0.492,0.578,0.392,MYL
Total debt to capitalization,0.488,0.521,0.495,0.580,0.392,MYL
Interest coverage,1.342,1.579,2.664,3.021,4.017,MYL
Cash flow to debt ratio,0.159,0.177,0.158,0.133,0.319,MYL
Company equity multiplier,2.630,2.690,2.691,3.124,2.280,MYL
Receivables turnover,3.760,3.969,3.296,3.346,3.506,MYL
Payables turnover,7.160,6.617,7.300,6.791,4.698,MYL
Inventory turnover,2.847,2.881,2.802,2.597,2.672,MYL
Fixed asset turnover,0,0,0,0,0,MYL
Asset turnover,0.368,0.349,0.333,0.319,0.423,MYL
Operating cash flow per share,3.498,4.551,3.863,3.991,4.253,MYL
Free cash flow per share,2.710,2.228,2.186,2.527,2.407,MYL
Cash per share,1.134,0.932,0.920,2.289,2.618,MYL
Payout ratio,0,0,0,0,0,MYL
Operating cash flow sales ratio,0.157,0.205,0.173,0.185,0.213,MYL
Free cash flow operating cash flow ratio,0.775,0.489,0.566,0.633,0.566,MYL
Cash flow coverage ratios,0.159,0.177,0.158,0.133,0.319,MYL
Short term coverage ratios,16.533,25.648,10.350,11.665,0,MYL
Capital expenditure coverage ratio,-8.460,-9.289,-7.484,-5.244,-5.535,MYL
Dividend paid and capex coverage ratio,-8.460,-9.289,-7.484,-5.244,-5.535,MYL
Dividend payout ratio,0,0,0,0,0,MYL
Price book value ratio,0.872,1.159,1.699,1.761,2.615,MYL
Price to book ratio,0.872,1.159,1.699,1.761,2.615,MYL
Price to sales ratio,0.901,1.233,1.899,1.767,2.708,MYL
Price earnings ratio,616.998,39.992,32.492,40.773,30.123,MYL
Price to free cash flows ratio,7.416,12.300,19.352,15.094,22.459,MYL
Price to operating cash flows ratio,5.747,6.020,10.952,9.560,12.712,MYL
Price cash flow ratio,5.747,6.020,10.952,9.560,12.712,MYL
Price earnings to growth ratio,-6.476,-0.851,0.843,-0.853,0,MYL
Price sales ratio,0.901,1.233,1.899,1.767,2.708,MYL
Dividend yield,0,0,0,0,0,MYL
Enterprise value multiple,7.883,9.138,10.911,16.171,13.849,MYL
Price fair value,0.872,1.159,1.699,1.761,2.615,MYL
