,2019,2018,2017,2016,2015,ticker
Current ratio,0.692,1.014,1.267,1.323,1.261,NBL
Quick ratio,0.617,0.772,0.818,1.214,0.819,NBL
Cash ratio,0.246,0.415,0.388,0.798,0.570,NBL
Days of sales outstanding,60.038,45.094,67.246,66.236,53.976,NBL
Days of inventory outstanding,5.720,7.136,9.371,9.184,13.571,NBL
Operating cycle,65.758,52.230,76.617,75.421,67.547,NBL
Days of payables outstanding,121.182,128.554,132.675,75.951,133.113,NBL
Cash conversion cycle,-55.424,-76.324,-56.058,-0.531,-65.566,NBL
Gross profit margin,0.152,0.313,0.213,-0.044,-0.016,NBL
Operating profit margin,0.003,0.207,0.053,-0.451,-0.349,NBL
Pretax profit margin,-0.400,0.028,-0.540,-0.523,-0.729,NBL
Net profit margin,-0.341,-0.013,-0.275,-0.294,-0.802,NBL
Effective tax rate,0.193,0.900,0.521,0.444,-0.100,NBL
Return on assets,-0.073,-0.003,-0.052,-0.047,-0.101,NBL
Return on equity,-0.180,-0.007,-0.113,-0.107,-0.235,NBL
Return on capital employed,0.001,0.053,0.011,-0.078,-0.047,NBL
Net income per EBT,0.851,-0.471,0.510,0.563,1.100,NBL
Ebt per ebit,-148,0.136,-10.144,1.158,2.091,NBL
Ebit per revenue,0.003,0.207,0.053,-0.451,-0.349,NBL
Debt ratio,0.561,0.501,0.506,0.543,0.571,NBL
Debt equity ratio,1.378,1.117,1.093,1.229,1.333,NBL
Long term debt to capitalization,0.465,0.404,0.397,0.430,0.435,NBL
Total debt to capitalization,0.465,0.404,0.397,0.430,0.435,NBL
Interest coverage,0.046,3.652,0.610,-4.665,-4.034,NBL
Cash flow to debt ratio,0.273,0.365,0.299,0.193,0.259,NBL
Company equity multiplier,2.455,2.229,2.161,2.262,2.333,NBL
Receivables turnover,6.079,8.094,5.428,5.511,6.762,NBL
Payables turnover,3.012,2.839,2.751,4.806,2.742,NBL
Inventory turnover,63.814,51.149,38.951,39.742,26.896,NBL
Fixed asset turnover,0.251,0.271,0.232,0.183,0.143,NBL
Asset turnover,0.215,0.237,0.189,0.161,0.126,NBL
Operating cash flow per share,4.180,4.836,4.160,3.142,5.129,NBL
Free cash flow per share,-1.100,-1.952,-1.488,-0.442,-2.281,NBL
Cash per share,1.013,1.482,1.439,2.744,2.557,NBL
Payout ratio,-0.150,-3.152,-0.170,-0.172,-0.119,NBL
Operating cash flow sales ratio,0.450,0.469,0.481,0.399,0.678,NBL
Free cash flow operating cash flow ratio,-0.263,-0.404,-0.358,-0.141,-0.445,NBL
Cash flow coverage ratios,0.273,0.365,0.299,0.193,0.259,NBL
Short term coverage ratios,0,0,0,0,0,NBL
Capital expenditure coverage ratio,-0.792,-0.712,-0.737,-0.877,-0.692,NBL
Dividend paid and capex coverage ratio,-0.870,-0.761,-0.793,-0.987,-0.767,NBL
Dividend payout ratio,-0.150,-3.152,-0.170,-0.172,-0.119,NBL
Price book value ratio,0.244,0.220,0.202,0.199,0.166,NBL
Price to book ratio,0.244,0.220,0.202,0.199,0.166,NBL
Price to sales ratio,0.462,0.416,0.496,0.544,0.567,NBL
Price earnings ratio,-1.356,-31.395,-1.800,-1.848,-0.707,NBL
Price to free cash flows ratio,-3.899,-2.197,-2.883,-9.709,-1.881,NBL
Price to operating cash flows ratio,1.026,0.887,1.031,1.365,0.836,NBL
Price cash flow ratio,1.026,0.887,1.031,1.365,0.836,NBL
Price earnings to growth ratio,0.001,-0.334,0.696,-0.030,0.003,NBL
Price sales ratio,0.462,0.416,0.496,0.544,0.567,NBL
Dividend yield,0.111,0.100,0.094,0.093,0.169,NBL
Enterprise value multiple,-5.828,23.307,-4.275,-5.311,-4.461,NBL
Price fair value,0.244,0.220,0.202,0.199,0.166,NBL
