,ticker,2023,2024,2025,2026,2027
Revenue(In $M),NDAQ,-,-,"4,097","4,306","4,461"
Dividend,NDAQ,0.85,0.91,1.02,0.97,-
Dividend Yield (in %),NDAQ,1.59 %,1.70 %,1.89 %,-,-
EPS,NDAQ,-,-,3.09,3.31,3.65
P/E Ratio,NDAQ,20.06,18.74,17.40,16.26,14.74
EBIT(In $M),NDAQ,-,-,"2,035","2,131","2,402"
EBITDA(In $M),NDAQ,"1,988","2,102","2,206","2,337","2,531"
Net Profit(In $M),NDAQ,-,"1,404","1,485","1,544","1,755"
Net Profit Adjusted(In $M),NDAQ,-,"1,417","1,505","1,647","1,755"
Pre-Tax Profit(In $M),NDAQ,"1,785","1,889","2,012","2,037","2,321"
Net Profit (Adjusted)(In $M),NDAQ,"1,778","1,892","2,144",-,-
EPS (Non-GAAP) ex. SOE(In $),NDAQ,-,-,3.09,3.31,3.65
EPS (GAAP)(In $),NDAQ,-,-,2.82,2.99,3.32
Gross Income(In $M),NDAQ,-,-,-,-,-
Cash Flow from Investing(In $M),NDAQ,-161,-162,-164,-,-
Cash Flow from Operations(In $M),NDAQ,"1,530","1,597","1,624","1,896","2,010"
Cash Flow from Financing(In $M),NDAQ,-,-,-,-,-
Cash Flow per Share(In $),NDAQ,3.12,3.32,3.75,-,-
Free Cash Flow(In $M),NDAQ,"1,415",-,"1,527","1,725","1,834"
Free Cash Flow per Share(In $),NDAQ,2.79,-,3.09,-,-
Book Value per Share(In $),NDAQ,13.41,14.25,15.06,-,-
Net Debt(In $M),NDAQ,"3,473","2,915","2,164","1,022",-
Research & Development Exp.(In $M),NDAQ,-,-,-,-,-
Capital Expenditure(In $M),NDAQ,159,160,172,171,176
"Selling, General & Admin. Exp.(In $M)",NDAQ,-,-,-,-,-
Shareholder’s Equity(In $M),NDAQ,"6,706","7,315","7,977",-,-
Total Assets(In $M),NDAQ,"21,314","21,959","22,473",-,-
