,ticker,2022-12-31,2021-12-31
Cash and cash equivalents(figures in $M),NE,476.206,194.138
Total cash(figures in $M),NE,476.206,194.138
Net receivables(figures in $M),NE,468.802,200.419
Other current assets(figures in $M),NE,106.782,45.026
Total current assets(figures in $M),NE,1051.79,455.646
"Gross property, plant and equipment(figures in $M)",NE,4163.205,1555.975
Accumulated depreciation(figures in $M),NE,-181.904,-77.275
"Net property, plant and equipment(figures in $M)",NE,3981.301,1478.7
Goodwill(figures in $M),NE,26.016,0.0
Intangible assets(figures in $M),NE,34.372,61.849
Other long-term assets(figures in $M),NE,201.773,77.247
Total non-current assets(figures in $M),NE,4183.074,1617.796
Total assets(figures in $M),NE,5234.864,2073.442
Current debt(figures in $M),NE,159.715,0.0
Accounts payable(figures in $M),NE,290.69,120.389
Accrued liabilities(figures in $M),NE,76.185,58.134
Other current liabilities(figures in $M),NE,140.508,41.136
Total current liabilities(figures in $M),NE,667.098,248.394
Long-term debt(figures in $M),NE,513.055,216.0
Deferred tax liabilities(figures in $M),NE,9.335,13.195
Deferred revenues(figures in $M),NE,181.883,0.0
Other long-term liabilities(figures in $M),NE,447.626,95.226
Total non-current liabilities(figures in $M),NE,960.681,324.421
Total liabilities(figures in $M),NE,1627.779,572.815
Common stock(figures in $M),NE,0.001,0.001
Retained earnings(figures in $M),NE,255.93,101.982
Accumulated other comprehensive income(figures in $M),NE,3.647,5.389
Total stockholders' equity(figures in $M),NE,3607.085,1500.627
Total liabilities and stockholders' equity(figures in $M),NE,5234.864,2073.442
