,headline,final_score,datetime
0,Noble Corporation Plc (NE) Q1 2023 Earnings Call Transcript,86,2023-05-04 07:21:03
1,NOBLE CORPORATION PLC ANNOUNCES FIRST QUARTER 2023 RESULTS,86,2023-05-03 16:30:00
2,Noble Corporation plc announces the resolutions adopted at its 2023 annual general meeting of shareholders,86,2023-05-03 05:51:00
3,"Noble Corp. backs FY23 revenue view of $2.35B-$2.55B, consensus $2.46B",86,2023-05-02 23:42:00
4,Noble Corp. reports Q1 EPS 19c vs. 41c last year,86,2023-05-02 23:41:00
5,"Notable Wednesday Option Activity: NE, NLY, SQSP",57,2023-05-02 19:26:00
6,Notable Two Hundred Day Moving Average Cross - NE,60,2023-05-02 04:15:00
7,Noble Q1 2023 Earnings Preview,86,2023-05-01 22:02:00
8,Transocean: New Fleet Status Report Unlikely To Be A Catalyst For The Shares,57,2023-04-18 15:50:42
9,Noble Corporation plc announces closing of unsecured senior notes offering and revolving credit agreement,86,2023-04-18 15:00:00
10,"Despite lower earnings than a year ago, Noble (NYSE:NE) investors are up 15% since then",86,2023-04-11 04:18:55
13,Seadrill: Likely To Benefit From Corporate Revamping,60,2023-04-07 05:35:54
14,Noble Corporation: Strong Buy On Growing Revenue And Profitability,86,2023-04-04 16:26:54
15,NOBLE CORPORATION PLC ANNOUNCES PRICING OF OFFERING OF $600 MILLION OF SENIOR NOTES DUE 2030,86,2023-04-04 13:05:00
16,Noble prices new $600M 8% senior notes due 2030 through its unit,86,2023-04-03 20:38:00
17,NOBLE CORPORATION PLC ANNOUNCES PROPOSED OFFERING OF $600 MILLION OF SENIOR NOTES DUE 2030,86,2023-04-03 04:36:00
18,Noble shares surge on proposed $600M debt offering,86,2023-04-03 00:53:00
19,Noble shares surges on proposed $600M debt offering,86,2023-04-03 00:41:00
20,Noble Corporation plc announces changes to its share capital,86,2023-03-31 13:00:00
21,Noble Corporation Plc (NYSE:NE) Stock's Been Sliding But Fundamentals Look Decent: Will The Market Correct The Share Price In The Future?,57,2023-03-21 10:16:00
23,Noble Corporation (NYSE:NE) Q4 2022 Earnings Call Transcript,86,2023-03-12 20:55:07
24,"Noble Moves Up In Market Cap Rank, Passing Newell Brands",86,2023-03-12 20:38:00
