,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),NEM,2877.0,4992.0,5540.0,2243.0
Other short-term investments(figures in $M),NEM,880.0,82.0,290.0,237.0
Total cash(figures in $M),NEM,3757.0,5074.0,5830.0,2480.0
Net receivables(figures in $M),NEM,366.0,337.0,449.0,373.0
Inventory(figures in $M),NEM,1753.0,1787.0,1790.0,1826.0
Other current assets(figures in $M),NEM,639.0,498.0,436.0,570.0
Total current assets(figures in $M),NEM,6515.0,7696.0,8505.0,6272.0
"Gross property, plant and equipment(figures in $M)",NEM,42225.0,40113.0,38181.0,36966.0
Accumulated depreciation(figures in $M),NEM,-18152.0,-15989.0,-13900.0,-11690.0
"Net property, plant and equipment(figures in $M)",NEM,24073.0,24124.0,24281.0,25276.0
Equity and other investments(figures in $M),NEM,3278.0,3243.0,3197.0,3199.0
Goodwill(figures in $M),NEM,1971.0,2771.0,2771.0,2674.0
Other long-term assets(figures in $M),NEM,2472.0,2461.0,2278.0,2004.0
Total non-current assets(figures in $M),NEM,31967.0,32868.0,32864.0,33702.0
Total assets(figures in $M),NEM,38482.0,40564.0,41369.0,39974.0
Current debt(figures in $M),NEM,0.0,87.0,551.0,0.0
Accounts payable(figures in $M),NEM,633.0,518.0,493.0,539.0
Taxes payable(figures in $M),NEM,199.0,384.0,657.0,162.0
Accrued liabilities(figures in $M),NEM,591.0,356.0,490.0,328.0
Other current liabilities(figures in $M),NEM,1599.0,1173.0,1182.0,1223.0
Total current liabilities(figures in $M),NEM,2926.0,2654.0,3369.0,2385.0
Long-term debt(figures in $M),NEM,5571.0,5565.0,5480.0,6138.0
Deferred tax liabilities(figures in $M),NEM,1809.0,2144.0,2073.0,2407.0
Other long-term liabilities(figures in $M),NEM,1258.0,1518.0,1692.0,2119.0
Total non-current liabilities(figures in $M),NEM,16023.0,16049.0,14121.0,15172.0
Total liabilities(figures in $M),NEM,18949.0,18703.0,17490.0,17557.0
Common stock(figures in $M),NEM,1279.0,1276.0,1287.0,1298.0
Retained earnings(figures in $M),NEM,916.0,3098.0,4002.0,2291.0
Accumulated other comprehensive income(figures in $M),NEM,29.0,-133.0,-216.0,-265.0
Total stockholders' equity(figures in $M),NEM,19354.0,22022.0,23008.0,21420.0
Total liabilities and stockholders' equity(figures in $M),NEM,38482.0,40564.0,41369.0,39974.0
