,headline,final_score,datetime
3,Netflix Stock Could Be Approaching A Buy Zone,86,2023-05-04 04:45:19
4,Interesting NFLX Put And Call Options For June 23rd,60,2023-05-04 03:41:00
12,Netflix Inc. stock outperforms competitors on strong trading day,90,2023-05-02 20:33:00
13,"To Binge or Not to Binge? Netflix, HBO Max Debate How to Release Your Favorite Shows",86,2023-05-02 10:22:00
15,Netflix Inc. stock underperforms Tuesday when compared to competitors,90,2023-05-02 09:31:00
21,Netflix`s Stellar Subscriber Growth Outshines Its Weaknesses,86,2023-05-02 03:18:00
27,"Hollywood Writers to Strike, Hitting Disney; Netflix; Other Major Entertainment Names",86,2023-05-01 20:48:00
29,"Hollywood Writers` Strike to hit Disney, Netflix, and Others",86,2023-05-01 20:31:00
34,Netflix's Stellar Subscriber Growth Outshines Its Weaknesses,86,2023-05-01 15:47:37
37,Netflix Inc. stock underperforms Monday when compared to competitors,90,2023-05-01 09:31:00
43,"What's worth streaming in May 2023, as HBO Max reboots, Netflix rolls out big names and Apple takes a big swing",57,2023-04-30 07:50:00
45,Here's everything new coming to Netflix in May 2023 -- and what's leaving,86,2023-04-30 07:00:00
46,"What`s worth streaming in May 2023, as HBO Max reboots, Netflix rolls out big names and Apple takes a big swing",57,2023-04-29 18:51:00
47,Netflix's Password Sharing Crackdown Is Already Causing it Major Trouble,86,2023-04-29 05:30:00
48,Is It Time to Sell Netflix Stock?,86,2023-04-29 04:30:00
52,New Netflix show highlights the business of collectibles from Pokémon to Mike Tyson,86,2023-04-28 14:13:13
56,Netflix May Be Running Out of Time to Impress Wall Street,86,2023-04-28 02:00:00
58,Netflix (NASDAQ:NFLX) Sees Significant Churn in Spain,86,2023-04-27 18:12:00
61,Netflix Subscribers Are Furious About Company's Latest Post,86,2023-04-27 13:33:00
62,"Netflix boosts Asian leads, lags in Latino roles - report",86,2023-04-27 13:20:15
63,"UPDATE 1-Netflix boosts Asian leads, lags in Latino roles - report",86,2023-04-27 13:18:17
65,"Netflix report shows gains on inclusive content, women directors",86,2023-04-27 12:55:00
66,Netflix loses 1 million users in Spain amid password sharing crackdown: Kantar data,86,2023-04-27 11:09:35
67,"Netflix Inc. stock rises Thursday, still underperforms market",90,2023-04-27 10:35:00
69,CNBC's Stock Draft: Ryan Reynolds returns to defend crown with Netflix,86,2023-04-27 08:50:44
70,"Netflix increases Asian leads, lags in Latino roles, report finds",90,2023-04-27 08:18:35
71,Netflix Study Shows Streamer Making Progress in Diversifying Casts,86,2023-04-27 08:00:00
72,Better Buy: Amazon vs. Netflix,86,2023-04-27 07:00:00
73,"Netflix, Inc. (NFLX) is Attracting Investor Attention: Here is What You Should Know",86,2023-04-27 06:00:01
74,Where Will Netflix's Stock Be in 5 Years?,86,2023-04-27 05:27:00
75,Is Netflix Stock a Buy Now?,86,2023-04-27 03:50:00
79,See Which Of The Latest 13F Filers Holds Netflix,86,2023-04-26 20:41:00
80,Netflix Inc. stock underperforms Wednesday when compared to competitors,90,2023-04-26 09:31:00
82,3 Reasons to Buy Netflix Stock,86,2023-04-26 07:07:00
