,2017,2016,2015,2014,2013,ticker
Current ratio,0.912,1.387,0.966,0.854,0.698,NFX
Quick ratio,0.756,1.187,0.413,0.381,0.441,NFX
Cash ratio,0.399,0.811,0.008,0.013,0.074,NFX
Days of sales outstanding,60.317,57.527,61.419,64.609,96.708,NFX
Days of inventory outstanding,6.588,6.591,10.562,10.429,80.946,NFX
Operating cycle,66.905,64.119,71.981,75.037,177.653,NFX
Days of payables outstanding,125.181,94.340,63.681,72.368,124.646,NFX
Cash conversion cycle,-58.275,-30.221,8.300,2.669,53.007,NFX
Gross profit margin,0.530,0.398,0.245,0.495,0.589,NFX
Operating profit margin,0.291,-0.624,-3.250,0.251,0.234,NFX
Pretax profit margin,0.218,-0.821,-3.177,0.451,0.095,NFX
Net profit margin,0.242,-0.836,-2.159,0.393,0.082,NFX
Effective tax rate,-0.106,-0.018,0.320,0.370,0.365,NFX
Return on assets,0.086,-0.285,-0.705,0.094,0.016,NFX
Return on equity,0.303,-1.311,-2.438,0.231,0.050,NFX
Return on capital employed,0.124,-0.253,-1.228,0.068,0.052,NFX
Net income per EBT,1.106,1.018,0.680,0.872,0.865,NFX
Ebt per ebit,0.750,1.314,0.977,1.795,0.406,NFX
Ebit per revenue,0.291,-0.624,-3.250,0.251,0.234,NFX
Debt ratio,0.716,0.782,0.711,0.594,0.683,NFX
Debt equity ratio,1.729,2.592,1.789,0.743,1.250,NFX
Long term debt to capitalization,0.634,0.722,0.641,0.426,0.555,NFX
Total debt to capitalization,0.634,0.722,0.641,0.426,0.555,NFX
Interest coverage,5.787,-8.922,-38.634,3.912,2.757,NFX
Cash flow to debt ratio,0.391,0.340,0.490,0.480,0.391,NFX
Company equity multiplier,3.523,4.597,3.458,2.465,3.153,NFX
Receivables turnover,6.051,6.345,5.943,5.649,3.774,NFX
Payables turnover,2.916,3.869,5.732,5.044,2.928,NFX
Inventory turnover,55.400,55.375,34.559,35,4.509,NFX
Fixed asset turnover,0.450,0.469,0.390,0.278,0.216,NFX
Asset turnover,0.356,0.341,0.327,0.238,0.192,NFX
Operating cash flow per share,4.784,4.280,7.604,10.124,10.704,NFX
Free cash flow per share,-1.693,-2.824,-3.371,-5.409,-4.815,NFX
Cash per share,1.638,3.005,0.031,0.102,0.704,NFX
Payout ratio,0,0,0,0,0,NFX
Operating cash flow sales ratio,0.539,0.561,0.776,0.606,0.808,NFX
Free cash flow operating cash flow ratio,-0.354,-0.660,-0.443,-0.534,-0.450,NFX
Cash flow coverage ratios,0.391,0.340,0.490,0.480,0.391,NFX
Short term coverage ratios,0,0,0,0,0,NFX
Capital expenditure coverage ratio,-0.739,-0.602,-0.693,-0.652,-0.690,NFX
Dividend paid and capex coverage ratio,-0.739,-0.602,-0.693,-0.652,-0.690,NFX
Dividend payout ratio,0,0,0,0,0,NFX
Price book value ratio,4.456,8.333,3.754,0.954,1.125,NFX
Price to book ratio,4.456,8.333,3.754,0.954,1.125,NFX
Price to sales ratio,3.551,5.310,3.325,1.624,1.859,NFX
Price earnings ratio,14.694,-6.355,-1.540,4.128,22.619,NFX
Price to free cash flows ratio,-18.619,-14.342,-9.659,-5.014,-5.115,NFX
Price to operating cash flows ratio,6.591,9.463,4.282,2.679,2.301,NFX
Price cash flow ratio,6.591,9.463,4.282,2.679,2.301,NFX
Price earnings to growth ratio,0.110,-0.091,0.004,0.007,0.204,NFX
Price sales ratio,3.551,5.310,3.325,1.624,1.859,NFX
Dividend yield,0,0,0,0,0,NFX
Enterprise value multiple,8.899,-18.185,-1.959,2.827,5.363,NFX
Price fair value,4.456,8.333,3.754,0.954,1.125,NFX
